"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","248","+1","+0.4","11/06","34.2↗","24.2↘","32.5↘","28↘","37.6↘","16.6↗","35.5↗","29.4↘","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1465","+5","+0.34","11/06","33.7↘","23.2↘","40.7↘","44.6↘","36.9↘","9.11↗","38.7↗","29.5↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","978","+11","+1.14","11/06","28.5↗","23↘","46.8↘","51.7↘","45.6↘","9.39↗","60.8↗","43.7↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1290","-40","-3.01","11/06","14.8↘","18.6↘","14.9↘","17.2↘","22.3↘","23.3↘","9.92↘","14.1↘","23.7↘","15.3↘","21.5↘","23.6↘"
="3231","緯創","142","+4.5","+3.27","11/06","29.6↗","28.1↘","30.9↘","35.7↘","30.8↘","22.6↗","17.8↘","13.4↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","435","+13","+3.08","11/06","23.9↗","22.6↘","19.9↘","29↘","24.4↘","18.1↗","24.5↘","22.1↘","27.9↘","11.6↗","38.1↗","38↗"
="6669","緯穎","4320","+155","+3.72","11/06","39.6↗","17.9↘","39.2↘","29.3↗","38.1↘","8.58↘","40↗","30.9↗","39.9↘","10.3↘","39.4↗","41↘"
="3008","大立光","2210","+10","+0.45","11/06","17.3↘","28.5↘","15.3↗","16.1↗","17.2↘","24.4↗","15.6↗","20↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1735","+130","+8.1","11/06","44.1↗","16.8↘","31.7↗","29.2↗","32↘","15.4↘","20.5↗","16.3↗","27.5↘","16.1↘","17.5↗","24↘"
="3661","世芯-KY","3670","+330","+9.88","11/06","33↗","24.2↘","18↘","20.7↗","20.9↗","20.5↘","18.3↘","18.6↗","29.9↗","18.5↘","29.8↘","34.2↘"
="2301","光寶科","169","0","0","11/06","26.5↗","25.9↘","24.5↘","28.1↘","39.3↘","13.5↗","42.2↗","29.9↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","138","+4","+2.99","11/06","32.3↗","20.8↘","51.9↘","50.5↘","37.3↘","10.5↗","34.5↗","26.8↗","39.9↘","11.7↘","36.3↗","40.3↗"
="2344","華邦電","59","+3","+5.36","11/06","42.7↗","18.1↘","60.3↘","60↘","50.4↘","3.1↘","47.4↗","32.8↗","47↘","10.1↘","24.2↗","19.7↗"
="3711","日月光投控","234","-1","-0.43","11/06","46.6↘","14↘","49.8↗","39.9↗","45.8↘","8.08↘","27.8↗","21.5↗","38.5↘","10.5↘","34.7↗","35.6↗"
="2408","南亞科","148","+10","+7.25","11/06","41.1↗","15.7↘","55.6↘","53.7↘","53.1↘","3.94↘","45.5↗","33.2↗","48.9↘","10.9↘","23↗","16.7↗"
="2882","國泰金","64.7","+0.6","+0.94","11/06","21.6↗","20.8↘","15.9↘","19.9↘","16.7↘","18.2↗","9.16↘","12.9↘","20↘","18.4↗","18.9↘","23↗"
="2891","中信金","42.55","+0.3","+0.71","11/06","27.2↗","20.3↘","8.57↗","10.9↘","17.8↘","20↘","12.2↘","15↘","26.4↘","12.9↘","36.4↘","34.1↗"
="2884","玉山金","29.95","-0.35","-1.16","11/06","16.7↗","33.9↘","43.2↘","32.6↗","16.7↘","32.6↘","16↗","18.2↗","23.8↘","23.3↘","12.5↘","12.6↘"
="2880","華南金","29.6","-0.1","-0.34","11/06","16.1↗","19.1↘","13.6↘","16↘","24.3↘","18.5↘","16.1↘","15.6↘","22.7↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","36.8↗","27.8↘","33.7↘","35.3↘","20.2↘","51.2↘","50.6↘","47.7↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","33.1↗","33↘","21.9↘","21.9↘","24.9↘","31.6↗","21.4↘","26.3↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","148.4","+0.85","+0.58","11/06","38.3↗","26.8↘","40.4↘","43.3↘","40.8↘","11.9↗","36.1↗","27.6↗","43.1↘","15.9↘","31.7↗","31.4↗"
