"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/06","","248","+1","+0.4","65,794","16,346","247","249.5","250.5","246","1.82","18.9","2.36","","","","",""
="2330","台積電","市","11/06","","1465","+5","+0.34","29,955","44,105","1460","1470","1480","1465","1.03","26","8.29","","","","",""
="2308","台達電","市","11/06","","978","+11","+1.14","10,520","10,361","967","980","994","977","1.76","50.9","10.55","","","","",""
="2454","聯發科","市","11/06","","1290","-40","-3.01","8,025","10,465","1330","1320","1330","1290","3.01","19.3","5.46","","","","",""
="3231","緯創","市","11/06","","142","+4.5","+3.27","43,113","6,046","137.5","138.5","142.5","137","4","19.4","2.99","","","","",""
="3491","昇達科","櫃","11/06","","435","+13","+3.08","1,299","566","422","428","442","425.5","3.91","56.3","11.62","","","","",""
="6669","緯穎","市","11/06","","4320","+155","+3.72","1,547","6,603","4165","4150","4365","4140","5.4","22.7","8.83","","","","",""
="3008","大立光","市","11/06","","2210","+10","+0.45","427","938","2200","2190","2220","2180","1.82","12.7","1.62","","","","",""
="3443","創意","市","11/06","","1735","+130","+8.1","9,030","15,619","1605","1685","1765","1680","5.3","67.2","19.86","","","","",""
="3661","世芯-KY","市","11/06","","3670","+330","+9.88","4,297","15,589","3340","3440","3670","3430","7.19","46.2","8.46","","","","",""
="2301","光寶科","市","11/06","","169","0","0","16,548","2,813","169","171","172","168","2.37","26.9","4.59","","","","",""
="4967","十銓","市","11/06","","138","+4","+2.99","23,145","3,156","134","136.5","140","131.5","6.34","57.7","3.06","","","","",""
="2344","華邦電","市","11/06","","59","+3","+5.36","40,871","2,397","56","58.6","59","58","1.79","","2.8","","","","",""
="3711","日月光投控","市","11/06","","234","-1","-0.43","25,136","5,933","235","239.5","241.5","233.5","3.4","29.7","3.46","","","","",""
="2408","南亞科","市","11/06","","148","+10","+7.25","276,959","40,134","138","142","149","139","7.25","","2.91","","","","",""
="2882","國泰金","市","11/06","","64.7","+0.6","+0.94","15,438","999","64.1","64.6","65.1","64","1.72","11.2","1.37","","","","",""
="2891","中信金","市","11/06","","42.55","+0.3","+0.71","33,165","1,413","42.25","42.55","42.85","42.35","1.18","11.8","1.94","","","","",""
="2884","玉山金","市","11/06","","29.95","-0.35","-1.16","80,792","2,431","30.3","30.7","30.7","29.95","2.48","16","1.93","","","","",""
="2880","華南金","市","11/06","","29.6","-0.1","-0.34","8,852","262","29.7","29.85","29.9","29.4","1.68","17.4","1.9","","","","",""
="0050","元大台灣50","市","11/06","","63.3","+0.15","+0.24","68,680","4,350","63.15","63.35","63.5","63.15","0.55","","1.0065","","","","",""
="00878","國泰永續高股息","市","11/06","","21.55","+0.09","+0.42","44,018","948","21.46","21.53","21.61","21.47","0.65","","1.0009","","","","",""
="006208","富邦台50","市","11/06","","148.4","+0.85","+0.58","8,126","1,206","147.55","148.1","148.75","147.95","0.54","","1.006","","","","",""
