"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","248","+1","+0.4","65,794","11/06","249.6↘","250.6↗","245↗","237.4↗","222.7↗","219.4↗","198.4↗","191.1↗","179↗","181.4↗"
="2330","台積電","1465","+5","+0.34","29,955","11/06","1488↘","1486↗","1481→","1468↗","1339↗","1310↗","1228↗","1189↗","1109↗","1101↗"
="2308","台達電","978","+11","+1.14","10,520","11/06","979.6↘","1012↘","1013↘","1011↘","889.4↗","851.1↗","705.5↗","651.6↗","541.4↗","518.9↗"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","1309↘","1310↘","1318↘","1319↘","1369↘","1370↘","1357↗","1346↘","1378↘","1373↗"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","142.5↘","145.8↘","144.1↗","144.2↘","131.3↗","128.9↗","125.3↗","123.3↗","115.9↗","115.2↗"
="3491","昇達科","435","+13","+3.08","1,299","11/06","429.6↗","432.4↘","440.3↗","442.5↘","433.8↗","419↗","386.4↗","378.3↗","389.7↗","378.1↗"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","4293↗","4212↗","4118↗","3966↗","3467↗","3427↗","3085↗","2974↗","2598↗","2560↗"
="3008","大立光","2210","+10","+0.45","427","11/06","2217→","2226↘","2232↘","2261↘","2320↘","2330↘","2333↘","2326↘","2385↘","2405↘"
="3443","創意","1735","+130","+8.1","9,030","11/06","1617↗","1569↗","1568↗","1547↗","1420↗","1381↗","1314↗","1285↗","1246↗","1252↗"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","3480↗","3328↗","3285↗","3288↗","3559↘","3633↘","3540↗","3417↗","3169↗","3098↗"
="2301","光寶科","169","0","0","16,548","11/06","173.5↘","178.4↗","174.4↗","172.4↘","160.7↗","155.9↗","140.2↗","134.1↗","121↗","117.9↗"
="4967","十銓","138","+4","+2.99","23,145","11/06","134.8↗","132.3↗","131.1↗","128↗","99.93↗","95.29↗","86.56↗","84.41↗","82.87↗","83.02↗"
="2344","華邦電","59","+3","+5.36","40,871","11/06","55.82↗","53.95↗","50.92↗","48.61↗","36.05↗","33.08↗","27.25↗","25.7↗","22.16↗","21.13↗"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","240.3↗","224.9↗","215↗","204.9↗","180↗","174.6↗","164.4↗","160.6↗","158.1↗","158.2↗"
="2408","南亞科","148","+10","+7.25","276,959","11/06","137.4↗","131.4↗","122.4↗","114.8↗","84.01↗","77.69↗","65.7↗","62.64↗","51.93↗","48.69↗"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","64.26↗","64.69↘","64.97↘","65.18↘","64.83↗","64.7↗","64.19↘","64.22↗","63.56↘","64.31↘"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","42.22↗","42.16↗","42.23↘","42.28↗","42.4↘","42.49↘","42.74↘","42.62↗","41.28↗","40.83↗"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","30.09↗","30.34↘","31.05↘","31.49↘","32.69↘","32.88↘","32.98↘","32.56→","30.99↗","30.38↗"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","29.5↗","29.54↘","29.61↘","29.55↗","29.23↗","29.07↘","28.7↗","28.4↗","28.02↗","27.73↗"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","63.86↘","63.76↗","63.44↗","62.9↗","58.51↗","57.55↗","57.14↘","77.64↘","119.9↘","132.3↘"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","21.6↘","21.64↗","21.57↗","21.52↗","21.14↗","21.1↗","21.08↗","20.99↗","21.16↘","21.34↘"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","149.5↘","149.3↗","148.5↗","147.1↗","136.7↗","134.5↗","127.1↗","123.7↗","116.9↗","116.3↗"
