"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","248","+1","+0.4","65,794","11/06","+1.33","+13.7","+6.16","+2.49","+3.09","+15.3","+15.4","-1.81","-27.4","-39.1"
="2330","台積電","1465","+5","+0.34","29,955","11/06","+0.58","+15.2","+12.9","+15.4","+8.25","+24.1","+19.5","-12.7","-42.4","-28.2"
="2308","台達電","978","+11","+1.14","10,520","11/06","+2.52","-5.97","+8.31","+9.23","+36.8","+29.5","+165","+298","+124","+285"
="2454","聯發科","1290","-40","-3.01","8,025","11/06","+4.59","+1.77","+0.08","-3.32","+3.71","+5.03","+7.64","+12.8","+23.3","+44.2"
="3231","緯創","142","+4.5","+3.27","43,113","11/06","-0.72","-3.65","-8.49","-12.7","+1.15","-14.5","+46.7","+23.3","-35.7","-35.6"
="3491","昇達科","435","+13","+3.08","1,299","11/06","-2.79","-2.79","-1.07","-2.26","+2.24","-4.64","-2.58","+14.3","-14","-1.57"
="6669","緯穎","4320","+155","+3.72","1,547","11/06","+4.39","+5.46","+3.14","+3.34","+2.25","+0.52","-9.01","-35.4","-37.8","-17.3"
="3008","大立光","2210","+10","+0.45","427","11/06","+0.59","+3.17","+4.19","+8.74","+10.3","+20.2","+15.4","+28.6","-35.5","-34.2"
="3443","創意","1735","+130","+8.1","9,030","11/06","+10.3","+13.3","+17.3","+21.4","+21.2","+42.9","+139","+164","+62.2","+43.1"
="3661","世芯-KY","3670","+330","+9.88","4,297","11/06","+2.95","+3.39","+2.95","-0.15","-2.68","+6.17","+13.7","+32.4","+1.63","+33.1"
="2301","光寶科","169","0","0","16,548","11/06","-0.2","-0.7","-2.49","-4.9","+10.5","+10.5","+44.4","+199","+19.9","+28.1"
="4967","十銓","138","+4","+2.99","23,145","11/06","+6.69","+8.19","-5.3","-5.58","-14.1","-19.4","+19.2","+35.8","-15.9","-6.84"
="2344","華邦電","59","+3","+5.36","40,871","11/06","-2.98","-4.08","-8.1","-12.2","-19","-30.7","+112","+109","+86.3","+87.3"
="3711","日月光投控","234","-1","-0.43","25,136","11/06","+7.53","+9.28","+3.15","-1.81","+23.7","+7.51","+32.1","+47.2","-22.5","-4.39"
="2408","南亞科","148","+10","+7.25","276,959","11/06","+5.42","+10.3","+7.96","+21.9","+34.4","+75.4","+170","+246","+423","+342"
="2882","國泰金","64.7","+0.6","+0.94","15,438","11/06","-1.04","0","-0.81","+1.08","+13","+0.59","-7.79","-49","-49.8","-45.9"
="2891","中信金","42.55","+0.3","+0.71","33,165","11/06","-4.54","-5.22","-6.2","-6.6","-10.5","-6.37","-21.5","-62.1","-79.9","-75"
="2884","玉山金","29.95","-0.35","-1.16","80,792","11/06","+0.39","+0.38","-4.32","-3.48","+71.4","+941","+586","+392","+209","+228"
="2880","華南金","29.6","-0.1","-0.34","8,852","11/06","+1.56","+3.17","-1.73","-0.22","-6.76","-12.5","-52.1","-45.4","-83.3","-81.8"
="0050","元大台灣50","63.3","+0.15","+0.24","68,680","11/06","-0.19","+8.82","+6.53","+8.02","+7.13","+34.5","+36.2","+159","+582","+812"
="00878","國泰永續高股息","21.55","+0.09","+0.42","44,018","11/06","-1.69","+5.68","+9.13","+16.4","+31.1","+11.5","-44.3","-50","-40.6","-41.2"
="006208","富邦台50","148.4","+0.85","+0.58","8,126","11/06","-1.74","-1.17","+1.19","+7.96","-6.35","-1.17","-15.7","-82.3","-64.3","-66.1"
