"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","248","+1","+0.4","11/06","+1,113","-12,105","-7,443","-18,276","+10,994","+84,204","+771,843","+943,026","+55,717","-460,993","-1,603,132","+386,652"
="2330","台積電","1465","+5","+0.34","11/06","-2,097","-32,898","-29,991","-34,190","-45,704","-106,230","-76,854","+255,582","-31,112","+751,008","-890,401","+3,593"
="2308","台達電","978","+11","+1.14","11/06","-1,244","-1,955","-5,269","-13,102","-20,943","-28,751","-59,179","+3,568","-12,917","-14,783","-127,772","-31,072"
="2454","聯發科","1290","-40","-3.01","11/06","-3,216","-2,283","+583","-2,781","-8,212","-12,657","-32,233","-15,758","-22,013","-46,410","-16,774","-30,094"
="3231","緯創","142","+4.5","+3.27","11/06","+2,897","+3,615","+6,019","-11,776","-6,955","-91,161","-5,063","+79,426","-13,910","-52,912","-34,641","+5,535"
="3491","昇達科","435","+13","+3.08","11/06","+328","+264","-77","+437","-78","+1,420","+4,093","-1,177","+1,358","+7,569","+8,608","+1,802"
="6669","緯穎","4320","+155","+3.72","11/06","-155","-445","-415","-632","-1,005","-454","-2,306","+5,232","-1,700","+97","","+203"
="3008","大立光","2210","+10","+0.45","11/06","-72","-149","-164","-64","-713","-1,712","-1,171","-3,308","-2,364","-5,437","-22,970","-1,224"
="3443","創意","1735","+130","+8.1","11/06","+228","-398","-153","+187","+138","+5,787","+7,156","+7,064","+7,490","-7,504","+29,042","+7,586"
="3661","世芯-KY","3670","+330","+9.88","11/06","+546","+336","+362","-127","-66","-1,271","-3,881","-1,739","+2,253","+1,972","+4,634","-5,364"
="2301","光寶科","169","0","0","11/06","-2,102","-1,300","-4,921","-11,819","-24,307","-32,528","-50,184","+15,593","+81,269","-371,472","-383,995","+61,760"
="4967","十銓","138","+4","+2.99","11/06","-1,127","-599","-3,007","-3,369","-3,719","+3,820","+4,899","+5,344","+4,049","+1,597","","+5,172"
="2344","華邦電","59","+3","+5.36","11/06","+4,901","+12,254","+15,709","+20,508","+63,036","+93,775","+492,102","+527,981","+408,506","-71,936","+325,768","+439,984"
="3711","日月光投控","234","-1","-0.43","11/06","+2,640","+8,919","+15,034","+29,282","+56,776","+104,841","+156,249","+131,795","+116,917","+192,377","","+87,754"
="2408","南亞科","148","+10","+7.25","11/06","+3,242","-5,705","-14,570","-9,807","-21,562","-4,932","+222,602","+267,104","+191,991","+3,608","-99,786","+187,429"
="2882","國泰金","64.7","+0.6","+0.94","11/06","+1,626","-3,137","-546","-7,819","-9,202","+13,999","+75,761","-999,399","-1,050,196","-303,472","-982,347","-1,103,034"
="2891","中信金","42.55","+0.3","+0.71","11/06","+15,262","+13,595","+17,352","+17,706","+5,002","-12,742","-55,753","-78,125","+269,515","-1,362,962","-1,531,346","+27,131"
="2884","玉山金","29.95","-0.35","-1.16","11/06","-41,975","-41,975","-30,447","-27,958","-246,157","-240,506","-203,072","+191,463","+502,457","+197,855","-2,550,268","+380,649"
="2880","華南金","29.6","-0.1","-0.34","11/06","+120","+294","+2,743","+5,699","+15,799","+38,334","+73,702","+131,042","+10,242","-945","+52,254","+146,554"
="0050","元大台灣50","63.3","+0.15","+0.24","11/06","-18,000","-119,788","-144,347","-207,156","-395,825","-907,667","-1,382,870","-1,866,037","-2,443,743","-2,274,060","-2,700,887","-2,364,728"
="00878","國泰永續高股息","21.55","+0.09","+0.42","11/06","+3,460","-40,746","-69,114","-79,162","-59,521","-47,660","+150,134","+178,649","-543,323","-1,620,349","","-227,424"
="006208","富邦台50","148.4","+0.85","+0.58","11/06","-3,076","-8,341","-9,119","-12,966","-15,097","-27,301","-3,843","+113,361","+12,195","-130,961","-198,219","+57,413"
