"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","257.5","-4.5","-1.72","63,120","10/31","12,865","20,917","-8,051","219","2,394","-2,175","1,519","2,444","-926","14,603","25,756","-11,153","－－－"
="2330","台積電","1500","-5","-0.33","33,839","10/31","16,494","24,221","-7,726","347","55","+292","3,296","238","+3,058","20,137","24,513","-4,376","－＋＋"
="2308","台達電","995","-15","-1.49","21,050","10/31","5,430","9,868","-4,438","121","1,530","-1,409","883","1,971","-1,088","6,434","13,369","-6,934","－－－"
="2454","聯發科","1310","0","0","7,731","10/31","3,998","5,039","-1,040","15","119","-104","517","105","+412","4,529","5,262","-733","－－＋"
="3231","緯創","150.5","-4.5","-2.9","59,060","10/31","12,795","21,181","-8,386","134","4,118","-3,984","705","1,970","-1,265","13,634","27,269","-13,635","－－－"
="3491","昇達科","440","+17.5","+4.14","2,705","10/31","1,084","586","+498","0","0","0","208","26","+182","1,292","613","+680","＋・＋"
="3008","大立光","2215","+5","+0.23","475","10/31","309","193","+116","1","0","+1","21","8","+13","331","202","+130","＋＋＋"
="3443","創意","1530","+90","+6.25","7,122","10/31","2,625","2,536","+89","101","1","+100","321","102","+218","3,047","2,640","+407","＋＋＋"
="3661","世芯-KY","3495","+140","+4.17","3,075","10/31","849","977","-128","386","5","+381","109","101","+8","1,343","1,083","+260","－＋＋"
="2301","光寶科","179.5","-1.5","-0.83","45,567","10/31","12,473","20,067","-7,594","158","1,384","-1,226","2,590","973","+1,617","15,221","22,423","-7,203","－－＋"
="4967","十銓","135","+7","+5.47","3,831","10/31","84","345","-261","0","0","0","87","4","+83","171","349","-178","－・＋"
="2344","華邦電","54.2","-1","-1.81","57,762","10/31","14,014","20,331","-6,317","24","2,866","-2,842","9,563","1,299","+8,264","23,601","24,496","-895","－－＋"
="3711","日月光投控","247.5","+22.5","+10","54,453","10/31","27,492","17,111","+10,381","419","679","-260","583","1,732","-1,148","28,494","19,522","+8,972","＋－－"
="2882","國泰金","64","-0.6","-0.93","17,342","10/31","8,180","14,328","-6,148","0","560","-560","998","179","+819","9,178","15,067","-5,890","－－＋"
="2891","中信金","41.85","-0.1","-0.24","27,209","10/31","15,822","19,714","-3,891","5,573","3,233","+2,340","1,167","903","+264","22,562","23,850","-1,288","－＋＋"
="2884","玉山金","29.75","-0.05","-0.17","95,362","10/31","47,017","50,652","-3,635","1,849","398","+1,451","770","903","-133","49,636","51,953","-2,317","－＋－"
="2880","華南金","29.2","-0.1","-0.34","9,426","10/31","8,071","6,048","+2,023","60","118","-58","438","943","-505","8,569","7,110","+1,459","＋－－"
="0050","元大台灣50","64.75","+0.35","+0.54","55,957","10/31","1,974","8,028","-6,054","35","187","-152","9,933","19,755","-9,822","11,942","27,970","-16,028","－－－"
="00878","國泰永續高股息","21.72","-0.03","-0.14","27,283","10/31","1,117","651","+466","0","0","0","5,766","3,012","+2,754","6,883","3,663","+3,220","＋・＋"
="006208","富邦台50","151.8","+0.9","+0.6","3,745","10/31","356","199","+157","0","200","-200","979","1,111","-133","1,335","1,511","-176","＋－－"
