"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","257.5","-4.5","-1.72","63,120","10/31","255.2↗","246.2↗","235.4↗","232.8↗","219.3↗","215.6↗","194.7↗","188.1↗","177.8↗","180.9↗"
="2330","台積電","1500","-5","-0.33","33,839","10/31","1493↗","1478↗","1468↗","1448↗","1312↗","1289↗","1211↗","1172↗","1102↗","1094↗"
="2308","台達電","995","-15","-1.49","21,050","10/31","1042↘","1027↘","1022↗","1000↗","863.3↗","827.9↗","682.5↗","631.4↗","530.3↗","509.3↗"
="2454","聯發科","1310","0","0","7,731","10/31","1314↗","1320↘","1321↘","1318↘","1374↘","1372↘","1356↗","1348↘","1380↘","1372↗"
="3231","緯創","150.5","-4.5","-2.9","59,060","10/31","150.5↗","146↗","144.8→","146.4↗","129.1↗","127.8↗","124.3↗","122.4↗","115.2↗","114.9↗"
="3491","昇達科","440","+17.5","+4.14","2,705","10/31","434.1↘","444.2↘","445.1↘","447.2↘","427↗","413.2↗","383↗","376↗","388.8↗","376.1↗"
="3008","大立光","2215","+5","+0.23","475","10/31","2223↘","2237↘","2258↘","2298↘","2332↘","2343↘","2338↘","2327↗","2393↘","2407↘"
="3443","創意","1530","+90","+6.25","7,122","10/31","1504↘","1550↗","1527↗","1493↗","1383↗","1357↗","1294↗","1268↗","1239↗","1245↗"
="3661","世芯-KY","3495","+140","+4.17","3,075","10/31","3246↗","3228↗","3227↗","3265↗","3584↘","3653↘","3511↗","3390↗","3162↗","3080↗"
="2301","光寶科","179.5","-1.5","-0.83","45,567","10/31","185.2↗","176↗","172.6↗","172.3↗","157↗","153.4↗","137.6↗","131.8↗","119.6↗","116.8↗"
="4967","十銓","135","+7","+5.47","3,831","10/31","131.2↗","129.7↗","127.5↗","119.3↗","94.9↗","91.17↗","84.09↗","82.41↗","81.74↗","82.33↗"
="2344","華邦電","54.2","-1","-1.81","57,762","10/31","53.66↗","49.5↗","47.07↗","44.93↗","33.01↗","30.48↗","25.75↗","24.41↗","21.33↗","20.51↗"
="3711","日月光投控","247.5","+22.5","+10","54,453","10/31","219.8↗","207.9↗","198↗","190.6↗","172.5↗","168.5↗","160.6↗","157.5↗","156.7↗","156.8↗"
="2882","國泰金","64","-0.6","-0.93","17,342","10/31","64.78↘","65.15↘","65.39↘","65.33↘","64.8↘","64.61↗","64.33↘","64.01↗","63.64↘","64.39↘"
="2891","中信金","41.85","-0.1","-0.24","27,209","10/31","42.07↘","42.16↘","42.26↘","42.35↘","42.44↘","42.52↘","42.75↘","42.56↗","41.21↗","40.75↗"
="2884","玉山金","29.75","-0.05","-0.17","95,362","10/31","30.01↘","31.26↘","31.75↘","32.04↘","32.98↘","33.07↘","33.02↘","32.55↘","30.93↗","30.33↗"
="2880","華南金","29.2","-0.1","-0.34","9,426","10/31","29.45↘","29.6↘","29.56→","29.48↘","29.12↗","29.08↘","28.58↗","28.34↗","27.96↗","27.66↗"
="0050","元大台灣50","64.75","+0.35","+0.54","55,957","10/31","64.14↗","63.41↗","62.81↗","62.12↗","57.6↗","56.76↗","61.81↘","81.23↘","122.6↘","134.4↘"
="00878","國泰永續高股息","21.72","-0.03","-0.14","27,283","10/31","21.72↗","21.6↗","21.5↗","21.46↗","21.06↗","21.08↗","21.05↗","20.98↗","21.18↘","21.37↘"
="006208","富邦台50","151.8","+0.9","+0.6","3,745","10/31","150.3↗","148.4↗","146.9↗","145.2↗","134.6↗","132.7↗","125.6↗","122.3↗","116.3↗","115.7↗"
