"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","257.5","-4.5","-1.72","63,120","10/31","265.4↗","-2.98","232.8↗","+10.6","200.2↗","+28.6","65.2↗","0.88↘","0.28↗"
="2330","台積電","1500","-5","-0.33","33,839","10/31","1539↘","-2.56","1448↗","+3.61","1356↗","+10.6","183↘","0.78↘","0.13↘"
="2308","台達電","995","-15","-1.49","21,050","10/31","1099↘","-9.5","1000↗","-0.55","901.5↗","+10.4","198↘","0.47↘","0.2↘"
="2454","聯發科","1310","0","0","7,731","10/31","1354↘","-3.25","1318↘","-0.61","1282↘","+2.18","71.9↗","0.39↗","0.05↗"
="3231","緯創","150.5","-4.5","-2.9","59,060","10/31","157.9↗","-4.68","146.4↗","+2.82","134.9↗","+11.6","23↘","0.68↘","0.16↘"
="3491","昇達科","440","+17.5","+4.14","2,705","10/31","473.8↘","-7.13","447.2↘","-1.6","420.5↘","+4.64","53.3↗","0.37↗","0.12↗"
="3008","大立光","2215","+5","+0.23","475","10/31","2491↘","-11.1","2298↘","-3.62","2105↘","+5.22","386↗","0.28↗","0.17↗"
="3443","創意","1530","+90","+6.25","7,122","10/31","1672↘","-8.51","1493↗","+2.46","1314↗","+16.4","358↘","0.6↗","0.24↘"
="3661","世芯-KY","3495","+140","+4.17","3,075","10/31","3569↗","-2.06","3265↗","+7.04","2962↘","+18","607↗","0.88↗","0.19↗"
="2301","光寶科","179.5","-1.5","-0.83","45,567","10/31","189.6↗","-5.31","172.3↗","+4.18","155↗","+15.8","34.5↗","0.71↘","0.2↗"
="4967","十銓","135","+7","+5.47","3,831","10/31","150.2↗","-10.1","119.3↗","+13.2","88.41↗","+52.7","61.8↘","0.75↗","0.52↘"
="2344","華邦電","54.2","-1","-1.81","57,762","10/31","56.81↗","-4.6","44.93↗","+20.6","33.05↗","+64","23.8↘","0.89↘","0.53↘"
="3711","日月光投控","247.5","+22.5","+10","54,453","10/31","234.1↗","+5.72","190.6↗","+29.9","147↘","+68.4","87.1↗","1.15↗","0.46↗"
="2882","國泰金","64","-0.6","-0.93","17,342","10/31","66.45↗","-3.69","65.33↘","-2.04","64.22↘","-0.34","2.23↗","-0.1↘","0.03↗"
="2891","中信金","41.85","-0.1","-0.24","27,209","10/31","43.01↘","-2.7","42.35↘","-1.18","41.69↘","+0.38","1.32↗","0.12↘","0.03↗"
="2884","玉山金","29.75","-0.05","-0.17","95,362","10/31","34.43↗","-13.6","32.04↘","-7.14","29.64↘","+0.36","4.79↗","0.02↗","0.15↗"
="2880","華南金","29.2","-0.1","-0.34","9,426","10/31","29.99↘","-2.62","29.48↘","-0.96","28.98↘","+0.77","1.01↗","0.22↘","0.03↗"
="0050","元大台灣50","64.75","+0.35","+0.54","55,957","10/31","65.55↗","-1.21","62.12↗","+4.23","58.69↗","+10.3","6.85↘","0.88↗","0.11↘"
="00878","國泰永續高股息","21.72","-0.03","-0.14","27,283","10/31","21.83↗","-0.52","21.46↗","+1.2","21.09↗","+2.98","0.74↗","0.85↘","0.03↗"
="006208","富邦台50","151.8","+0.9","+0.6","3,745","10/31","153.7↗","-1.21","145.2↗","+4.54","136.8↗","+11","16.9↘","0.89↗","0.12↘"
