"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/31","","257.5","-4.5","-1.72","63,120","16,335","262","261","262","257","1.91","19.6","2.45","","","","",""
="2330","台積電","市","10/31","","1500","-5","-0.33","33,839","51,074","1505","1515","1525","1500","1.66","26.6","8.49","","","","",""
="2308","台達電","市","10/31","","995","-15","-1.49","21,050","21,028","1010","1000","1015","990","2.48","51.7","10.74","","","","",""
="2454","聯發科","市","10/31","","1310","0","0","7,731","10,087","1310","1300","1325","1290","2.67","19.6","5.55","","","","",""
="3231","緯創","市","10/31","","150.5","-4.5","-2.9","59,060","8,968","155","155.5","155.5","149","4.19","20.6","3.16","","","","",""
="3491","昇達科","櫃","10/31","","440","+17.5","+4.14","2,705","1,191","422.5","429.5","452","425.5","6.27","57","11.75","","","","",""
="3008","大立光","市","10/31","","2215","+5","+0.23","475","1,058","2210","2230","2255","2215","1.81","13","1.66","","","","",""
="3443","創意","市","10/31","","1530","+90","+6.25","7,122","10,895","1440","1475","1575","1470","7.29","56.6","18.98","","","","",""
="3661","世芯-KY","市","10/31","","3495","+140","+4.17","3,075","10,711","3355","3500","3535","3415","3.58","44","8.05","","","","",""
="2301","光寶科","市","10/31","","179.5","-1.5","-0.83","45,567","8,077","181","179","181.5","173.5","4.42","28.6","4.87","","","","",""
="4967","十銓","市","10/31","","135","+7","+5.47","3,831","506","128","129","135","128.5","5.08","56.5","2.99","","","","",""
="2344","華邦電","市","10/31","","54.2","-1","-1.81","57,762","3,132","55.2","55.2","55.2","53.5","3.08","","2.78","","","","",""
="3711","日月光投控","市","10/31","","247.5","+22.5","+10","54,453","13,230","225","225.5","247.5","225","10","31.4","3.66","","","","",""
="2882","國泰金","市","10/31","","64","-0.6","-0.93","17,342","1,113","64.6","65.2","65.2","64","1.86","11.1","1.36","","","","",""
="2891","中信金","市","10/31","","41.85","-0.1","-0.24","27,209","1,142","41.95","42.2","42.2","41.85","0.83","11.6","1.9","","","","",""
="2884","玉山金","市","10/31","","29.75","-0.05","-0.17","95,362","2,831","29.8","29.7","29.9","29.55","1.17","15.9","1.92","","","","",""
="2880","華南金","市","10/31","","29.2","-0.1","-0.34","9,426","276","29.3","29.65","29.7","29.15","1.88","17.2","1.87","","","","",""
="0050","元大台灣50","市","10/31","","64.75","+0.35","+0.54","55,957","3,617","64.4","64.6","64.8","64.4","0.62","","1.0108","","","","",""
="00878","國泰永續高股息","市","10/31","","21.72","-0.03","-0.14","27,283","593","21.75","21.75","21.75","21.69","0.28","","0.9982","","","","",""
="006208","富邦台50","市","10/31","","151.8","+0.9","+0.6","3,745","567","150.9","151.1","151.9","150.95","0.63","","1.0102","","","","",""
