"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","257.5","-4.5","-1.72","10/31","11.4↗","8.39↗","6.09↘","18.9↗","13.7↗","10.4↗","20.1↗","16.2↗","7.81↗"
="2330","台積電","1500","-5","-0.33","10/31","53.9↘","56↘","-4.12↘","113↗","83.4↗","59.3↗","156↗","127↗","58.2↗"
="2308","台達電","995","-15","-1.49","10/31","49.8↘","58.1↘","-16.6↘","154↗","123↗","62.2↘","112↗","55.8↗","112↗"
="2454","聯發科","1310","0","0","10/31","-17.4↗","-18.6↗","2.47↘","-6.47↘","2.75↘","-18.4↘","107↘","124↘","-34.9↘"
="3231","緯創","150.5","-4.5","-2.9","10/31","5.64↗","5.5↗","0.28↘","8.91↗","6.03↗","5.77↗","13.3↗","12↗","2.54↗"
="3491","昇達科","440","+17.5","+4.14","10/31","1.53↘","5.88↘","-8.71↗","24.3↘","17.5↗","13.6↘","56.9↗","54↗","5.8↗"
="3008","大立光","2215","+5","+0.23","10/31","-35.3↘","-29.3↘","-12.1↗","-28.1↘","-20.4↘","-15.3↘","-24.9↘","4.2↘","-58.1↘"
="3443","創意","1530","+90","+6.25","10/31","46↘","56.4↘","-20.9↗","85.4↗","52.2↗","66.5↘","53.6↗","50.6↗","5.88↗"
="3661","世芯-KY","3495","+140","+4.17","10/31","-85.2↗","-126↗","81.3↗","93.5↘","184↘","-181↗","371↘","337↗","68.6↘"
="2301","光寶科","179.5","-1.5","-0.83","10/31","6.33↘","5.72↗","1.23↘","18↗","14.3↗","7.39↗","14.1↗","7.66↗","12.9↗"
="4967","十銓","135","+7","+5.47","10/31","11.3↘","11.6↘","-0.77↘","11↗","3.96↗","14↗","4.22↗","4.45↘","-0.47↗"
="2344","華邦電","54.2","-1","-1.81","10/31","5.94↗","5.32↗","1.23↘","7.48↗","4.25↗","6.46↗","1.5↗","-1.07↗","5.14↗"
="3711","日月光投控","247.5","+22.5","+10","10/31","14.9↗","10.2↗","9.41↗","13.5↗","6.06↗","14.8↗","13.3↗","10.7↗","5.33↗"
="2882","國泰金","64","-0.6","-0.93","10/31","-0.04↘","0.17↘","-0.42↘","0.62↘","0.46↗","0.34↘","3.41↘","3.76↘","-0.71↗"
="2891","中信金","41.85","-0.1","-0.24","10/31","-0.16↘","-0.1↘","-0.13↘","0.49↘","0.7↘","-0.42↘","3.79↘","3.75↗","0.09↘"
="2884","玉山金","29.75","-0.05","-0.17","10/31","-0.83↘","-0.53↘","-0.59↘","0.44↘","0.9↘","-0.91↘","1.52↘","1.1↗","0.83↘"
="2880","華南金","29.2","-0.1","-0.34","10/31","0.1↘","0.15↘","-0.1↘","0.58↘","0.54↗","0.09↘","1.56↗","1.41↗","0.29↗"
="0050","元大台灣50","64.75","+0.35","+0.54","10/31","1.83↗","1.77↗","0.12↗","-20.3↗","-25.8↗","11↗","-19.6↘","-2.86↘","-33.5↗"
="00878","國泰永續高股息","21.72","-0.03","-0.14","10/31","0.16↗","0.15↗","0.03↘","0.07↗","-0.05↗","0.25↗","0.23↗","0.48↘","-0.5↗"
="006208","富邦台50","151.8","+0.9","+0.6","10/31","4.64↗","4.56↗","0.17↗","9.56↗","7.07↗","4.98↗","12.5↗","10.1↗","4.96↗"
