"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","257.5","-4.5","-1.72","10/31","73↘","70.7↘","89.9↗","83.2↗","84.3↗","75.2↗","78↗","73.1↗","87.1↗","71.6↗"
="2330","台積電","1500","-5","-0.33","10/31","67↘","68↘","95↗","86.4↗","88.1↗","81.4↗","85.1↗","81.4↗","91.7↗","89↗"
="2308","台達電","995","-15","-1.49","10/31","39.3↘","53.3↘","83.2↘","84.8↘","93.1↗","86.8↗","91.5↗","86.9↗","97.2↗","91.9↗"
="2454","聯發科","1310","0","0","10/31","44.5→","43.7→","39.7↗","44.4↗","48.6↘","54.7↘","60.7↘","61.8↘","67.2↘","64.8↘"
="3231","緯創","150.5","-4.5","-2.9","10/31","60.9↘","62.9↘","69.6↗","67.1↗","76.5↗","69.6↗","81.5↗","78.3↗","92.1↗","81.7↗"
="3491","昇達科","440","+17.5","+4.14","10/31","49.3↗","49.5↗","58.4↘","59.3↘","66.6↘","65.7↘","82↘","79↘","85.5↗","81.9↗"
="3008","大立光","2215","+5","+0.23","10/31","36.3↗","39.5↗","37.4↘","41.9↘","34.6↘","43.9↘","39.7↘","44.2↘","44.7↘","51.3↘"
="3443","創意","1530","+90","+6.25","10/31","53.1↗","55.5↗","64.8↘","63.7↘","69.7↗","60.2↗","61.1↗","61.1↗","77.4↗","77.9↗"
="3661","世芯-KY","3495","+140","+4.17","10/31","71.4↗","57.6↗","51.8↗","52.1↗","56.5↗","57.2↗","67.2↗","67.4↗","94↗","93.1"
="2301","光寶科","179.5","-1.5","-0.83","10/31","53.2↘","56.9↘","78.6↗","76.6↗","89.4↗","78.6↗","85.7↗","80.4↗","85.8↗","77.7↗"
="4967","十銓","135","+7","+5.47","10/31","68.5↗","71.5↗","93.5↗","85.6↗","84.1↗","70.6↗","70.1↗","65.9↗","84.6↗",""
="2344","華邦電","54.2","-1","-1.81","10/31","78.5↘","77.5↘","95↗","90.4↗","89.9↗","80.2↗","82.1↗","72.2↗","69.3↗","61.1↗"
="3711","日月光投控","247.5","+22.5","+10","10/31","93.7↗","87.4↗","95.5↗","87.5↗","87.6↗","78.4↗","85.4↗","78.9↗","90.4↗",""
="2882","國泰金","64","-0.6","-0.93","10/31","20.2↘","36.4↘","43.8↘","49.2↘","55.9↘","57.8↘","63.1↘","60.7↘","58.9↘","47.8↘"
="2891","中信金","41.85","-0.1","-0.24","10/31","36.6↘","40.9↘","40.2↘","48.6↘","60.4↘","64.9↘","71.8↘","69.6↘","79↗","61.6↗"
="2884","玉山金","29.75","-0.05","-0.17","10/31","16.4↘","22.8↘","18.7↘","34.8↘","44.7↘","52.3↘","53.3↘","55.8↘","69.2↗","62.3↗"
="2880","華南金","29.2","-0.1","-0.34","10/31","29.1↘","42.4↘","51.2↘","55.8↘","66.2↘","65.4↘","75.3↘","70.2↘","70.9↗","42↗"
="0050","元大台灣50","64.75","+0.35","+0.54","10/31","74.6↗","72.7↗","61.1↗","34↗","25↗","29.3↗","29.9↗","37.5↗","40.2↘","46.2↘"
="00878","國泰永續高股息","21.72","-0.03","-0.14","10/31","68.3↘","66.8↘","72.8↗","61.1↗","57.5↗","54.4↗","59.8↗","63.4↗","73.8",""
="006208","富邦台50","151.8","+0.9","+0.6","10/31","75.6↗","73.2↗","96.2↗","88.3↗","87.5↗","80.6↗","84.9↗","80↗","88.1↗","86.1↗"
