"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","257.5","-4.5","-1.72","63,120","10/31","79.2↘","87.8↘","87.4↗","88.8↘","87.4↘","即將交叉",""
="2330","台積電","市","1500","-5","-0.33","33,839","10/31","72.2↘","75.9↘","75.5↗","76.9↘","75.5↘","即將交叉","是"
="2308","台達電","市","995","-15","-1.49","21,050","10/31","9.09↘","42.6↘","59.7↘","8.41↘","71.3↘","1日前",""
="2454","聯發科","市","1310","0","0","7,731","10/31","30.8↗","31.1↘","35.1↘","23.3↗","","",""
="3231","緯創","市","150.5","-4.5","-2.9","59,060","10/31","65.7↘","76.3↘","69.7↗","89.5↘","72.2↘","即將交叉",""
="3491","昇達科","櫃","440","17.5","+4.14","2,705","10/31","43.3↗","29.3↗","33.5↘","20.9↗","32.5↗","即將交叉",""
="3008","大立光","市","2215","5","+0.23","475","10/31","17.4↗","20.5↘","24.4↘","12.6↘","29.3↘","2日前",""
="3443","創意","市","1530","90","+6.25","7,122","10/31","39↗","31.9↗","42.5↘","10.6↗","36.1↗","即將交叉",""
="3661","世芯-KY","市","3495","140","+4.17","3,075","10/31","92.2↘","70.7↗","54↗","104↗","37.2↗","2日前",""
="2301","光寶科","市","179.5","-1.5","-0.83","45,567","10/31","51.4↘","64.8↘","66.3↘","61.8↘","66.4↘","今日",""
="4967","十銓","市","135","7","+5.47","3,831","10/31","82.6↗","58.2↗","61.7↘","51.2↗","61.3↗","即將交叉",""
="2344","華邦電","市","54.2","-1","-1.81","57,762","10/31","78.9↘","85.9↘","86↘","85.6↘","86↘","今日",""
="3711","日月光投控","市","247.5","22.5","+10","54,453","10/31","100↗","94.8↗","90.8↗","103↗","","",""
="2882","國泰金","市","64","-0.6","-0.93","17,342","10/31","0↘","12.4↘","19.9↘","-2.63↘","","",""
="2891","中信金","市","41.85","-0.1","-0.24","27,209","10/31","6.9↘","13.8↘","20.8↘","-0.16↘","","",""
="2884","玉山金","市","29.75","-0.05","-0.17","95,362","10/31","6.45↗","9.86↘","17.1↘","-4.69↗","","",""
="2880","華南金","市","29.2","-0.1","-0.34","9,426","10/31","5.88↘","26.7↘","45.9↘","-11.5↘","","",""
="0050","元大台灣50","市","64.75","0.35","+0.54","55,957","10/31","98.4↗","91.7↗","88.4↗","98.2↗","84.6↗","2日前",""
="00878","國泰永續高股息","市","21.72","-0.03","-0.14","27,283","10/31","72.3↘","77.1↘","75.6↗","80.1↘","76↘","即將交叉",""
="006208","富邦台50","市","151.8","0.9","+0.6","3,745","10/31","98.6↗","91.8↗","88.1↗","99.2↗","","",""
