"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","257.5","-4.5","-1.72","10/31","44.9↘","11.8↘","35.3↗","31.2↗","41.8↗","15.2↘","35.3↗","29.4↘","39.2↗","15.9↘","28.5↗","31.2↗"
="2330","台積電","1500","-5","-0.33","10/31","44.5↘","17.6↘","45.2↘","46.7↗","40.1↘","8.05↘","37↗","28.5↗","45.9↗","14.2↘","34.5↗","32.6↗"
="2308","台達電","995","-15","-1.49","10/31","31.4↘","16.2↗","57.6↘","55.4↘","50.1↗","2.81↘","60.4↗","42.2↗","56.5↗","8.31↘","36.2↗","31.6↗"
="2454","聯發科","1310","0","0","10/31","17↘","24.2↗","14.4↗","18.5↘","23.4↘","23.5↘","10.5↘","14.8↘","24.2↘","15.7↘","21.5↘","23.9↘"
="3231","緯創","150.5","-4.5","-2.9","10/31","34.6↘","14.5↗","38.4↗","41.6↗","35.2↗","16.6↘","18↗","13.4↗","31.7↗","12.9↘","35.5↗","42.8↘"
="3491","昇達科","440","+17.5","+4.14","10/31","20.4↗","19.6↘","24.3↘","36.4↘","26.1↘","17.5↗","25.2↘","22.8↘","29↘","11↘","37.9↗","37.6↗"
="3008","大立光","2215","+5","+0.23","10/31","18.9↘","25.8↘","14.2↗","14.8↗","18.4↘","23.6↘","15.5↘","20.2↘","15.5↘","25.1↗","17.4↗","17.1↗"
="3443","創意","1530","+90","+6.25","10/31","35.2↗","23.2↘","30.5↘","26.3↗","32↘","17.4↗","19.3↗","16.1↘","27.8↗","17.2↘","16.9↗","24.5↘"
="3661","世芯-KY","3495","+140","+4.17","10/31","31↗","23.7↘","20.3↘","19.4↘","19.9↗","22.3↘","19.7↘","18.6↗","29.9↘","19.3↗","30.3↘","35.8↘"
="2301","光寶科","179.5","-1.5","-0.83","10/31","30.3↘","20.1↗","30.5↘","33.9↘","43.3↗","9.4↘","41.7↗","28.9↗","40.5↘","11.2↘","35.4↗","37.9↗"
="4967","十銓","135","+7","+5.47","10/31","39.7↗","9.96↘","58.6↗","49↗","44.8↗","6.83↘","32.8↗","26.1↗","41.2↗","12.9↘","34.9↗","39.2↗"
="2344","華邦電","54.2","-1","-1.81","10/31","49.4↘","7.24↘","63.3↗","62.8↗","56.6↗","3.73↘","44.3↗","31.9↗","50.5↗","11.4↘","21.1↗","18.1↗"
="3711","日月光投控","247.5","+22.5","+10","10/31","58.7↗","7.07↘","45.5↗","38.1↗","48.9↗","8.98↘","24.5↗","19.9↗","39.8↗","11.1↘","33↗","34.4↗"
="2882","國泰金","64","-0.6","-0.93","10/31","19↘","20.4↘","18.9↘","20.9↘","17.4↘","17.7↗","9.52↘","13.2↘","20.4↘","18.1↘","20↘","22.8↘"
="2891","中信金","41.85","-0.1","-0.24","10/31","23.1↘","23.6↘","9.17↘","12.2↘","18.7↗","21.1↘","12.7↘","15.5↘","27↘","13.2↘","36.6↘","33.8↗"
="2884","玉山金","29.75","-0.05","-0.17","10/31","6.2↘","44.7↗","42↗","30↗","18↘","34.8↗","14.7↗","18.2↗","24.7↘","24↗","13.4↘","13.4↘"
="2880","華南金","29.2","-0.1","-0.34","10/31","14.4↘","20.1↘","13.5↗","17.8↘","26.1↘","19.4↗","16.3↘","15.8↘","23.4↘","11.9↘","24↗","21.8↗"
="0050","元大台灣50","64.75","+0.35","+0.54","10/31","46↘","19↘","37.7↗","37.8↗","20.9↗","51.7↘","51.2↘","47↗","18.6↗","48.4↘","35.4↗","30.8↗"
="00878","國泰永續高股息","21.72","-0.03","-0.14","10/31","39.3↘","23.3↘","25.4↗","25.5↗","27.4↗","27.8↘","22.2↘","26.8↘","15.8↗","27.8↘","26.9↗","29.6↘"
="006208","富邦台50","151.8","+0.9","+0.6","10/31","47.5↘","17.6↘","45.3↗","46.5↗","44.8↗","9.54↘","34.6↗","27↗","45.1↗","16.6↘","30.6↗","30.3↗"
