"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","10/30","","262","+2","+0.77","108,446","28,367","260","262.5","265","256.5","3.27","20","2.49","","","","",""
="2330","台積電","市","10/30","","1505","0","0","30,058","45,379","1505","1515","1520","1500","1.33","26.7","8.52","","","","",""
="2308","台達電","市","10/30","","1010","-50","-4.72","23,687","24,174","1060","1070","1070","1005","6.13","52.5","10.9","","","","",""
="2454","聯發科","市","10/30","","1310","+10","+0.77","5,817","7,633","1300","1305","1325","1300","1.92","19.6","5.55","","","","",""
="3231","緯創","市","10/30","","155","+2.5","+1.64","76,209","11,737","152.5","154","156.5","151","3.61","21.2","3.26","","","","",""
="3491","昇達科","櫃","10/30","","422.5","-6","-1.4","1,660","701","428.5","432","433","417.5","3.62","54.7","11.28","","","","",""
="3008","大立光","市","10/30","","2210","-10","-0.45","555","1,228","2220","2230","2250","2195","2.48","12.9","1.66","","","","",""
="3443","創意","市","10/30","","1440","-30","-2.04","3,036","4,366","1470","1480","1480","1415","4.42","53.2","17.86","","","","",""
="3661","世芯-KY","市","10/30","","3355","+105","+3.23","2,715","8,999","3250","3315","3380","3195","5.69","42.3","7.73","","","","",""
="2301","光寶科","市","10/30","","181","-14","-7.18","106,014","18,962","195","185","186","175.5","5.38","28.8","4.91","","","","",""
="4967","十銓","市","10/30","","128","+2","+1.59","2,367","305","126","128","131","127","3.17","53.6","2.84","","","","",""
="2344","華邦電","市","10/30","","55.2","+1.2","+2.22","74,032","4,097","54","55.7","57","53.4","6.67","","2.83","","","","",""
="3711","日月光投控","市","10/30","","225","+4","+1.81","46,444","10,387","221","220","227.5","219","3.85","28.6","3.33","","","","",""
="2882","國泰金","市","10/30","","64.6","-0.2","-0.31","18,428","1,189","64.8","64.8","65.1","64.1","1.54","11.2","1.37","","","","",""
="2891","中信金","市","10/30","","41.95","-0.05","-0.12","29,270","1,227","42","42","42.15","41.75","0.95","11.6","1.91","","","","",""
="2884","玉山金","市","10/30","","29.8","-0.4","-1.32","106,586","3,192","30.2","30.2","30.2","29.8","1.32","15.9","1.92","","","","",""
="2880","華南金","市","10/30","","29.3","-0.25","-0.85","15,501","456","29.55","29.7","29.7","29.2","1.69","17.2","1.88","","","","",""
="0050","元大台灣50","市","10/30","","64.4","0","0","95,107","6,126","64.4","64.6","64.8","64","1.24","","1.0025","","","","",""
="00878","國泰永續高股息","市","10/30","","21.75","-0.01","-0.05","51,447","1,115","21.76","21.74","21.76","21.61","0.69","","0.9963","","","","",""
="006208","富邦台50","市","10/30","","150.9","-0.05","-0.03","4,419","667","150.95","151","151.65","150.05","1.06","","1.0013","","","","",""
