"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","262","+2","+0.77","10/30","85.4↗","76.5↗","90.7↗","84↗","84.9↗","75.8↗","78.5↗","73.5↗","87.4↗","72↗"
="2330","台積電","1505","0","0","10/30","70.9→","69.6→","95.1↗","86.6↗","88.2↗","81.5↗","85.2↗","81.5↗","91.7↗","89.1↗"
="2308","台達電","1010","-50","-4.72","10/30","44.2↘","56.6↘","89.6→","88.1→","93.3↗","87↗","91.6↗","87.1↗","97.2↗","92↗"
="2454","聯發科","1310","+10","+0.77","10/30","44.5↗","43.7↗","39.7↗","44.4↗","48.6↘","54.7↘","60.7↘","61.8↘","67.2↘","64.8↘"
="3231","緯創","155","+2.5","+1.64","10/30","81.2↗","72.2↗","72.3↗","69↗","78↗","70.7↗","82.5↗","79.1↗","92.4↗","82.2↗"
="3491","昇達科","422.5","-6","-1.4","10/30","29.3↘","41↘","48.1↘","54.6↘","61.7↘","62.9↘","76.1↘","75.5↘","84.8↗","81.2↗"
="3008","大立光","2210","-10","-0.45","10/30","33.9↘","38.6↘","37↘","41.6↘","34.4↘","43.8↘","39.5↘","44.2↘","44.6↘","51.2↘"
="3443","創意","1440","-30","-2.04","10/30","33.4↘","46.3↘","54↘","57.1↘","65.2↗","57.6↗","58.6↗","59.7↗","76↗","76.8↗"
="3661","世芯-KY","3355","+105","+3.23","10/30","63.2↗","51.9↗","46.6↗","49.5↗","53.4↘","55.5↘","64.1↘","65.6↘","93.6↗","92.8"
="2301","光寶科","181","-14","-7.18","10/30","55.7↘","58.3↘","79.3↗","77↗","89.6↗","78.9↗","85.9↗","80.6↗","85.9↗","77.8↗"
="4967","十銓","128","+2","+1.59","10/30","56.6↗","66.4↗","92.2→","83.8→","82.5↗","68.9↗","68.5↗","64.8↗","83.7↗",""
="2344","華邦電","55.2","+1.2","+2.22","10/30","87.5↗","81.6↗","95.2↗","90.7↗","90.1↗","80.5↗","82.5↗","72.5↗","69.7↗","61.4↗"
="3711","日月光投控","225","+4","+1.81","10/30","89↗","82.2↗","93.8↗","84.4↗","85↗","75.2↗","82.8↗","76.4↗","89↗",""
="2882","國泰金","64.6","-0.2","-0.31","10/30","28.4↘","41.8↘","47.8↘","50.8↘","58.3↘","58.9↘","64.9↘","61.5↘","59.5↘","47.9↘"
="2891","中信金","41.95","-0.05","-0.12","10/30","39.5↘","42.4↘","41.6↘","49.2↘","61.1↘","65.3↘","72.2↘","69.8↘","79.1↗","61.6↗"
="2884","玉山金","29.8","-0.4","-1.32","10/30","16.8↘","23.1↘","18.9↘","35↘","44.9↘","52.5↘","53.5↘","55.9↘","69.3↗","62.4↗"
="2880","華南金","29.3","-0.25","-0.85","10/30","33↘","45.1↘","53.4↘","56.9↘","67.4↘","66↘","76.4↘","70.7↘","71↗","42.1↗"
="0050","元大台灣50","64.4","0","0","10/30","71.8→","71.4→","60↗","33.5↗","24.7↗","29.2↗","29.8↗","37.5↗","40.1↘","46.2↘"
="00878","國泰永續高股息","21.75","-0.01","-0.05","10/30","74↘","69.2↘","73.5↗","61.5↗","57.9↗","54.6↗","60.1↗","63.6↗","74.1",""
="006208","富邦台50","150.9","-0.05","-0.03","10/30","72.7↘","71.8↘","96↗","87.9↗","87.2↗","80.4↗","84.7↗","79.8↗","88↗","86↗"
