"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","262","+2","+0.77","108,446","10/30","40,787","46,168","-5,382","1,502","219","+1,283","1,462","2,665","-1,203","43,751","49,053","-5,302","－＋－"
="2330","台積電","1505","0","0","30,058","10/30","16,749","18,662","-1,913","173","344","-171","660","738","-78","17,582","19,744","-2,162","－－－"
="2308","台達電","1010","-50","-4.72","23,687","10/30","5,170","13,002","-7,832","71","1,424","-1,353","1,601","2,009","-409","6,841","16,435","-9,594","－－－"
="2454","聯發科","1310","+10","+0.77","5,817","10/30","4,287","3,349","+939","30","128","-98","148","70","+78","4,465","3,546","+919","＋－＋"
="3231","緯創","155","+2.5","+1.64","76,209","10/30","32,667","18,327","+14,339","486","663","-177","1,604","1,234","+370","34,757","20,225","+14,532","＋－＋"
="3491","昇達科","422.5","-6","-1.4","1,660","10/30","483","295","+188","1","464","-463","17","69","-52","501","828","-327","＋－－"
="3008","大立光","2210","-10","-0.45","555","10/30","235","417","-182","1","1","0","11","10","0","247","429","-182","－－＋"
="3443","創意","1440","-30","-2.04","3,036","10/30","1,200","832","+367","1","114","-113","64","134","-70","1,265","1,080","+185","＋－－"
="3661","世芯-KY","3355","+105","+3.23","2,715","10/30","897","835","+62","217","10","+207","118","54","+63","1,232","899","+333","＋＋＋"
="2301","光寶科","181","-14","-7.18","106,014","10/30","22,275","40,362","-18,087","1,393","3,105","-1,712","2,095","4,375","-2,281","25,762","47,842","-22,080","－－－"
="4967","十銓","128","+2","+1.59","2,367","10/30","92","239","-147","0","0","0","12","19","-8","104","258","-154","－・－"
="2344","華邦電","55.2","+1.2","+2.22","74,032","10/30","25,072","27,494","-2,422","15","361","-346","5,314","1,927","+3,387","30,401","29,782","+619","－－＋"
="3711","日月光投控","225","+4","+1.81","46,444","10/30","30,760","22,420","+8,340","106","758","-652","744","1,199","-455","31,609","24,376","+7,233","＋－－"
="2882","國泰金","64.6","-0.2","-0.31","18,428","10/30","9,326","7,213","+2,113","0","3,178","-3,178","617","370","+247","9,943","10,761","-818","＋－＋"
="2891","中信金","41.95","-0.05","-0.12","29,270","10/30","15,572","16,273","-701","300","4,813","-4,513","857","1,479","-622","16,730","22,565","-5,836","－－－"
="2884","玉山金","29.8","-0.4","-1.32","106,586","10/30","16,880","57,126","-40,246","28","2,979","-2,951","580","276","+304","17,488","60,381","-42,893","－－＋"
="2880","華南金","29.3","-0.25","-0.85","15,501","10/30","13,661","12,696","+965","33","83","-50","365","1,005","-640","14,059","13,784","+275","＋－－"
="0050","元大台灣50","64.4","0","0","95,107","10/30","928","26,781","-25,853","0","0","0","14,553","29,322","-14,769","15,481","56,103","-40,622","－・－"
="00878","國泰永續高股息","21.75","-0.01","-0.05","51,447","10/30","855","3,241","-2,386","0","0","0","11,399","18,441","-7,042","12,253","21,681","-9,428","－・－"
="006208","富邦台50","150.9","-0.05","-0.03","4,419","10/30","134","430","-296","0","65","-65","1,495","1,769","-275","1,628","2,264","-636","－－－"
