"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","262","+2","+0.77","10/30","47.1↘","12.4↘","33.6↗","30.2↗","41.8↗","15.2↘","35.3↗","29.4↘","39.2↗","15.9↘","28.5↗","31.2↗"
="2330","台積電","1505","0","0","10/30","46↘","18.7↘","45.4↘","46.1↗","39.8↘","8.09↘","36.9↗","28.5↗","45.7↗","14.2↘","34.5↗","32.6↗"
="2308","台達電","1010","-50","-4.72","10/30","32.9↘","14↗","59.6↘","56.1↘","51↗","2.86↘","60.4↗","42.2↗","56.5↗","8.31↘","36.2↗","31.6↗"
="2454","聯發科","1310","+10","+0.77","10/30","18.4↘","23.8↘","14.1↘","19.2↘","23.5↘","23.6↘","10.5↘","14.8↘","24.2↘","15.7↘","21.5↘","23.9↘"
="3231","緯創","155","+2.5","+1.64","10/30","37.7↗","13↘","38.2↗","40.9↗","35.2↗","16.6↘","18↗","13.4↗","31.7↗","12.9↘","35.5↗","42.8↘"
="3491","昇達科","422.5","-6","-1.4","10/30","15↘","22↗","26↘","37.4↘","26.1↘","17.5↗","25.2↘","22.8↘","29↘","11↘","37.9↗","37.6↗"
="3008","大立光","2210","-10","-0.45","10/30","19.4↘","27.4↗","14.1↗","13.8↗","18.4↘","23.6↘","15.5↘","20.2↘","15.5↘","25.1↗","17.4↗","17.1↗"
="3443","創意","1440","-30","-2.04","10/30","30.2↘","26.5↗","31.2↘","25.6↘","32↘","17.4↗","19.3↗","16.1↘","27.8↗","17.2↘","16.9↗","24.5↘"
="3661","世芯-KY","3355","+105","+3.23","10/30","26.4↗","25.7↘","20.8↘","20↘","17.1↘","23.5↘","20.4↘","18.9↗","29.9↘","19.3↗","30.3↘","35.8↘"
="2301","光寶科","181","-14","-7.18","10/30","32.3↘","19.8↗","31.3↘","34.6↘","43.3↗","9.4↘","41.7↗","28.9↗","40.5↘","11.2↘","35.4↗","37.9↗"
="4967","十銓","128","+2","+1.59","10/30","38.1↘","10.8↘","58.5↘","47.8↗","44.8↗","6.83↘","32.8↗","26.1↗","41.2↗","12.9↘","34.9↗","39.2↗"
="2344","華邦電","55.2","+1.2","+2.22","10/30","51.7↗","7.58↘","62.4↗","62.3↗","56.6↗","3.73↘","44.3↗","31.9↗","50.5↗","11.4↘","21.1↗","18.1↗"
="3711","日月光投控","225","+4","+1.81","10/30","51.8↗","8.7↘","43↗","36.2↗","43.4↗","9.95↘","24.1↗","19.6↗","36.2↗","11.8↘","32.6↗","34.2↗"
="2882","國泰金","64.6","-0.2","-0.31","10/30","19.9↘","22.3↗","20.1↘","21.3↘","17.4↘","17.5↗","9.47↘","13.1↘","20.4↘","18.2↘","20↘","22.8↘"
="2891","中信金","41.95","-0.05","-0.12","10/30","23.5↘","24.7↗","9.79↘","12.8↘","18.7↗","21.1↘","12.7↘","15.5↘","27↘","13.2↘","36.6↘","33.8↗"
="2884","玉山金","29.8","-0.4","-1.32","10/30","6.51↘","43.4↘","39.4↗","28.6↗","18.3↘","33.8↗","14.6↗","18.1↗","24.9↘","23.4↗","13.5↘","13.5↘"
="2880","華南金","29.3","-0.25","-0.85","10/30","16↘","21.3↗","13.2↗","18.5↘","26.2↘","19↗","16.4↘","15.8↗","23.4↘","11.9↘","24↗","21.8↗"
="0050","元大台灣50","64.4","0","0","10/30","47.4↘","19.6↘","37.4↗","37↗","20.9↗","51.7↘","51.2↘","47↗","18.6↗","48.4↘","35.4↗","30.8↗"
="00878","國泰永續高股息","21.75","-0.01","-0.05","10/30","40.4↘","23.9↗","25.4↗","25.3↘","27.4↗","27.8↘","22.2↘","26.8↘","15.8↗","27.8↘","26.9↗","29.6↘"
="006208","富邦台50","150.9","-0.05","-0.03","10/30","48.3↘","18.2↘","45.3↗","45.9↗","44.6↗","9.58↘","34.6↗","27↗","45↗","16.6↘","30.6↗","30.3↗"
