"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","262","+2","+0.77","108,446","10/30","251.5↗","242.7↗","233.3↗","230.7↗","218.3↗","214.3↗","193.7↗","187.2↗","177.4↗","180.7↗"
="2330","台積電","1505","0","0","30,058","10/30","1483↗","1477↗","1462↗","1438↗","1306↗","1283↗","1206↗","1168↗","1099↗","1092↗"
="2308","台達電","1010","-50","-4.72","23,687","10/30","1045↘","1030↘","1021↗","993.4↗","857.1↗","821.2↗","676.5↗","626.2↗","527.4↗","506.8↗"
="2454","聯發科","1310","+10","+0.77","5,817","10/30","1311↘","1322↘","1323↘","1318→","1376↘","1372↘","1356↗","1348↗","1381↘","1372↗"
="3231","緯創","155","+2.5","+1.64","76,209","10/30","149↗","144.9↗","144.8↘","145.9↗","128.4↗","127.3↗","123.9↗","122↗","115↗","114.8↗"
="3491","昇達科","422.5","-6","-1.4","1,660","10/30","435.2↘","445.7↘","446.8↘","447.5↘","425.1↗","411.6↗","381.8↗","375.3↗","388.2↗","375.5↗"
="3008","大立光","2210","-10","-0.45","555","10/30","2234↘","2240↘","2276↘","2305↘","2335↘","2346↘","2339↘","2326↗","2395↘","2407↘"
="3443","創意","1440","-30","-2.04","3,036","10/30","1521↘","1544↘","1524↗","1484↗","1377↗","1352↗","1289↗","1265↗","1238↗","1244↗"
="3661","世芯-KY","3355","+105","+3.23","2,715","10/30","3177↗","3188↗","3224↘","3264↗","3599↘","3657↘","3503↗","3380↗","3160↗","3076↗"
="2301","光寶科","181","-14","-7.18","106,014","10/30","183.4↗","174.9↗","172.1↗","172↗","156.1↗","152.4↗","136.9↗","131.2↗","119.2↗","116.5↗"
="4967","十銓","128","+2","+1.59","2,367","10/30","129.8↘","129.2↗","125.7↗","117↗","93.62↗","90.14↗","83.49↗","81.88↗","81.45↗","82.14↗"
="2344","華邦電","55.2","+1.2","+2.22","74,032","10/30","52.08↗","48.48↗","46.21↗","43.92↗","32.31↗","29.86↗","25.39↗","24.09↗","21.13↗","20.37↗"
="3711","日月光投控","225","+4","+1.81","46,444","10/30","209.5↗","202.3↗","193.1↗","186.4↗","170.6↗","166.8↗","159.5↗","156.6↗","156.2↗","156.4↗"
="2882","國泰金","64.6","-0.2","-0.31","18,428","10/30","65.12↘","65.33↘","65.48↘","65.42↘","64.81↘","64.58↗","64.37↘","63.93↗","63.66↘","64.41↘"
="2891","中信金","41.95","-0.05","-0.12","29,270","10/30","42.1↘","42.24↘","42.3↘","42.4↘","42.46↘","42.54↗","42.75↗","42.54↗","41.2↗","40.72↗"
="2884","玉山金","29.8","-0.4","-1.32","106,586","10/30","30.59↘","31.53↘","31.96↘","32.22↘","33.08↘","33.12↘","33.04↘","32.55↗","30.92↗","30.32↗"
="2880","華南金","29.3","-0.25","-0.85","15,501","10/30","29.58↘","29.66↘","29.56↗","29.5↗","29.09↗","29.08↗","28.55↗","28.33↗","27.95↗","27.65↗"
="0050","元大台灣50","64.4","0","0","95,107","10/30","63.66↗","63.24↗","62.57↗","61.77↗","57.37↗","56.53↗","62.92↘","82.14↘","123.2↘","135↘"
="00878","國泰永續高股息","21.75","-0.01","-0.05","51,447","10/30","21.68↗","21.56↗","21.49↗","21.44↗","21.04↗","21.07↗","21.03↗","20.97↗","21.18↘","21.37↘"
="006208","富邦台50","150.9","-0.05","-0.03","4,419","10/30","149.1↗","148↗","146.3↗","144.4↗","134↗","132.1↗","125.1↗","121.9↗","116.1↗","115.6↗"
