"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","262","+2","+0.77","10/30","10.9↗","7.63↗","6.53↗","19.1↗","13.7↗","10.7↗","20.3↗","16.3↗","8.1↗"
="2330","台積電","1505","0","0","10/30","54.8↘","56.5↘","-3.43↗","113↗","83.5↗","59.5↗","156↗","127↗","58.4↗"
="2308","台達電","1010","-50","-4.72","10/30","55.7↘","60.2↘","-8.98↘","155↗","123↗","63.6↘","112↗","55.9↗","113↗"
="2454","聯發科","1310","+10","+0.77","10/30","-17.5↗","-18.9↗","2.77↘","-6.27↘","2.79↘","-18.1↘","107↘","124↘","-34.9↘"
="3231","緯創","155","+2.5","+1.64","10/30","5.62↗","5.46↗","0.32↗","9.09↗","6.07↗","6.05↗","13.5↗","12.1↗","2.82↗"
="3491","昇達科","422.5","-6","-1.4","10/30","1.96↘","6.97↘","-10↘","23.6↘","17.4↗","12.5↘","56.2↗","53.9↗","4.68↗"
="3008","大立光","2210","-10","-0.45","10/30","-35.1↘","-27.8↘","-14.6↗","-28.3↘","-20.5↘","-15.6↘","-25.1↘","4.16↘","-58.5↘"
="3443","創意","1440","-30","-2.04","10/30","48.5↘","59↘","-20.9↘","81.8↗","51.4↗","60.8↘","50↗","49.9↗","0.14↗"
="3661","世芯-KY","3355","+105","+3.23","10/30","-114↗","-136↗","43.7↗","84.8↘","182↘","-195↗","365↘","336↗","59.6↘"
="2301","光寶科","181","-14","-7.18","10/30","6.66↘","5.56↗","2.18↘","18.1↗","14.3↗","7.55↗","14.2↗","7.68↗","12.9↗"
="4967","十銓","128","+2","+1.59","10/30","11.4↘","11.7↘","-0.63↘","10.7↗","3.9↗","13.6↗","3.94↗","4.4↘","-0.91↗"
="2344","華邦電","55.2","+1.2","+2.22","10/30","5.87↗","5.17↗","1.41↗","7.52↗","4.26↗","6.52↗","1.54↗","-1.07↗","5.21↗"
="3711","日月光投控","225","+4","+1.81","10/30","12.4↗","8.98↗","6.77↗","12.2↗","5.8↗","12.7↗","12↗","10.4↗","3.25↗"
="2882","國泰金","64.6","-0.2","-0.31","10/30","0.05↘","0.22↘","-0.35↘","0.65↘","0.46↗","0.38↘","3.44↘","3.77↘","-0.67↗"
="2891","中信金","41.95","-0.05","-0.12","10/30","-0.14↘","-0.08↘","-0.12↘","0.5↘","0.71↘","-0.42↘","3.8↘","3.75↗","0.1↘"
="2884","玉山金","29.8","-0.4","-1.32","10/30","-0.75↘","-0.46↘","-0.58↘","0.45↘","0.9↘","-0.9↘","1.52↘","1.1↗","0.84↘"
="2880","華南金","29.3","-0.25","-0.85","10/30","0.13↘","0.16↘","-0.07↘","0.58↘","0.54↗","0.09↘","1.56↗","1.41↗","0.29↗"
="0050","元大台灣50","64.4","0","0","10/30","1.81↗","1.76↗","0.12↗","-20.3↗","-25.8↗","10.9↗","-19.6↘","-2.86↘","-33.5↗"
="00878","國泰永續高股息","21.75","-0.01","-0.05","10/30","0.16↗","0.14↗","0.04↘","0.07↗","-0.05↗","0.25↗","0.23↗","0.48↘","-0.5↗"
="006208","富邦台50","150.9","-0.05","-0.03","10/30","4.62↗","4.54↗","0.16↗","9.52↗","7.06↗","4.92↗","12.5↗","10↗","4.89↗"
