"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","262","+2","+0.77","10/30","+1,283","+2,176","+1,337","+643","-2,466","-6,863","+25,899","+100,058","+1,526","+90,050","+213,964","+98,330"
="2330","台積電","1505","0","0","10/30","-171","+50","+262","+60","+5,713","+6,487","-1,495","-3,969","+27,276","+62,634","+134,735","+17,015"
="2308","台達電","1010","-50","-4.72","10/30","-1,353","-1,151","-662","-614","-2,561","-1,695","+1,493","+14,900","+8,599","+3,477","+41,557","+9,988"
="2454","聯發科","1310","+10","+0.77","10/30","-98","-309","-449","-182","-1,950","-3,754","-7,674","-63,032","-58,707","+11,080","+42,572","-56,138"
="3231","緯創","155","+2.5","+1.64","10/30","-177","+1,206","+3,121","+5,581","+14,530","+38,991","-14,081","+32,696","+74,591","+137,054","+108,045","+85,388"
="3491","昇達科","422.5","-6","-1.4","10/30","-463","-562","-665","-1,004","-1,072","-1,470","-967","-3,523","-1,315","+2,924","-419","-1,792"
="3008","大立光","2210","-10","-0.45","10/30","0","0","+1","+10","-1","-35","-493","-711","-1,076","-213","-1,613","-2,393"
="3443","創意","1440","-30","-2.04","10/30","-113","-214","-798","-1,156","-985","-547","-571","-1,981","-398","-10,216","+4,482","-2,887"
="3661","世芯-KY","3355","+105","+3.23","10/30","+207","+40","+34","-30","-338","-1,177","-2,709","-170","+2,042","-4,722","+5,048","+629"
="2301","光寶科","181","-14","-7.18","10/30","-1,712","-1,125","-51","-404","-8,140","-12,681","+16,344","-863","-18,107","+49,571","+194,416","+698"
="4967","十銓","128","+2","+1.59","10/30","0","0","0","+113","+280","+422","+422","+422","+422","+340","","+422"
="2344","華邦電","55.2","+1.2","+2.22","10/30","-346","-2,430","-2,449","-2,361","+2,446","+40,574","+172,496","+181,671","+176,526","+181,995","+183,470","+182,699"
="3711","日月光投控","225","+4","+1.81","10/30","-652","-1,044","-1,212","-647","+264","-7,094","-7,920","-103,491","-154,284","+161,155","","-112,677"
="2882","國泰金","64.6","-0.2","-0.31","10/30","-3,178","-3,193","-2,133","-3,001","-8,681","-23,193","+31,279","+1,460,634","+1,473,882","+1,665,238","+1,741,472","+1,461,332"
="2891","中信金","41.95","-0.05","-0.12","10/30","-4,513","-4,347","-4,942","-13,398","-39,365","-65,395","+25,137","+806,864","+1,064,600","+2,733,980","+2,915,729","+993,358"
="2884","玉山金","29.8","-0.4","-1.32","10/30","-2,951","-6,408","-7,625","-13,731","-24,810","-34,040","-38,288","-22,879","-132,814","+280,891","+323,637","+59,301"
="2880","華南金","29.3","-0.25","-0.85","10/30","-50","-32","-166","-1,711","-3,505","-260","+34,346","-114,908","+198,192","+481,053","+518,781","-15,693"
="0050","元大台灣50","64.4","0","0","10/30","0","+1,400","+4,800","+11,600","+19,876","+30,391","-16,038","+4,514","+38,419","+98,961","+139,202","+25,504"
="00878","國泰永續高股息","21.75","-0.01","-0.05","10/30","0","+560","+560","+560","+560","+560","+7,170","+7,217","+15,060","+25,316","","+11,030"
="006208","富邦台50","150.9","-0.05","-0.03","10/30","-65","-65","-95","-245","-245","-56","-529","+4,448","+9,045","+9,956","+9,956","+8,646"
