"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","262","+2","+0.77","108,446","10/30","262↗","-0.02","230.7↗","+13.6","199.4↘","+31.4","62.6↗","1↘","0.27↗"
="2330","台積電","1505","0","0","30,058","10/30","1546↘","-2.62","1438↗","+4.66","1330↗","+13.1","215↘","0.81↘","0.15↘"
="2308","台達電","1010","-50","-4.72","23,687","10/30","1111↘","-9.11","993.4↗","+1.67","875.6↗","+15.3","236↘","0.57↘","0.24↘"
="2454","聯發科","1310","+10","+0.77","5,817","10/30","1354→","-3.25","1318→","-0.63","1282→","+2.15","71.6→","0.38↗","0.05→"
="3231","緯創","155","+2.5","+1.64","76,209","10/30","157.5↘","-1.59","145.9↗","+6.26","134.3↗","+15.4","23.2↘","0.89↗","0.16↘"
="3491","昇達科","422.5","-6","-1.4","1,660","10/30","474↗","-10.9","447.5↘","-5.59","421.1↘","+0.34","52.9↗","0.03↘","0.12↗"
="3008","大立光","2210","-10","-0.45","555","10/30","2495↘","-11.4","2305↘","-4.12","2115↘","+4.51","381↗","0.25↘","0.17↗"
="3443","創意","1440","-30","-2.04","3,036","10/30","1674↘","-14","1484↗","-2.95","1294↗","+11.3","380↘","0.38↘","0.26↘"
="3661","世芯-KY","3355","+105","+3.23","2,715","10/30","3563↗","-5.84","3264↗","+2.8","2965↗","+13.2","598↗","0.65↗","0.18↗"
="2301","光寶科","181","-14","-7.18","106,014","10/30","188.9↗","-4.18","172↗","+5.26","155↗","+16.8","33.9↗","0.77↘","0.2↗"
="4967","十銓","128","+2","+1.59","2,367","10/30","149.7↘","-14.5","117↗","+9.44","84.22↗","+52","65.5↘","0.67↗","0.56↘"
="2344","華邦電","55.2","+1.2","+2.22","74,032","10/30","55.9↗","-1.26","43.92↗","+25.7","31.94↗","+72.8","24↘","0.97↗","0.55↘"
="3711","日月光投控","225","+4","+1.81","46,444","10/30","222.7↗","+1.03","186.4↗","+20.7","150↘","+50","72.7↗","1.03↘","0.39↗"
="2882","國泰金","64.6","-0.2","-0.31","18,428","10/30","66.35↗","-2.64","65.42↘","-1.25","64.48↘","+0.19","1.87↗","0.06↘","0.03↗"
="2891","中信金","41.95","-0.05","-0.12","29,270","10/30","43.06↘","-2.58","42.4↘","-1.07","41.74↘","+0.5","1.32↗","0.16↗","0.03↗"
="2884","玉山金","29.8","-0.4","-1.32","106,586","10/30","34.43↗","-13.4","32.22↘","-7.5","30↘","-0.67","4.43↗","-0.05↗","0.14↗"
="2880","華南金","29.3","-0.25","-0.85","15,501","10/30","29.99↘","-2.31","29.5↗","-0.69","29.01↗","+0.99","0.98↘","0.29↘","0.03↘"
="0050","元大台灣50","64.4","0","0","95,107","10/30","65.46↗","-1.62","61.77↗","+4.25","58.08↗","+10.9","7.38↘","0.86↘","0.12↘"
="00878","國泰永續高股息","21.75","-0.01","-0.05","51,447","10/30","21.8↗","-0.22","21.44↗","+1.43","21.09↗","+3.13","0.71↗","0.93↘","0.03↗"
="006208","富邦台50","150.9","-0.05","-0.03","4,419","10/30","153.4↗","-1.63","144.4↗","+4.53","135.3↗","+11.5","18.1↘","0.86↘","0.13↘"
