"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","262","2","+0.77","108,446","10/30","92.9↘","92.2↗","87.2↗","102↘","","",""
="2330","台積電","市","1505","0","0","30,058","10/30","82.4↘","77.8↗","75.2↗","83↗","73.7↗","1日前",""
="2308","台達電","市","1010","-50","-4.72","23,687","10/30","24.2↘","59.4↘","68.3↘","41.6↘","71.3↘","今日",""
="2454","聯發科","市","1310","10","+0.77","5,817","10/30","28.6↗","31.3↘","37↘","19.9↗","44↘","2日前",""
="3231","緯創","市","155","2.5","+1.64","76,209","10/30","93↘","81.5↗","66.3↗","112↗","","",""
="3491","昇達科","櫃","422.5","-6","-1.4","1,660","10/30","9.62↗","22.3↘","35.6↘","-4.22↘","52.9↘","2日前",""
="3008","大立光","市","2210","-10","-0.45","555","10/30","13↘","22↘","26.4↘","13.2↘","29.3↘","1日前",""
="3443","創意","市","1440","-30","-2.04","3,036","10/30","8.47↘","28.4↘","47.9↘","-10.7↘","","",""
="3661","世芯-KY","市","3355","105","+3.23","2,715","10/30","93.1↗","59.9↗","45.6↗","88.5↗","37.2↗","1日前",""
="2301","光寶科","市","181","-14","-7.18","106,014","10/30","55.6↘","71.4↘","67↗","80.3↘","68↘","即將交叉",""
="4967","十銓","市","128","2","+1.59","2,367","10/30","21.7↗","46↘","63.5↘","11↘","80↘","2日前",""
="2344","華邦電","市","55.2","1.2","+2.22","74,032","10/30","86.6↘","89.3↘","86.1↗","95.8↘","87.8↘","即將交叉",""
="3711","日月光投控","市","225","4","+1.81","46,444","10/30","93.4↘","92.2↗","88.8↗","99↘","","",""
="2882","國泰金","市","64.6","-0.2","-0.31","18,428","10/30","19.2↗","18.6↗","23.6↘","8.43↗","19.2↗","即將交叉",""
="2891","中信金","市","41.95","-0.05","-0.12","29,270","10/30","13.8↗","17.3↘","24.3↘","3.23↗","35.5↘","2日前",""
="2884","玉山金","市","29.8","-0.4","-1.32","106,586","10/30","0↘","11.6↘","20.8↘","-6.84↘","","",""
="2880","華南金","市","29.3","-0.25","-0.85","15,501","10/30","12.5↘","37.2↘","55.4↘","0.62↘","","",""
="0050","元大台灣50","市","64.4","0","0","95,107","10/30","86.9↘","88.3↘","86.8↗","91.4↘","87.6↘","即將交叉","是"
="00878","國泰永續高股息","市","21.75","-0.01","-0.05","51,447","10/30","80.4↘","79.5↗","74.9↗","88.8↘","","",""
="006208","富邦台50","市","150.9","-0.05","-0.03","4,419","10/30","89.5↘","88.4↗","86.3↗","92.6↘","","",""
