"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","251.5","-6","-2.33","11/03","59.2↘","63.7↘","79.1↘","77.4↘","79.2↘","72.6↘","77.2↗","72.4↗","86.7↗","71.1↗"
="2330","台積電","1510","+10","+0.67","11/03","70.8↗","69.5↗","95.3↗","86.8↗","88.3↗","81.6↗","85.2↗","81.6↗","91.7↗","89.1↗"
="2308","台達電","983","-12","-1.21","11/03","35.5↘","50.7↘","77.9↘","82.1↘","90.7↘","85.3↘","91.3↗","86.7↗","97.2↗","91.8↗"
="2454","聯發科","1300","-10","-0.76","11/03","39.1↘","41.4↘","37.4↗","43.3↗","46.9↘","54.1↘","59.9↘","61.4↘","66.7↘","64.6↘"
="3231","緯創","143.5","-7","-4.65","11/03","41.5↘","51.5↘","58.8↘","60.9↘","67.6↘","65.2↘","79.7↗","77.1↗","91.6↗","80.9↗"
="3491","昇達科","430.5","-9.5","-2.16","11/03","41.6↘","45.6↘","51.3↘","56.4↘","63.3↘","64↘","78.7↘","77↘","85.1↗","81.5↗"
="3008","大立光","2245","+30","+1.35","11/03","49.4↗","44.8↗","41.8↘","44↘","38↗","44.9↗","40.7↘","44.6↘","45↘","51.5↘"
="3443","創意","1580","+50","+3.27","11/03","60.8↗","59.8↗","68.9↘","66.1↘","72.2↗","61.7↗","62.4↗","61.9↗","78.1↗","78.4↗"
="3661","世芯-KY","3450","-45","-1.29","11/03","65.7↘","55.3↘","50↗","51.1↗","55.2↘","56.6↘","66.5↘","67↘","93.9↗","93"
="2301","光寶科","180","+0.5","+0.28","11/03","54↗","57.3↗","78.9↗","76.7↗","89.5↗","78.7↗","85.8↗","80.5↗","85.8↗","77.7↗"
="4967","十銓","140.5","+5.5","+4.07","11/03","75↗","74.7↗","94.4↗","86.8↗","85.3↗","71.9↗","71.3↗","66.8↗","85.2↗",""
="2344","華邦電","56.6","+2.4","+4.43","11/03","83.4↗","80.1↗","95.5↗","91.1↗","90.5↗","81.1↗","83↗","73.1↗","70.2↗","61.8↗"
="3711","日月光投控","246","-1.5","-0.61","11/03","90.6↘","85.6↘","93.5↗","86.3↗","86.4↘","77.6↘","85.2↗","78.7↗","90.3↗",""
="2882","國泰金","63.9","-0.1","-0.16","11/03","19.1↘","35.6↘","43.1↘","49↘","55.4↘","57.5↘","62.9↘","60.6↘","58.9↘","47.7↘"
="2891","中信金","42.05","+0.2","+0.48","11/03","46.2↗","45.2↗","44.6↗","50↗","61.5↗","65.4↗","72.7↘","70.1↘","79.2↗","61.7↗"
="2884","玉山金","30.15","+0.4","+1.34","11/03","30.8↗","30.1↗","25.6↘","37.9↘","47.6↗","53.8↗","55.1↘","56.8↘","69.9↗","62.8↗"
="2880","華南金","29.4","+0.2","+0.68","11/03","44.8↗","49.1↗","55.7↘","57.6↘","67.6↗","66.1↗","77.5↘","71.2↘","71.2↗","42.2↗"
="0050","元大台灣50","64.15","-0.6","-0.93","11/03","62↘","66.9↘","57.8↗","33.6↗","24.8↘","29.2↘","29.6↗","37.4↗","40.1↘","46.1↘"
="00878","國泰永續高股息","21.69","-0.03","-0.14","11/03","62.6↘","64.4↘","70.5↗","60.3↗","56.9↘","54.1↘","59.6↗","63.3↗","73.5",""
="006208","富邦台50","150.2","-1.6","-1.05","11/03","61.7↘","66.8↘","87.1↘","83.8↘","84.2↘","78.8↘","84.6↗","79.7↗","88↗","86↗"
