"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","251.5","-6","-2.33","11/03","-2,782","-10,833","-16,215","+5,793","+77,304","+87,760","+846,404","+970,441","+74,217","-467,607","-1,616,831","+394,094"
="2330","台積電","1510","+10","+0.67","11/03","+3,528","-4,198","-6,111","-8,200","-25,141","-88,465","-27,762","+284,616","-9,838","+787,340","-862,720","+33,584"
="2308","台達電","983","-12","-1.21","11/03","-3,396","-7,833","-15,665","-20,610","-13,565","-27,126","-55,787","+12,939","-5,053","-8,175","-120,984","-25,803"
="2454","聯發科","1300","-10","-0.76","11/03","-2,324","-3,364","-2,426","-6,067","-10,464","-14,385","-33,239","-16,037","-24,628","-45,874","-19,062","-30,677"
="3231","緯創","143.5","-7","-4.65","11/03","-9,409","-17,795","-3,456","-1,709","-47,331","-102,398","+16,755","+87,734","+3,898","-56,405","-46,229","-484"
="3491","昇達科","430.5","-9.5","-2.16","11/03","+16","+514","+702","+237","+730","+1,613","+4,013","-131","+1,695","+7,655","+8,723","+1,879"
="3008","大立光","2245","+30","+1.35","11/03","-16","+100","-82","-357","-440","-799","-1,007","-2,826","-2,278","-5,307","-22,327","-1,060"
="3443","創意","1580","+50","+3.27","11/03","+251","+340","+708","+799","+1,870","+6,149","+7,012","+6,915","+7,754","-7,482","+29,116","+7,740"
="3661","世芯-KY","3450","-45","-1.29","11/03","-360","-489","-426","-279","-1,152","-1,225","-4,299","-2,250","+3,494","+864","+3,975","-5,726"
="2301","光寶科","180","+0.5","+0.28","11/03","+696","-6,898","-24,985","-26,004","-17,054","-37,708","-50,038","+19,733","+92,017","-366,614","-381,304","+66,681"
="4967","十銓","140.5","+5.5","+4.07","11/03","-100","-362","-508","-764","+269","+7,583","+7,902","+8,789","+7,207","+4,635","","+8,179"
="2344","華邦電","56.6","+2.4","+4.43","11/03","+11,116","+4,799","+2,377","+5,332","+100,405","+59,708","+436,996","+514,269","+389,237","-84,177","+310,826","+424,275"
="3711","日月光投控","246","-1.5","-0.61","11/03","+3,867","+14,248","+22,588","+31,583","+52,813","+97,193","+134,040","+119,472","+90,717","+188,950","","+72,720"
="2882","國泰金","63.9","-0.1","-0.16","11/03","-1,124","-7,272","-5,160","-12,041","+571","+20,867","+72,317","-978,434","-1,034,760","-299,757","-982,139","-1,102,487"
="2891","中信金","42.05","+0.2","+0.48","11/03","+4,246","+354","-346","-23,529","-18,020","-26,021","-80,927","-45,065","+271,070","-1,377,907","-1,613,982","+9,779"
="2884","玉山金","30.15","+0.4","+1.34","11/03","+6,125","+2,489","-37,756","-110,537","-202,604","-208,683","-159,180","+252,014","+528,482","+229,664","-2,519,906","+411,096"
="2880","華南金","29.4","+0.2","+0.68","11/03","+933","+2,956","+3,921","+8,547","+20,140","+35,316","+52,458","+149,390","+6,760","-2,983","+43,316","+143,811"
="0050","元大台灣50","64.15","-0.6","-0.93","11/03","-56,754","-62,808","-88,661","-139,925","-395,225","-820,824","-1,187,881","-1,715,911","-2,305,819","-2,131,397","-2,562,902","-2,220,380"
="00878","國泰永續高股息","21.69","-0.03","-0.14","11/03","-10,513","-10,047","-12,434","+46","+32,370","+67,230","+244,199","+223,649","-516,817","-1,551,973","","-158,310"
="006208","富邦台50","150.2","-1.6","-1.05","11/03","-4,004","-3,847","-4,143","-4,328","-7,695","-17,805","+8,941","+120,773","+16,129","-121,877","-189,100","+66,532"
