"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/03","","251.5","-6","-2.33","96,479","24,327","257.5","255","256.5","250","2.52","19.2","2.39","","","","",""
="2330","台積電","市","11/03","","1510","+10","+0.67","30,629","46,086","1500","1510","1520","1490","2","26.8","8.55","","","","",""
="2308","台達電","市","11/03","","983","-12","-1.21","16,476","16,288","995","992","1005","982","2.31","51.1","10.61","","","","",""
="2454","聯發科","市","11/03","","1300","-10","-0.76","11,330","14,663","1310","1310","1325","1280","3.44","19.5","5.5","","","","",""
="3231","緯創","市","11/03","","143.5","-7","-4.65","81,148","11,779","150.5","150","150","142.5","4.98","19.6","3.02","","","","",""
="3491","昇達科","櫃","11/03","","430.5","-9.5","-2.16","1,448","627","440","441","441","428.5","2.84","55.8","11.5","","","","",""
="3008","大立光","市","11/03","","2245","+30","+1.35","459","1,035","2215","2235","2280","2230","2.26","13.2","1.69","","","","",""
="3443","創意","市","11/03","","1580","+50","+3.27","4,702","7,481","1530","1580","1620","1570","3.27","61.2","18.08","","","","",""
="3661","世芯-KY","市","11/03","","3450","-45","-1.29","1,450","5,018","3495","3505","3520","3420","2.86","43.5","7.95","","","","",""
="2301","光寶科","市","11/03","","180","+0.5","+0.28","29,037","5,216","179.5","180","181.5","177","2.51","28.7","4.89","","","","",""
="4967","十銓","市","11/03","","140.5","+5.5","+4.07","5,395","744","135","137.5","140.5","136","3.33","58.8","3.12","","","","",""
="2344","華邦電","市","11/03","","56.6","+2.4","+4.43","68,488","3,877","54.2","55.5","57.5","55.1","4.43","","2.91","","","","",""
="3711","日月光投控","市","11/03","","246","-1.5","-0.61","40,923","10,079","247.5","248.5","251","242.5","3.43","31.2","3.64","","","","",""
="2882","國泰金","市","11/03","","63.9","-0.1","-0.16","13,710","877","64","63.8","64.4","63.5","1.41","11.1","1.35","","","","",""
="2891","中信金","市","11/03","","42.05","+0.2","+0.48","17,951","755","41.85","41.85","42.25","41.85","0.96","11.6","1.91","","","","",""
="2884","玉山金","市","11/03","","30.15","+0.4","+1.34","60,324","1,815","29.75","29.6","30.35","29.5","2.86","16.1","1.94","","","","",""
="2880","華南金","市","11/03","","29.4","+0.2","+0.68","6,453","190","29.2","29.15","29.5","29.1","1.37","17.3","1.88","","","","",""
="0050","元大台灣50","市","11/03","","64.15","-0.6","-0.93","140,157","9,005","64.75","64.45","64.8","63.9","1.39","","0.9984","","","","",""
="00878","國泰永續高股息","市","11/03","","21.69","-0.03","-0.14","58,562","1,271","21.72","21.7","21.77","21.67","0.46","","0.9986","","","","",""
="006208","富邦台50","市","11/03","","150.2","-1.6","-1.05","9,582","1,443","151.8","151.05","151.8","149.8","1.32","","0.9965","","","","",""
