"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","251.5","-6","-2.33","96,479","11/03","267.4↗","-5.93","234.4↗","+7.28","201.5↗","+24.8","65.9↗","0.76↘","0.28↗"
="2330","台積電","1510","+10","+0.67","30,629","11/03","1533↘","-1.52","1457↗","+3.64","1381↗","+9.37","153↘","0.85↗","0.1↘"
="2308","台達電","983","-12","-1.21","16,476","11/03","1086↘","-9.48","1006↗","-2.3","926.3↗","+6.12","160↘","0.36↘","0.16↘"
="2454","聯發科","1300","-10","-0.76","11,330","11/03","1352↘","-3.88","1319↗","-1.42","1285↗","+1.17","67.5↘","0.22↘","0.05↘"
="3231","緯創","143.5","-7","-4.65","81,148","11/03","157.8↘","-9.08","146.2↘","-1.88","134.7↘","+6.56","23.2↗","0.38↘","0.16↗"
="3491","昇達科","430.5","-9.5","-2.16","1,448","11/03","473.6↘","-9.11","446.1↘","-3.5","418.6↘","+2.85","55↗","0.22↘","0.12↗"
="3008","大立光","2245","+30","+1.35","459","11/03","2485↘","-9.67","2293↘","-2.08","2100↘","+6.9","385↘","0.38↗","0.17↘"
="3443","創意","1580","+50","+3.27","4,702","11/03","1674↗","-5.59","1505↗","+4.97","1337↗","+18.2","337↘","0.72↗","0.22↘"
="3661","世芯-KY","3450","-45","-1.29","1,450","11/03","3577↗","-3.55","3268↗","+5.57","2959↘","+16.6","618↗","0.79↘","0.19↗"
="2301","光寶科","180","+0.5","+0.28","29,037","11/03","190.4↗","-5.44","172.8↗","+4.15","155.3↗","+15.9","35.1↗","0.7↘","0.2↗"
="4967","十銓","140.5","+5.5","+4.07","5,395","11/03","150.7↗","-6.79","121.9↗","+15.3","92.99↗","+51.1","57.7↘","0.82↗","0.47↘"
="2344","華邦電","56.6","+2.4","+4.43","68,488","11/03","57.83↗","-2.13","46.07↗","+22.9","34.31↗","+65","23.5↘","0.95↗","0.51↘"
="3711","日月光投控","246","-1.5","-0.61","40,923","11/03","242.6↗","+1.41","194.7↗","+26.4","146.8↘","+67.5","95.7↗","1.04↘","0.49↗"
="2882","國泰金","63.9","-0.1","-0.16","13,710","11/03","66.54↗","-3.97","65.26↘","-2.09","63.99↘","-0.14","2.56↗","-0.03↗","0.04↗"
="2891","中信金","42.05","+0.2","+0.48","17,951","11/03","42.89↘","-1.95","42.3↘","-0.59","41.71↗","+0.81","1.17↘","0.29↗","0.03↘"
="2884","玉山金","30.15","+0.4","+1.34","60,324","11/03","34.33↘","-12.2","31.88↘","-5.42","29.43↘","+2.46","4.9↗","0.15↗","0.15↗"
="2880","華南金","29.4","+0.2","+0.68","6,453","11/03","29.99↘","-1.95","29.48↘","-0.27","28.97↘","+1.47","1.01↗","0.42↗","0.03↗"
="0050","元大台灣50","64.15","-0.6","-0.93","140,157","11/03","65.42↘","-1.94","62.42↗","+2.77","59.43↗","+7.94","5.99↘","0.79↘","0.1↘"
="00878","國泰永續高股息","21.69","-0.03","-0.14","58,562","11/03","21.85↗","-0.75","21.48↗","+0.95","21.12↗","+2.71","0.74↘","0.78↘","0.03↘"
="006208","富邦台50","150.2","-1.6","-1.05","9,582","11/03","153.4↘","-2.06","146↗","+2.91","138.6↗","+8.4","14.8↘","0.79↘","0.1↘"
