"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","251.5","-6","-2.33","96,479","11/03","256.2↗","248.6↗","237.4↗","234.4↗","220.1↗","216.7↗","195.7↗","188.9↗","178.1↗","181↗"
="2330","台積電","1510","+10","+0.67","30,629","11/03","1499↗","1484↗","1472↗","1457↗","1318↗","1295↗","1215↗","1177↗","1104↗","1096↗"
="2308","台達電","983","-12","-1.21","16,476","11/03","1025↘","1026↘","1021↘","1006↗","869.7↗","833.8↗","688.3↗","636.5↗","533.1↗","511.7↗"
="2454","聯發科","1300","-10","-0.76","11,330","11/03","1307↘","1318↘","1318↘","1319↗","1372↘","1371↘","1356↘","1348↘","1380↘","1372↘"
="3231","緯創","143.5","-7","-4.65","81,148","11/03","149.9↘","146.7↗","144.3↘","146.2↘","129.6↗","128.1↗","124.6↗","122.6↗","115.4↗","115↗"
="3491","昇達科","430.5","-9.5","-2.16","1,448","11/03","430.9↘","443↘","442.5↘","446.1↘","428.7↗","414.7↗","383.9↗","376.6↗","389.2↗","376.6↗"
="3008","大立光","2245","+30","+1.35","459","11/03","2222↘","2240↗","2243↘","2293↘","2329↘","2340↘","2337↘","2327↗","2391↘","2406↘"
="3443","創意","1580","+50","+3.27","4,702","11/03","1500↘","1558↗","1531↗","1505↗","1391↗","1361↗","1298↗","1272↗","1241↗","1247↗"
="3661","世芯-KY","3450","-45","-1.29","1,450","11/03","3323↗","3264↗","3223↘","3268↗","3572↘","3648↘","3518↗","3398↗","3164↗","3084↗"
="2301","光寶科","180","+0.5","+0.28","29,037","11/03","184.8↘","177.4↗","173.2↗","172.8↗","158↗","154.2↗","138.4↗","132.5↗","119.9↗","117.1↗"
="4967","十銓","140.5","+5.5","+4.07","5,395","11/03","131.9↗","131↗","129.3↗","121.9↗","96.3↗","92.27↗","84.76↗","82.98↗","82.05↗","82.54↗"
="2344","華邦電","56.6","+2.4","+4.43","68,488","11/03","54.8↗","50.76↗","47.95↗","46.07↗","33.77↗","31.13↗","26.12↗","24.74↗","21.54↗","20.67↗"
="3711","日月光投控","246","-1.5","-0.61","40,923","11/03","228.5↗","212.9↗","202.5↗","194.7↗","174.4↗","170.1↗","161.6↗","158.4↗","157.1↗","157.2↗"
="2882","國泰金","63.9","-0.1","-0.16","13,710","11/03","64.42↘","65.02↘","65.23↘","65.26↘","64.79↘","64.63↗","64.31↘","64.07↗","63.62↘","64.37↘"
="2891","中信金","42.05","+0.2","+0.48","17,951","11/03","41.95↘","42.12↘","42.22↘","42.3↘","42.42↘","42.51↘","42.74↘","42.57↗","41.23↗","40.77↗"
="2884","玉山金","30.15","+0.4","+1.34","60,324","11/03","29.98↘","31.02↘","31.56↘","31.88↘","32.9↘","33.03↘","33.01↘","32.55↗","30.95↗","30.34↗"
="2880","華南金","29.4","+0.2","+0.68","6,453","11/03","29.38↘","29.56↘","29.57↗","29.48↘","29.14↗","29.07↘","28.61↗","28.35↗","27.98↗","27.68↗"
="0050","元大台灣50","64.15","-0.6","-0.93","140,157","11/03","64.21↗","63.62↗","62.98↗","62.42↗","57.82↗","56.98↗","60.68↘","80.33↘","121.9↘","133.9↘"
="00878","國泰永續高股息","21.69","-0.03","-0.14","58,562","11/03","21.72↘","21.63↗","21.51↗","21.48↗","21.08↗","21.08↗","21.06↗","20.99↗","21.18↘","21.36↘"
="006208","富邦台50","150.2","-1.6","-1.05","9,582","11/03","150.5↗","148.9↗","147.3↗","146↗","135.1↗","133.2↗","126↗","122.7↗","116.5↗","115.9↗"
