"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","251.5","-6","-2.33","11/03","-3,316","-5,491","-4,208","-4,154","-6,625","-17,174","+18,124","+88,860","-4,783","+91,632","+209,556","+92,839"
="2330","台積電","1510","+10","+0.67","11/03","+497","+789","+618","+1,051","+4,240","+7,199","-234","-3,281","+27,613","+62,798","+134,266","+17,805"
="2308","台達電","983","-12","-1.21","11/03","-826","-2,235","-3,587","-2,896","-3,806","-4,825","-1,276","+11,698","+6,289","+1,608","+38,512","+7,753"
="2454","聯發科","1300","-10","-0.76","11/03","-223","-328","-425","-777","-1,247","-3,121","-7,737","-61,543","-59,643","+9,395","+41,456","-56,466"
="3231","緯創","143.5","-7","-4.65","11/03","-9,775","-13,759","-13,936","-10,638","+988","+3,498","-19,417","+16,947","+59,659","+123,451","+94,559","+71,629"
="3491","昇達科","430.5","-9.5","-2.16","11/03","-34","-34","-497","-699","-1,043","-1,464","-1,021","-3,398","-1,359","+2,890","-353","-1,826"
="3008","大立光","2245","+30","+1.35","11/03","0","0","0","+1","+7","-31","-441","-591","-1,089","-248","-1,638","-2,393"
="3443","創意","1580","+50","+3.27","11/03","+389","+489","+377","-308","-669","-112","-137","-1,502","+77","-9,912","+4,971","-2,398"
="3661","世芯-KY","3450","-45","-1.29","11/03","+98","+479","+686","+513","+450","-326","-2,315","+439","+2,519","-4,952","+5,526","+1,108"
="2301","光寶科","180","+0.5","+0.28","11/03","-736","-1,961","-3,673","-2,012","-8,698","-13,626","+9,828","-3,567","-21,099","+44,975","+192,439","-1,264"
="4967","十銓","140.5","+5.5","+4.07","11/03","-1","-1","-1","-1","+279","+421","+421","+421","+421","+339","","+421"
="2344","華邦電","56.6","+2.4","+4.43","11/03","-2,695","-5,537","-5,883","-7,986","-5,173","+1,497","+167,019","+177,706","+170,989","+176,609","+177,927","+177,162"
="3711","日月光投控","246","-1.5","-0.61","11/03","+424","+164","-488","-1,048","+1,146","-1,745","-8,431","-102,815","-155,208","+161,369","","-112,513"
="2882","國泰金","63.9","-0.1","-0.16","11/03","+91","-469","-3,647","-2,602","-7,996","-20,792","+23,350","+1,457,122","+1,471,477","+1,663,316","+1,740,530","+1,460,863"
="2891","中信金","42.05","+0.2","+0.48","11/03","-1,396","+944","-3,569","-3,998","-30,742","-59,809","+20,341","+816,601","+1,053,449","+2,731,777","+2,916,645","+994,302"
="2884","玉山金","30.15","+0.4","+1.34","11/03","-847","+604","-2,347","-7,021","-18,492","-24,752","-39,455","-21,816","-132,709","+281,344","+324,206","+59,905"
="2880","華南金","29.4","+0.2","+0.68","11/03","-14","-72","-122","-238","-3,519","-2,688","+32,747","-114,599","+195,880","+480,943","+518,592","-15,765"
="0050","元大台灣50","64.15","-0.6","-0.93","11/03","-1,600","-1,752","-1,752","+3,048","+17,348","+26,603","-19,090","+1,623","+36,623","+96,982","+137,947","+23,752"
="00878","國泰永續高股息","21.69","-0.03","-0.14","11/03","0","0","0","+560","+560","+560","+7,170","+7,217","+15,060","+25,048","","+11,030"
="006208","富邦台50","150.2","-1.6","-1.05","11/03","0","-200","-265","-295","-445","-256","-729","+4,248","+8,845","+9,756","+9,756","+8,446"
