"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","251.5","-6","-2.33","11/03","41.7↘","17.6↗","35.7↗","30.5↘","40.2↘","14.6↘","36.1↗","29.6↗","38.4↘","15.6↘","29.5↗","32.1↗"
="2330","台積電","1510","+10","+0.67","11/03","41.5↘","18.7↗","44.7↘","46.2↘","38.7↘","7.76↘","39.1↗","29.8↗","45↘","13.9↘","35.8↗","33.9↗"
="2308","台達電","983","-12","-1.21","11/03","30↘","17↗","55.5↘","54.8↘","48.7↘","3.71↗","62.3↗","44.5↗","55.5↘","8.15↘","38.9↗","33.4↗"
="2454","聯發科","1300","-10","-0.76","11/03","15.3↘","24↘","14.9↗","18.5↗","22.4↘","23.5↘","9.92↘","14.1↘","23.7↘","15.4↘","21.5↘","23.6↘"
="3231","緯創","143.5","-7","-4.65","11/03","31.2↘","21↗","37.1↘","40.7↘","33.1↘","16.7↗","19↗","14↗","30.7↘","12.5↘","36↗","42.3↘"
="3491","昇達科","430.5","-9.5","-2.16","11/03","19.4↘","18.7↘","22.7↘","34.4↘","25.4↘","17↘","24.8↘","22.2↘","28.6↘","10.8↘","38.4↗","38.2↗"
="3008","大立光","2245","+30","+1.35","11/03","20.5↗","23.7↘","13.7↘","14.8↘","17.8↘","22.8↘","15.2↘","19.8↘","15.3↘","24.7↘","17.8↗","17.6↗"
="3443","創意","1580","+50","+3.27","11/03","36.4↗","21.3↘","30.2↘","26.6↗","30.5↘","16.6↘","20.1↗","16.1↗","27.1↘","16.7↘","17.4↗","23.9↘"
="3661","世芯-KY","3450","-45","-1.29","11/03","29.6↘","22.7↘","19.8↘","19.5↗","19.5↘","21.8↘","18.7↘","18.8↗","29.5↘","19.1↘","29.6↘","34.1↘"
="2301","光寶科","180","+0.5","+0.28","11/03","29.2↘","19.4↘","29.8↘","32.6↘","42.2↘","9.16↘","43.3↗","30.5↗","39.9↘","11↘","36.9↗","38.6↗"
="4967","十銓","140.5","+5.5","+4.07","11/03","43.5↗","9.32↘","59.1↗","50.6↗","45.5↗","6.55↘","35.8↗","27.5↗","41.7↗","12.6↘","36.2↗","40.3↗"
="2344","華邦電","56.6","+2.4","+4.43","11/03","51.2↗","6.62↘","64.3↗","62.8↗","54.1↘","3.5↘","47.4↗","32.8↗","49.1↘","10.9↘","24.1↗","19.7↗"
="3711","日月光投控","246","-1.5","-0.61","11/03","57.5↘","6.57↘","47.9↗","39.2↗","48.6↘","8.6↘","27.8↗","21.5↗","39.8↗","10.9↘","34.7↗","35.6↗"
="2882","國泰金","63.9","-0.1","-0.16","11/03","17.8↘","22.7↗","18.4↘","20.4↘","17↘","18.6↗","9.16↘","12.9↘","20.2↘","18.6↗","18.9↘","23↗"
="2891","中信金","42.05","+0.2","+0.48","11/03","22.5↘","22.4↘","8.54↘","12.1↘","18.3↘","20.6↘","12.2↘","15↘","26.8↘","13.1↘","36.4↘","34.1↗"
="2884","玉山金","30.15","+0.4","+1.34","11/03","11.3↗","39.8↘","43↗","31.1↗","17.1↘","33.3↘","16↗","18.2↗","24↘","23.5↘","12.5↘","12.6↘"
="2880","華南金","29.4","+0.2","+0.68","11/03","13.4↘","19.5↘","13.8↗","17.6↘","25.2↘","19.1↘","16.1↘","15.6↘","23↘","11.7↘","24.6↗","22.2↗"
="0050","元大台灣50","64.15","-0.6","-0.93","11/03","42.9↘","21.5↗","37.4↘","37.2↘","20.7↘","51.1↘","50.6↘","47.6↗","18.5↘","48.3↘","36↗","31.6↗"
="00878","國泰永續高股息","21.69","-0.03","-0.14","11/03","37.5↘","22.2↘","25.4↗","24.6↘","26.9↘","27.4↘","20.6↘","25.9↘","15.7↘","27.7↘","26.9↗","29.3↘"
="006208","富邦台50","150.2","-1.6","-1.05","11/03","44.4↘","20.2↗","44.8↘","45.7↘","43.4↘","9.24↘","36.8↗","28↗","44.4↘","16.4↘","31.7↗","31.4↗"
