"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","251.5","-6","-2.33","96,479","11/03","52.6↘","76.1↘","83.6↘","61.1↘","87.2↘","今日",""
="2330","台積電","市","1510","10","+0.67","30,629","11/03","83.3↗","78.4↗","76.4↗","82.3↗","","",""
="2308","台達電","市","983","-12","-1.21","16,476","11/03","0.97↘","28.7↘","49.4↘","-12.6↘","71.3↘","2日前",""
="2454","聯發科","市","1300","-10","-0.76","11,330","11/03","26.7↘","29.6↘","33.3↘","22.4↘","","",""
="3231","緯創","市","143.5","-7","-4.65","81,148","11/03","18.8↘","57.1↘","65.5↘","40.3↘","67.8↘","今日",""
="3491","昇達科","櫃","430.5","-9.5","-2.16","1,448","11/03","25↘","27.9↘","31.6↘","20.4↘","","",""
="3008","大立光","市","2245","30","+1.35","459","11/03","43.5↗","28.1↗","25.7↗","33.1↗","25.2↗","今日",""
="3443","創意","市","1580","50","+3.27","4,702","11/03","55.9↗","39.9↗","41.7↘","36.4↗","41.5↗","即將交叉",""
="3661","世芯-KY","市","3450","-45","-1.29","1,450","11/03","83.5↘","75↗","61↗","103↘","","",""
="2301","光寶科","市","180","0.5","+0.28","29,037","11/03","48.5↘","59.3↘","63.9↘","50.1↘","66.4↘","1日前",""
="4967","十銓","市","140.5","5.5","+4.07","5,395","11/03","100↗","72.1↗","65.2↗","86↗","62.9↗","今日",""
="2344","華邦電","市","56.6","2.4","+4.43","68,488","11/03","93.5↗","88.4↗","86.8↗","91.6↗","86.1↗","今日","是"
="3711","日月光投控","市","246","-1.5","-0.61","40,923","11/03","91.8↘","93.8↘","91.8↗","97.8↘","92.8↘","即將交叉",""
="2882","國泰金","市","63.9","-0.1","-0.16","13,710","11/03","12.5↗","12.4↗","17.4↘","2.46↗","12.5↗","即將交叉",""
="2891","中信金","市","42.05","0.2","+0.48","17,951","11/03","20.7↗","16.1↗","19.2↘","9.85↗","18↗","即將交叉",""
="2884","玉山金","市","30.15","0.4","+1.34","60,324","11/03","20.6↗","13.5↗","15.9↘","8.54↗","15.3↗","即將交叉",""
="2880","華南金","市","29.4","0.2","+0.68","6,453","11/03","33.3↗","28.9↗","40.2↘","6.36↗","32.1↗","即將交叉",""
="0050","元大台灣50","市","64.15","-0.6","-0.93","140,157","11/03","78.7↘","87.4↘","88.1↘","85.9↘","88.1↘","今日",""
="00878","國泰永續高股息","市","21.69","-0.03","-0.14","58,562","11/03","61.9↘","72.1↘","74.4↘","67.3↘","75.2↘","今日",""
="006208","富邦台50","市","150.2","-1.6","-1.05","9,582","11/03","77↘","86.9↘","87.7↘","85.2↘","87.8↘","今日",""
