"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","251.5","-6","-2.33","11/03","11.2↘","8.96↗","4.56↘","20.1↗","15↗","10.4↘","23.8↗","17.7↗","12.1↗"
="2330","台積電","1510","+10","+0.67","11/03","52.8↘","55.4↘","-5.2↘","118↗","90.4↗","56↘","175↗","136↗","78.1↗"
="2308","台達電","983","-12","-1.21","11/03","43.8↘","55.2↘","-22.9↘","153↘","129↗","47.5↘","136↗","71.9↗","129↗"
="2454","聯發科","1300","-10","-0.76","11/03","-17.7↘","-18.4↗","1.54↘","-9.86↘","0.23↘","-20.2↘","97.5↘","119↘","-43.1↘"
="3231","緯創","143.5","-7","-4.65","11/03","5.06↘","5.41↘","-0.69↘","9.08↗","6.64↗","4.88↘","14.3↗","12.5↗","3.71↗"
="3491","昇達科","430.5","-9.5","-2.16","11/03","0.63↘","4.83↘","-8.4↗","23.1↘","18.6↗","8.98↘","57.5↗","54.7↗","5.6↘"
="3008","大立光","2245","+30","+1.35","11/03","-33.1↗","-30↘","-6.09↗","-31.7↘","-22.7↘","-18.1↘","-34.9↘","-3.62↘","-62.5↘"
="3443","創意","1580","+50","+3.27","11/03","48.3↗","54.8↘","-12.9↗","93.4↗","60.4↗","65.9↘","73↗","55.1↗","35.8↗"
="3661","世芯-KY","3450","-45","-1.29","11/03","-63.5↗","-113↗","99.6↗","86.8↘","165↘","-156↗","366↘","343↗","46.9↘"
="2301","光寶科","180","+0.5","+0.28","11/03","6.09↘","5.79↗","0.6↘","18.4↗","15.1↗","6.52↘","17.3↗","9.59↗","15.4↗"
="4967","十銓","140.5","+5.5","+4.07","11/03","11.5↗","11.6↘","-0.26↗","13.2↗","5.8↗","14.7↗","7.99↗","5.16↗","5.66↗"
="2344","華邦電","56.6","+2.4","+4.43","11/03","6.1↗","5.48↗","1.24↗","8.55↗","5.11↗","6.88↗","3.87↗","-0.09↗","7.91↗"
="3711","日月光投控","246","-1.5","-0.61","11/03","17↗","11.5↗","11↗","17.7↗","8.4↗","18.7↗","19↗","12.3↗","13.3↗"
="2882","國泰金","63.9","-0.1","-0.16","11/03","-0.14↘","0.11↘","-0.5↘","0.51↘","0.47↗","0.08↘","3.27↘","3.66↘","-0.8↘"
="2891","中信金","42.05","+0.2","+0.48","11/03","-0.16↘","-0.11↘","-0.11↗","0.43↘","0.65↘","-0.44↘","3.66↘","3.73↘","-0.13↘"
="2884","玉山金","30.15","+0.4","+1.34","11/03","-0.86↘","-0.6↘","-0.52↗","0.21↘","0.76↘","-1.09↘","1.37↘","1.16↗","0.43↘"
="2880","華南金","29.4","+0.2","+0.68","11/03","0.07↘","0.13↘","-0.12↘","0.56↘","0.54↗","0.03↘","1.58↗","1.45↗","0.27↘"
="0050","元大台灣50","64.15","-0.6","-0.93","11/03","1.79↘","1.77↗","0.03↘","-18.7↗","-24.4↗","11.3↗","-21.9↘","-6.66↘","-30.4↗"
="00878","國泰永續高股息","21.69","-0.03","-0.14","11/03","0.16↘","0.15↗","0.02↘","0.1↗","-0.02↗","0.25↘","0.25↗","0.44↘","-0.37↗"
="006208","富邦台50","150.2","-1.6","-1.05","11/03","4.52↘","4.55↘","-0.06↘","9.99↗","7.65↗","4.68↘","14.2↗","10.9↗","6.61↗"
