"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","246.5","-3","-1.2","11/11","30.7↗","22↘","28.9↘","27.2↗","36.1↘","15.9↘","35.8↗","29.9↗","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1465","-10","-0.68","11/11","35.6↘","21.8↘","36.5↘","42.8↘","35.4↘","8.74↘","40.2↗","30.7↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","972","-10","-1.02","11/11","29.3↘","23.4↘","39↘","48.8↘","43.8↘","9.03↘","61.2↗","45.3↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1240","-10","-0.8","11/11","12.5↘","23.5↘","17.7↗","17.1↗","21.3↘","26↗","10.2↘","13.9↘","23.3↘","16.8↗","21.1↘","23.5↘"
="3231","緯創","144.5","+6","+4.33","11/11","31.7↗","22.3↘","26.3↘","32.1↘","28.5↘","20.9↘","17.6↘","13.3↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","421.5","-8","-1.86","11/11","22.7↗","19.7↘","16.6↘","25.5↘","23.9↘","17.2↘","23.9↘","21.2↘","27.8↘","11.5↗","38.1↗","38↗"
="6669","緯穎","4720","+425","+9.9","11/11","40.7↗","14↘","38.8↗","31.3↗","40.2↗","7.41↘","42↗","32.5↗","42.7↗","9.87↘","39.6↗","41.1↘"
="3008","大立光","2215","-30","-1.34","11/11","18.7↘","23.9↘","15.2↘","16.2↘","16.7↘","23.7↘","15.7↗","19.4↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1910","+20","+1.06","11/11","51.9↗","13.2↘","35.7↗","33.5↗","39.4↗","13.3↘","22.5↗","17.2↗","32.1↗","15.1↘","18.2↗","24.3↘"
="3661","世芯-KY","3635","-80","-2.15","11/11","29.2↘","19.8↘","18↗","21↘","21.2↗","19.7↘","17.3↘","18.6↘","30.3↗","18.4↘","29.9↘","34.2↘"
="2301","光寶科","167.5","-1.5","-0.89","11/11","28.4↗","24.5↘","20.4↘","24.7↘","37.5↘","12.9↘","42.7↗","31.5↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","140.5","-8.5","-5.7","11/11","31.2↘","15.8↘","47.8↘","51.1↗","38.2↗","9.62↘","36.3↗","27.6↗","41.3↗","11.4↘","36.5↗","40.4↗"
="2344","華邦電","64.5","+0.6","+0.94","11/11","48.9↗","15.2↘","57.6↘","58.8↘","54.9↗","2.72↘","50.5↗","33.8↗","50.8↗","9.32↘","24.5↗","19.9↗"
="3711","日月光投控","228","-0.5","-0.22","11/11","39.8↘","18↘","47.6↘","41.2↗","43.8↘","7.96↗","30.8↗","22.9↗","38.1↘","10.4↘","34.7↗","35.6↗"
="2408","南亞科","164.5","+3","+1.86","11/11","48.1↗","11.9↘","55.4↗","54↗","57.1↗","3.3↘","48.7↗","34.4↗","53.4↗","9.95↘","23.3↗","16.9↗"
="2882","國泰金","64.8","+1","+1.57","11/11","24.8↗","18.5↘","14.6↗","19↗","17.3↗","17.2↘","8.53↘","12.4↘","19.9↘","18.3↗","18.9↘","23↗"
="2891","中信金","43.35","+0.95","+2.24","11/11","30.8↗","19.4↘","8.9↗","10↗","19.4↗","18.4↘","11.5↘","14.4↘","26.6↘","12.7↘","36.5↘","34.2↗"
="2884","玉山金","30.15","+0.65","+2.2","11/11","18.7↗","33.6↘","42↘","33.8↗","15.9↘","31.6↘","17.2↗","18.4↗","23.7↘","23.5↘","12.5↘","12.6↘"
="2880","華南金","29.8","+0.15","+0.51","11/11","13.7↘","18.2↗","13↗","14.7↘","23.6↘","17.9↘","16↘","15.9↗","22.7↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","37.1↗","27.7↘","29↘","33.5↘","19.9↘","50.4↘","50.1↘","48.2↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","30.8↗","33.5↘","19↘","20.8↘","24.2↘","30.7↘","20.8↘","25.7↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","147.1","-0.9","-0.61","11/11","37.7↗","27.1↘","34.8↘","41.1↘","39.1↘","11.4↘","37.4↗","28.4↗","43.1↘","15.9↘","31.7↗","31.4↗"
