"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","11,604","18,134","-6,530","148","311","-163","763","1,028","-265","12,515","19,473","-6,958","－－－"
="2330","台積電","1465","-10","-0.68","24,857","11/11","9,797","15,532","-5,735","272","84","+187","959","1,002","-43","11,027","16,618","-5,591","－＋－"
="2308","台達電","972","-10","-1.02","11,381","11/11","3,998","6,052","-2,054","50","64","-14","251","245","+6","4,299","6,361","-2,062","－－＋"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","2,438","4,066","-1,628","72","137","-65","263","262","+1","2,773","4,465","-1,692","－－＋"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","29,370","27,820","+1,551","6,185","27","+6,158","4,188","777","+3,411","39,743","28,623","+11,119","＋＋＋"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","355","701","-346","0","0","0","98","55","+43","453","756","-303","－・＋"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","1,209","1,449","-240","217","1","+216","152","171","-18","1,578","1,620","-42","－＋－"
="3008","大立光","2215","-30","-1.34","333","11/11","225","211","+14","1","2","-1","2","13","-12","228","227","+2","＋－－"
="3443","創意","1910","+20","+1.06","8,543","11/11","3,762","2,574","+1,188","195","1","+194","249","425","-176","4,207","3,000","+1,207","＋＋－"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","488","782","-294","60","1","+59","69","125","-56","617","908","-291","－＋－"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","4,038","8,775","-4,737","55","67","-12","192","257","-65","4,284","9,099","-4,815","－－－"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","6,603","6,590","+13","0","0","0","148","391","-243","6,751","6,981","-230","＋・－"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","13,365","9,560","+3,805","31","1,680","-1,649","3,092","3,918","-826","16,488","15,158","+1,330","＋－－"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","12,058","8,595","+3,463","257","39","+218","236","396","-160","12,552","9,030","+3,521","＋＋－"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","57,428","82,479","-25,051","582","3","+579","3,398","5,265","-1,867","61,408","87,747","-26,339","－＋－"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","21,639","19,525","+2,114","0","1,324","-1,324","269","414","-145","21,907","21,263","+645","＋－－"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","35,191","9,474","+25,717","2,411","1,642","+769","775","517","+258","38,377","11,633","+26,744","＋＋＋"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","40,261","37,466","+2,795","1,503","134","+1,369","2,271","3,990","-1,719","44,035","41,591","+2,444","＋＋－"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","7,900","6,096","+1,804","91","93","-2","116","75","+41","8,107","6,264","+1,843","＋－＋"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","603","23,787","-23,184","1,000","0","+1,000","1,887","30,746","-28,859","3,490","54,533","-51,043","－＋－"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","1,476","237","+1,239","0","0","0","4,704","10,504","-5,800","6,180","10,741","-4,561","＋・－"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","115","543","-428","0","0","0","448","3,420","-2,972","563","3,963","-3,400","－・－"
