"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","246.5","-3","-1.2","11/11","-6,530","-8,647","-8,131","-20,236","-30,018","+91,394","+744,069","+920,968","+15,393","-398,954","-1,548,660","+378,520"
="2330","台積電","1465","-10","-0.68","11/11","-5,735","-9,646","-12,899","-45,797","-42,793","-107,717","-82,586","+216,846","-34,799","+670,936","-895,361","-9,307"
="2308","台達電","972","-10","-1.02","11/11","-2,054","-3,145","-4,979","-6,933","-29,765","-28,619","-65,441","-2,072","-20,285","-25,951","-126,419","-36,050"
="2454","聯發科","1240","-10","-0.8","11/11","-1,628","-3,126","-6,758","-9,041","-10,997","-18,941","-37,545","-22,850","-26,760","-60,614","-19,658","-36,852"
="3231","緯創","144.5","+6","+4.33","11/11","+1,551","-993","-7,008","-3,394","+143","-97,969","-31,080","+76,159","-41,040","-69,805","-26,801","-1,473"
="3491","昇達科","421.5","-8","-1.86","11/11","-346","-520","-566","-302","+61","+273","+3,878","-1,018","+1,116","+7,829","+7,711","+1,236"
="6669","緯穎","4720","+425","+9.9","11/11","-240","-31","-571","-1,016","-1,002","-1,504","-2,756","+4,605","-1,539","-1,347","","-368"
="3008","大立光","2215","-30","-1.34","11/11","+14","+67","+123","-26","-200","-1,493","-1,048","-3,279","-2,052","-5,892","-21,887","-1,101"
="3443","創意","1910","+20","+1.06","11/11","+1,188","+1,317","+778","+380","+1,307","+4,080","+10,010","+7,962","+8,515","-8,341","+30,050","+8,364"
="3661","世芯-KY","3635","-80","-2.15","11/11","-294","-488","-569","-233","-314","-2,020","-4,438","-2,042","+1,825","+1,076","+4,063","-5,934"
="2301","光寶科","167.5","-1.5","-0.89","11/11","-4,737","-6,024","-7,185","-8,485","-32,186","-33,575","-48,325","+3,970","+58,918","-379,195","-391,255","+54,575"
="4967","十銓","140.5","-8.5","-5.7","11/11","+13","-329","+1,125","+525","-2,449","+4,191","+5,855","+6,000","+6,841","+2,797","","+6,297"
="2344","華邦電","64.5","+0.6","+0.94","11/11","+3,805","+4,735","+10,614","+22,868","+39,421","+135,007","+494,642","+529,102","+398,351","-58,081","+339,017","+450,598"
="3711","日月光投控","228","-0.5","-0.22","11/11","+3,463","+7,490","+8,486","+17,405","+49,417","+103,085","+172,781","+138,209","+131,213","+177,966","","+96,240"
="2408","南亞科","164.5","+3","+1.86","11/11","-25,051","-16,377","-42,968","-48,673","-64,310","-24,207","+165,079","+194,250","+146,575","-46,611","-140,577","+144,462"
="2882","國泰金","64.8","+1","+1.57","11/11","+2,114","+2,684","-3,436","-6,573","-6,112","-7,614","+63,031","-1,022,340","-1,060,495","-345,194","-969,755","-1,106,469"
="2891","中信金","43.35","+0.95","+2.24","11/11","+25,717","+30,294","+23,579","+37,173","+42,395","+6,776","-37,761","-104,892","+280,649","-1,341,596","-1,450,199","+50,710"
="2884","玉山金","30.15","+0.65","+2.2","11/11","+2,795","-6,117","-35,826","-77,800","-104,660","-281,052","-252,573","+106,756","+462,287","+183,039","-2,575,816","+344,823"
="2880","華南金","29.8","+0.15","+0.51","11/11","+1,804","+388","+2,577","+2,871","+12,665","+36,291","+125,955","+128,583","+17,479","-13,825","+68,159","+149,131"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","-23,184","-49,838","-110,188","-229,977","-347,614","-954,803","-1,505,735","-1,975,898","-2,544,311","-2,411,629","-2,803,136","-2,474,916"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","+1,239","-1,291","-23,083","-63,829","-91,469","-77,306","+124,429","+171,054","-531,988","-1,629,920","","-250,507"
="006208","富邦台50","147.1","-0.9","-0.61","11/11","-428","-6,528","-7,828","-16,169","-20,526","-35,128","-7,549","+102,405","+7,362","-139,442","-206,047","+49,585"
