"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","247↗","251↘","248.5↗","241.4↗","225↗","221.8↗","201.1↗","193.4↗","180↗","181.8↗"
="2330","台積電","1465","-10","-0.68","24,857","11/11","1465↘","1485↘","1480↘","1475↗","1356↗","1324↗","1241↗","1201↗","1115↗","1106↗"
="2308","台達電","972","-10","-1.02","11,381","11/11","972.8↘","988.7↘","1005↘","1006↘","906.1↗","867.2↗","722.7↗","666.8↗","549.8↗","526.2↗"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","1274↘","1290↘","1301↘","1307↘","1360↘","1364↘","1356↘","1344↘","1375↘","1373↘"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","140↗","144↘","144.3↗","142.9↘","132.8↗","129.8↗","126↗","124.1↗","116.4↗","115.5↗"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","427.8↗","428.1↘","435.3↘","437.3↘","437.3↗","423↗","389.3↗","380↗","390.5↗","379.7↗"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","4315↗","4296↗","4223↗","4108↗","3547↗","3482↗","3140↗","3025↗","2626↗","2587↗"
="3008","大立光","2215","-30","-1.34","333","11/11","2215→","2218↘","2232↗","2230↘","2311↘","2321↘","2328↘","2326↘","2378↘","2403↘"
="3443","創意","1910","+20","+1.06","8,543","11/11","1772↗","1652↗","1637↗","1598↗","1449↗","1414↗","1336↗","1302↗","1255↗","1259↗"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","3585↗","3492↗","3385↗","3317↗","3538↘","3614↘","3567↗","3439↗","3180↗","3115↗"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","168.2↘","174.6↘","174.7↗","172↘","163.2↗","157.3↗","142↗","135.8↗","121.9↗","118.7↗"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","139.7↗","135.4↗","133.8↗","132↗","104↗","98.79↗","88.56↗","86.06↗","83.89↗","83.65↗"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","60.3↗","57.48↗","54.4↗","51.55↗","38.64↗","35.29↗","28.54↗","26.8↗","22.89↗","21.68↗"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","230.8↘","233.2↗","221.5↗","212.8↗","184.7↗","178.5↗","166.8↗","162.7↗","159↗","159.1↗"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","151.8↗","142.8↗","133.5↗","124.2↗","90.63↗","83.29↗","68.77↗","65.46↗","53.91↗","50.2↗"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","64.18↗","64.28→","64.69↘","64.93↘","64.86↗","64.72↗","64.11↘","64.27↗","63.53↗","64.28↘"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","42.49↗","42.27↗","42.24↗","42.3↗","42.42↗","42.47↗","42.73↗","42.64↗","41.34↗","40.91↗"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","29.9↘","29.97↗","30.52↘","31.04↘","32.46↘","32.7↘","32.91↘","32.56↗","31.03↗","30.41↗"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","29.7↗","29.56↗","29.6↗","29.62↗","29.34↗","29.12↗","28.8↗","28.45↗","28.06↗","27.79↗"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","63.05↘","63.69↘","63.49↘","63.15↗","59.12↗","58.05↗","54.83↗","74.79↘","117.9↘","130.6↘"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","21.41↘","21.56↘","21.56↘","21.5↗","21.19↗","21.1↗","21.09↗","21.01↗","21.15↘","21.32↘"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","147.5↘","149.1↘","148.6↘","147.8↗","138.1↗","135.6↗","128.2↗","124.8↗","117.4↗","116.7↗"
