"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","246.5","-3","-1.2","11/11","-163","+479","+52","-695","-3,777","-15,542","+9,821","+82,950","-10,628","+98,293","+211,485","+92,376"
="2330","台積電","1465","-10","-0.68","11/11","+187","+394","+495","+1,492","+3,270","+9,697","+3,427","-2,172","+27,610","+62,185","+135,832","+20,236"
="2308","台達電","972","-10","-1.02","11/11","-14","+237","+288","+833","-2,479","-4,123","-2,397","+11,755","+8,266","+3,045","+38,898","+8,659"
="2454","聯發科","1240","-10","-0.8","11/11","-65","-148","-86","+19","-633","-2,874","-7,208","-59,412","-60,884","+6,572","+41,589","-56,462"
="3231","緯創","144.5","+6","+4.33","11/11","+6,158","+6,485","+6,305","-1,724","-20,081","-4,253","-9,286","+2,850","+27,877","+116,943","+88,448","+64,101"
="3491","昇達科","421.5","-8","-1.86","11/11","0","+38","+128","+137","-459","-1,340","-731","-2,673","-1,072","+3,027","+206","-1,689"
="6669","緯穎","4720","+425","+9.9","11/11","+216","+380","+431","+544","+862","+1,485","-539","+151","+3,750","+2,324","","-1,076"
="3008","大立光","2215","-30","-1.34","11/11","-1","+3","+5","+31","+33","+14","-371","-576","-1,060","-496","-1,356","-2,361"
="3443","創意","1910","+20","+1.06","11/11","+194","+752","+763","+937","+1,629","+977","+2,316","-183","+497","-9,907","+6,324","-1,044"
="3661","世芯-KY","3635","-80","-2.15","11/11","+59","+159","+262","+470","+1,105","+313","-1,742","+240","+2,488","-5,202","+6,113","+1,694"
="2301","光寶科","167.5","-1.5","-0.89","11/11","-12","+165","-1,138","-2,452","-6,438","-15,359","-12,467","-6,145","-26,123","+42,671","+189,036","-4,615"
="4967","十銓","140.5","-8.5","-5.7","11/11","0","+93","+93","+93","+91","+513","+513","+513","+513","+427","","+513"
="2344","華邦電","64.5","+0.6","+0.94","11/11","-1,649","-1,649","-1,769","-4,050","-14,311","-8,403","+160,711","+171,335","+164,636","+170,257","+171,583","+170,818"
="3711","日月光投控","228","-0.5","-0.22","11/11","+218","+771","+794","+957","+1,301","+1,928","-3,772","-97,283","-152,501","+163,278","","-110,332"
="2408","南亞科","164.5","+3","+1.86","11/11","+579","+736","+1,269","+4,357","-1,017","+35,400","+68,079","+55,869","+76,197","-17,244","+61,593","+78,540"
="2882","國泰金","64.8","+1","+1.57","11/11","-1,324","-710","-1,036","-259","-3,473","-10,905","+4,905","+1,459,126","+1,464,491","+1,661,810","+1,741,261","+1,461,052"
="2891","中信金","43.35","+0.95","+2.24","11/11","+769","+1,156","-1,334","-3,995","-8,870","-47,088","-8,864","+837,003","+1,026,379","+2,723,641","+2,908,873","+988,835"
="2884","玉山金","30.15","+0.65","+2.2","11/11","+1,369","+250","+1,643","+2,758","-3,464","-21,610","-46,976","-17,682","-128,765","+284,542","+326,492","+62,245"
="2880","華南金","29.8","+0.15","+0.51","11/11","-2","+199","+572","+2,213","+2,306","-36","+31,765","-109,806","+188,135","+483,829","+520,948","-13,355"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","+1,000","-737","+1,813","-6,823","-7,465","+15,440","-25,984","-12,088","+27,765","+89,091","+130,721","+16,639"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","0","0","0","0","+560","+560","+7,170","+7,217","+11,030","+25,048","","+11,030"
="006208","富邦台50","147.1","-0.9","-0.61","11/11","0","0","-432","-230","-495","-675","-1,014","+4,018","+8,615","+9,526","+9,526","+8,216"
