"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","246.5","-3","-1.2","11/11","49.6↘","55.9↘","70.4↗","72.1↗","75.5↘","70.6↘","76.5↗","71.9↗","86.3↗","70.6↗"
="2330","台積電","1465","-10","-0.68","11/11","44↘","54.4↘","77.2↗","77.9↗","82↘","78↘","84.4↗","80.9↗","91.4↗","88.8↗"
="2308","台達電","972","-10","-1.02","11/11","40↘","48.6↘","72.1↗","78.9↗","88.6↘","84↘","91.2↗","86.5↗","97.1↗","91.7↗"
="2454","聯發科","1240","-10","-0.8","11/11","23.3↘","32.2↘","27.4↘","37.5↘","38.9↘","50.3↘","55.2↘","59.1↘","64.4↘","63↘"
="3231","緯創","144.5","+6","+4.33","11/11","55.6↗","54.1↗","58.7↗","60.1↗","68.8↘","65.8↘","80↗","77.3↗","91.7↗","81↗"
="3491","昇達科","421.5","-8","-1.86","11/11","37.5↘","42.9↘","44.9↘","53.7↘","60.5↘","62.5↘","75.8↘","75.3↘","84.8↗","81.2↗"
="6669","緯穎","4720","+425","+9.9","11/11","75↗","73↗","79.4↗","76.5↗","89.5↗","80.3↗","78.5↗","75.1↗","95.4↗",""
="3008","大立光","2215","-30","-1.34","11/11","44.9↘","43.4↘","38.3↗","42.1↗","34.6→","43.9→","39.7↘","44.2↘","44.7↘","51.3↘"
="3443","創意","1910","+20","+1.06","11/11","83.2↗","75.7↗","83.3↗","76.7↗","81.8↗","69.1↗","69.1↗","66.2↗","81.9↗","81.4↗"
="3661","世芯-KY","3635","-80","-2.15","11/11","62↘","58.3↘","57.3↗","54.7↗","59.4↗","58.6↗","68.9↗","68.4↗","94.3↗","93.4"
="2301","光寶科","167.5","-1.5","-0.89","11/11","37.5↘","46↘","58.2↗","64.8↗","75.1↘","71↘","80.3↘","76.7↘","84.6↗","76.4↗"
="4967","十銓","140.5","-8.5","-5.7","11/11","57↘","61.4↘","94.4↗","86.9↗","85.3↗","71.9↗","71.3↗","66.8↗","85.2↗",""
="2344","華邦電","64.5","+0.6","+0.94","11/11","81.8↗","78.9↗","96.9↗","93↗","92.2↗","83.6↗","85.3↗","75.7↗","72.6↗","64↗"
="3711","日月光投控","228","-0.5","-0.22","11/11","55.4↘","65.4↘","74.3↘","73.6↘","74↘","70↘","83.2↗","76.8↗","89.2↗",""
="2408","南亞科","164.5","+3","+1.86","11/11","88.5↗","84.9↗","95.5↗","90.1↗","93.4↗","84.7↗","83.8↗","73.5↗","70.8↗","66.1↗"
="2882","國泰金","64.8","+1","+1.57","11/11","56↗","50.7↗","51.9↗","51.7↗","58.6↗","59↗","65.5↘","61.7↘","59.7↘","48↘"
="2891","中信金","43.35","+0.95","+2.24","11/11","71.2↗","62.7↗","65↗","58.1↗","67.3↗","68↗","78↗","72.6↗","80.1↗","62.5↗"
="2884","玉山金","30.15","+0.65","+2.2","11/11","47.1↗","38.3↗","28.7↗","38.7↗","47.6↗","53.8↗","55.1↘","56.8↘","69.9↗","62.8↗"
="2880","華南金","29.8","+0.15","+0.51","11/11","62.7↗","58.7↗","62.8↗","60.8↗","70.2↗","67.5↗","80.4↗","72.7↗","71.9↗","42.5↗"
="0050","元大台灣50","62.9","-0.45","-0.71","11/11","44.1↘","54.1↘","52.1↗","33↗","24.4↘","29↘","29↗","37↗","39.9↘","46↘"
="00878","國泰永續高股息","21.38","+0.04","+0.19","11/11","37↗","45.9↗","53.7↗","53.4↗","51.1↘","51.5↘","56.3↗","61.9↗","70.9",""
="006208","富邦台50","147.1","-0.9","-0.61","11/11","44.1↘","53.8↘","72↗","75.3↗","78.5↘","75.5↘","83.9↗","79.1↗","87.6↗","85.6↗"
