"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","246.5","-3","-1.2","50,821","11/11","33.9↘","39↘","46.2↘","24.6↘","","",""
="2330","台積電","市","1465","-10","-0.68","24,857","11/11","14.3↘","25.7↘","39.1↘","-1.1↘","","",""
="2308","台達電","市","972","-10","-1.02","11,381","11/11","30↘","28↗","27.7↗","28.4↗","27.7↗","今日",""
="2454","聯發科","市","1240","-10","-0.8","6,110","11/11","0→","12.1↘","24.2↘","-12.1↘","40.8↘","2日前",""
="3231","緯創","市","144.5","6","+4.33","84,454","11/11","51↗","36.7↗","36.5↗","37.2↗","36.5↗","今日",""
="3491","昇達科","櫃","421.5","-8","-1.86","1,681","11/11","29.9↘","38.5↘","36.8↗","41.7↘","37.1↘","即將交叉",""
="6669","緯穎","市","4720","425","+9.9","3,546","11/11","100↗","76.3↗","72.1↗","84.8↗","71.2↗","今日",""
="3008","大立光","市","2215","-30","-1.34","333","11/11","50↘","48.9↗","40.7↗","65.3↘","","",""
="3443","創意","市","1910","20","+1.06","8,543","11/11","81.8↘","82.5↘","73.1↗","101↘","81.9↘","即將交叉",""
="3661","世芯-KY","市","3635","-80","-2.15","1,984","11/11","83↘","85.9↘","81.7↗","94.3↘","84.2↘","即將交叉",""
="2301","光寶科","市","167.5","-1.5","-0.89","16,318","11/11","15.9↗","18.3↘","26.4↘","2.04↗","","",""
="4967","十銓","市","140.5","-8.5","-5.7","31,295","11/11","69.2↘","73.3↘","68.4↗","83.2↘","71.1↘","即將交叉",""
="2344","華邦電","市","64.5","0.6","+0.94","43,521","11/11","90.9↘","92.3↘","90.3↗","96.3↘","91.5↘","即將交叉",""
="3711","日月光投控","市","228","-0.5","-0.22","18,882","11/11","27.7↘","52.2↘","67.5↘","21.7↘","","",""
="2408","南亞科","市","164.5","3","+1.86","286,108","11/11","84.2↘","87.4↘","86.4↗","89.5↘","86.7↘","即將交叉","是"
="2882","國泰金","市","64.8","1","+1.57","34,285","11/11","59.1↗","31.2↗","23.3↗","46.9↗","20.2↗","今日","是"
="2891","中信金","市","43.35","0.95","+2.24","42,816","11/11","94.1↗","57.6↗","40.7↗","91.4↗","","",""
="2884","玉山金","市","30.15","0.65","+2.2","61,889","11/11","57.7↗","28.4↗","20.6↗","44.1↗","17.7↗","今日","是"
="2880","華南金","市","29.8","0.15","+0.51","9,393","11/11","87.5↗","70.6↗","59.4↗","93.2↗","","",""
="0050","元大台灣50","市","62.9","-0.45","-0.71","79,724","11/11","23.5↘","36.1↘","49.6↘","9.06↘","","",""
="00878","國泰永續高股息","市","21.38","0.04","+0.19","34,308","11/11","29.3↗","32.7↘","42.4↘","13.1↗","","",""
="006208","富邦台50","市","147.1","-0.9","-0.61","5,845","11/11","18.3↘","31.5↘","46.4↘","1.55↘","","",""
