"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","-3,452","-344","-1,432","+5,770","+4,629","+7,638","+6,124","-1,522","-22,415","-39,802"
="2330","台積電","1465","-10","-0.68","24,857","11/11","-772","-662","-760","+1,718","+1,184","+2,113","+2,593","-2,279","-13,836","-8,126"
="2308","台達電","972","-10","-1.02","11,381","11/11","-44","-20","-53","-499","+1,372","+1,675","+4,474","+4,966","+3,799","+5,150"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","-8","+123","+267","+376","+508","+497","+791","+1,210","+1,215","+2,193"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","+7,150","+8,676","+8,671","+6,598","+6,384","+9,135","+21,103","+20,250","-22,621","-21,603"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","+84","+60","+78","-41","+82","+38","-60","+446","-578","+12"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","+86","+159","+144","+224","+55","+184","+56","-554","-789","-179"
="3008","大立光","2215","-30","-1.34","333","11/11","-2","-24","+9","+35","+68","+107","+83","+94","-475","-431"
="3443","創意","1910","+20","+1.06","8,543","11/11","-551","+69","+227","+782","+1,056","+1,386","+2,210","+3,232","+2,058","+1,655"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","+25","-103","-196","-20","-105","+178","+266","+908","+55","+1,140"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","-87","-243","-318","-493","-3,051","+3,534","+9,400","+16,250","+5,023","+5,143"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","-974","+876","+1,405","+1,943","+479","+507","+2,661","+3,321","-484","+883"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","-3,765","-4,007","-10,379","-15,122","-34,844","-53,221","+45,647","+50,001","+41,174","+41,539"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","-48","-111","-327","+198","+533","+133","+1,025","+1,825","-4,736","-611"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","-6,598","+3,436","+7,425","+19,538","+37,236","+41,991","+85,027","+97,042","+113,164","+107,841"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","+790","+809","+1,071","+1,071","+1,290","+1,546","+549","-3,777","-5,690","-4,104"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","-446","-742","-486","-762","-1,043","-1,139","-1,692","-7,706","-19,959","-15,516"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","-277","+27","+195","+257","+669","+15,080","+14,324","+12,859","+11,360","+11,588"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","+4","+32","+30","+44","-1","-26","-958","-433","-2,124","-2,016"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","-308","-373","+122","+831","+268","+2,205","+2,959","+5,922","+7,715","+7,906"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","+87","+231","+301","+589","+1,268","+1,002","-5,360","-5,723","-4,645","-3,457"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","+8","+11","+9","+5","-7","+38","-99","-948","-825","-651"
