"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","271.3↘","-9.13","241.4↗","+2.12","211.5↗","+16.6","59.8↘","0.59↘","0.25↘"
="2330","台積電","1465","-10","-0.68","24,857","11/11","1518↘","-3.52","1475↗","-0.68","1432↗","+2.34","86.9↘","0.38↘","0.06↘"
="2308","台達電","972","-10","-1.02","11,381","11/11","1070↘","-9.17","1006↘","-3.42","942.7↘","+3.11","127↗","0.23↘","0.13↗"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","1363↗","-9.03","1307↘","-5.13","1251↘","-0.87","112↗","-0.1↗","0.09↗"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","153.2↘","-5.7","142.9↘","+1.12","132.6↘","+9","20.7↘","0.58↗","0.14↘"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","464.2↘","-9.2","437.3↘","-3.61","410.4↘","+2.72","53.8↗","0.21↘","0.12↗"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","4623↗","+2.11","4108↗","+14.9","3594↗","+31.3","1028↘","1.09↗","0.25↘"
="3008","大立光","2215","-30","-1.34","333","11/11","2283↘","-2.99","2230↘","-0.69","2178↗","+1.71","105↘","0.35↘","0.05↘"
="3443","創意","1910","+20","+1.06","8,543","11/11","1866↗","+2.35","1598↗","+19.5","1330↘","+43.6","536↗","1.08↘","0.34↗"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","3743↗","-2.9","3317↗","+9.58","2891↘","+25.7","852↗","0.87↘","0.26↗"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","190↘","-11.8","172↘","-2.64","154.1↘","+8.69","35.9↗","0.37↘","0.21↗"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","145.1↗","-3.14","132↗","+6.48","118.8↗","+18.2","26.2↗","0.83↘","0.2↗"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","65.74↗","-1.88","51.55↗","+25.1","37.37↗","+72.6","28.4↗","0.96↘","0.55↗"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","257.7↗","-11.5","212.8↗","+7.12","168↗","+35.7","89.7↘","0.67↘","0.42↘"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","168.5↗","-2.37","124.2↗","+32.5","79.89↗","+106","88.6↗","0.95↘","0.71↗"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","66.48↘","-2.53","64.93↘","-0.2","63.38↘","+2.25","3.11↘","0.46↗","0.05↘"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","43.01↗","+0.79","42.3↗","+2.48","41.6↘","+4.22","1.41↗","1.24↗","0.03↗"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","33.62↘","-10.3","31.04↘","-2.86","28.45↘","+5.97","5.17↘","0.33↗","0.17↘"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","29.97↗","-0.56","29.62↗","+0.6","29.28↗","+1.78","0.69↘","0.76↗","0.02↘"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","65.05↘","-3.31","63.15↗","-0.39","61.24↗","+2.71","3.81↘","0.44↘","0.06↘"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","21.85↘","-2.14","21.5↗","-0.57","21.15↗","+1.06","0.69↘","0.32↗","0.03↘"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","152.5↘","-3.51","147.8↗","-0.45","143.1↗","+2.82","9.39↘","0.43↘","0.06↘"
