"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","-5.6","-0.59","-2.4","+11","+8.63","+15.1","+11.8","-2.55","-27.8","-40.6"
="2330","台積電","1465","-10","-0.68","24,857","11/11","-4.1","-3.54","-4.04","+10.5","+7.03","+13.3","+16.8","-11.2","-43.4","-31.1"
="2308","台達電","972","-10","-1.02","11,381","11/11","-0.63","-0.29","-0.75","-6.68","+24.5","+31.6","+179","+247","+120","+282"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","-0.12","+1.91","+4.25","+6.09","+8.41","+8.21","+13.7","+22.7","+22.8","+50.3"
="3231","緯創","144.5","+6","+4.33","84,454","11/11","+12.7","+15.8","+15.8","+11.6","+11.2","+16.8","+49.9","+46.9","-26.3","-25.4"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","+2.03","+1.44","+1.88","-0.96","+1.98","+0.91","-1.4","+11.8","-12","+0.28"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","+5.36","+10.4","+9.32","+15.3","+3.37","+12.2","+3.43","-24.7","-31.8","-9.58"
="3008","大立光","2215","-30","-1.34","333","11/11","-0.23","-2.73","+1.06","+4.27","+8.64","+14.3","+10.8","+12.4","-35.7","-33.5"
="3443","創意","1910","+20","+1.06","8,543","11/11","-9.98","+1.41","+4.79","+18.7","+27","+38.7","+80.1","+186","+70.7","+49.9"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","+0.49","-1.95","-3.65","-0.39","-1.99","+3.56","+5.42","+21.3","+1.07","+28.3"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","-0.35","-0.98","-1.28","-1.97","-11","+16.8","+61.9","+195","+25.7","+26.5"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","-10.3","+11.5","+19.8","+29.6","+5.96","+6.33","+45.5","+64","-5.38","+11.6"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","-3.59","-3.82","-9.32","-13","-25.6","-34.5","+82.5","+98","+68.8","+69.8"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","-0.81","-1.86","-5.29","+3.5","+10","+2.32","+21.2","+45.3","-44.7","-9.45"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","-4.59","+2.57","+5.72","+16.6","+37.2","+44.1","+163","+241","+470","+367"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","+12.4","+12.7","+17.6","+17.6","+22","+27.5","+8.3","-34.5","-44.3","-36.4"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","-8.97","-14.1","-9.7","-14.4","-18.7","-20.1","-27.2","-63","-81.5","-77.4"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","-1.64","+0.16","+1.19","+1.57","+4.2","+997","+631","+344","+217","+232"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","+0.83","+7.06","+6.59","+9.98","-0.21","-5.09","-66.4","-47.2","-81.4","-80.6"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","-3.36","-4.04","+1.4","+10.3","+3.12","+33.1","+50.1","+201","+671","+824"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","+1.56","+4.26","+5.62","+11.6","+28.9","+21.5","-48.7","-50.3","-45.1","-37.9"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","+2.35","+3.26","+2.65","+1.46","-1.97","+12.3","-22.1","-73.1","-70.3","-65.2"
