"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","246.5","-3","-1.2","50,821","11/11","-0.53","-0.39","+0.79","-6.77","-1.36","+56.4","+51.9","+53.6","-21.3","+93"
="2330","台積電","1465","-10","-0.68","24,857","11/11","-2.19","-4.57","-1.26","-16.3","-14.9","-7.4","-33.8","-84.3","-41.4","-28.4"
="2308","台達電","972","-10","-1.02","11,381","11/11","+1.79","-0.7","+0.12","-3.73","-18.9","-19.4","+15.4","+526","+214","+112"
="2454","聯發科","1240","-10","-0.8","6,110","11/11","-2.47","-3.07","0","-3.66","-13.7","-12.7","+49.1","+95.1","-20.2",""
="3231","緯創","144.5","+6","+4.33","84,454","11/11","+2.71","+3.55","-1.04","+11.1","+7.3","-19","+4.75","-65.1","-33.5","+8.1"
="3491","昇達科","421.5","-8","-1.86","1,681","11/11","+15","+22.3","+30.6","-16.2","-40.4","+19.3","+102","-35.4","-16.2","-19.3"
="6669","緯穎","4720","+425","+9.9","3,546","11/11","+3.28","+3.28","+12.5","+9.57","+10.5","+75","+14.5","+18.9","+82.6","-15.4"
="3008","大立光","2215","-30","-1.34","333","11/11","+12.5","+12.5","+12.5","0","+12.5","-25","","0","+350","-52.6"
="3443","創意","1910","+20","+1.06","8,543","11/11","+1.17","+42.1","+38.3","+63.5","+122","+130","+189","+12.1","+79.3","+26.8"
="3661","世芯-KY","3635","-80","-2.15","1,984","11/11","-10.4","+6.19","-23.7","+37.3","+115","+58.5","-80.2","-53.6","-41.8","-74.1"
="2301","光寶科","167.5","-1.5","-0.89","16,318","11/11","-4.85","-0.63","0","+0.86","-48.3","-25.6","+54.9","-27.1","+198","+317"
="4967","十銓","140.5","-8.5","-5.7","31,295","11/11","-7.58","+10.8","+9.06","-3.52","+2.6","+16.8","+897","+897","-21","-8.44"
="2344","華邦電","64.5","+0.6","+0.94","43,521","11/11","-8.09","-14.1","-16.5","-26.1","-30.6","-39","+636","+382","+772","+2,059"
="3711","日月光投控","228","-0.5","-0.22","18,882","11/11","+0.25","+1.03","-2.48","-25.6","+8.54","+141","+213","+502","+228","+37.3"
="2408","南亞科","164.5","+3","+1.86","286,108","11/11","-9.45","+6.59","+4.6","+16","+16.4","+64.5","+185","+18.4","+2,982","+471"
="2882","國泰金","64.8","+1","+1.57","34,285","11/11","+13.7","+12.7","+6.18","+6.64","+0.81","-25.2","-59.7","-76.7","-61.2","-59.2"
="2891","中信金","43.35","+0.95","+2.24","42,816","11/11","+23","+31.7","+29.7","+26.7","+19.4","+20.3","-67.6","-85.1","-39","-53.5"
="2884","玉山金","30.15","+0.65","+2.2","61,889","11/11","-20.7","+11.7","-5.74","+35.3","+22.3","-46","-55.8","+17.3","-87.3","-32.4"
="2880","華南金","29.8","+0.15","+0.51","9,393","11/11","0","0","0","+2.17","0","-4.08","","-38.2","-16.1","-26.6"
="0050","元大台灣50","62.9","-0.45","-0.71","79,724","11/11","+0.59","+2.02","+3.12","-6.33","-0.52","+11.6","+182","+59.6","+637","+710"
="00878","國泰永續高股息","21.38","+0.04","+0.19","34,308","11/11","-42.9","-47.8","-60","-64.7","-60","-74.5","+500","","+200","-77.4"
="006208","富邦台50","147.1","-0.9","-0.61","5,845","11/11","0","-20","-20","-33.3","-66.7","-74.2","-65.2","-42.9","-66.7","-42.9"
