"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/11","","246.5","-3","-1.2","50,821","12,670","249.5","251","252","246.5","2.2","18.8","2.34","","","","",""
="2330","台積電","市","11/11","","1465","-10","-0.68","24,857","36,770","1475","1490","1495","1465","2.03","26","8.29","","","","",""
="2308","台達電","市","11/11","","972","-10","-1.02","11,381","11,238","982","993","998","972","2.65","50.5","10.49","","","","",""
="2454","聯發科","市","11/11","","1240","-10","-0.8","6,110","7,634","1250","1250","1270","1240","2.4","18.6","5.25","","","","",""
="3231","緯創","市","11/11","","144.5","+6","+4.33","84,454","12,247","138.5","141","148","140.5","5.42","19.7","3.04","","","","",""
="3491","昇達科","櫃","11/11","","421.5","-8","-1.86","1,681","727","429.5","435","446","421","5.82","54.6","11.26","","","","",""
="6669","緯穎","市","11/11","","4720","+425","+9.9","3,546","16,384","4295","4410","4720","4410","7.22","19.8","8.12","","","","",""
="3008","大立光","市","11/11","","2215","-30","-1.34","333","742","2245","2250","2255","2215","1.78","12.7","1.63","","","","",""
="3443","創意","市","11/11","","1910","+20","+1.06","8,543","16,716","1890","1910","2020","1885","7.14","74","21.86","","","","",""
="3661","世芯-KY","市","11/11","","3635","-80","-2.15","1,984","7,263","3715","3695","3725","3615","2.96","45.8","8.38","","","","",""
="2301","光寶科","市","11/11","","167.5","-1.5","-0.89","16,318","2,783","169","171","175","167.5","4.44","26.7","4.55","","","","",""
="4967","十銓","市","11/11","","140.5","-8.5","-5.7","31,295","4,468","149","143","148","138.5","6.38","58.8","3.12","","","","",""
="2344","華邦電","市","11/11","","64.5","+0.6","+0.94","43,521","2,839","63.9","64.9","66.1","64.5","2.5","","3.06","","","","",""
="3711","日月光投控","市","11/11","","228","-0.5","-0.22","18,882","4,309","228.5","230","232","226","2.63","28","3.14","","","","",""
="2408","南亞科","市","11/11","","164.5","+3","+1.86","286,108","48,050","161.5","167.5","172.5","164","5.26","","3.24","","","","",""
="2882","國泰金","市","11/11","","64.8","+1","+1.57","34,285","2,231","63.8","64.8","65.7","64.5","1.88","11.2","1.37","","","","",""
="2891","中信金","市","11/11","","43.35","+0.95","+2.24","42,816","1,847","42.4","42.45","43.45","42.45","2.36","12","1.97","","","","",""
="2884","玉山金","市","11/11","","30.15","+0.65","+2.2","61,889","1,862","29.5","29.8","30.2","29.75","1.53","16.1","1.94","","","","",""
="2880","華南金","市","11/11","","29.8","+0.15","+0.51","9,393","279","29.65","29.5","29.8","29.5","1.01","17.5","1.91","","","","",""
="0050","元大台灣50","市","11/11","","62.9","-0.45","-0.71","79,724","5,047","63.35","63.65","63.7","62.85","1.34","","1.0038","","","","",""
="00878","國泰永續高股息","市","11/11","","21.38","+0.04","+0.19","34,308","735","21.34","21.43","21.47","21.36","0.52","","1.0019","","","","",""
="006208","富邦台50","市","11/11","","147.1","-0.9","-0.61","5,845","867","148","149","149.05","147.1","1.32","","1.0007","","","","",""
