"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","247","+3","+1.23","114,664","11/04","+3.28","+1.33","-1.91","+5.8","+23.9","+48.4","+103","+51.7","-4.73","+107"
="2330","台積電","1460","-45","-2.99","63,423","11/04","+0.27","+3.89","+3.89","+1.63","-8.33","+16.9","-18","-68.6","-13","-14.4"
="2308","台達電","967","-8","-0.82","18,127","11/04","+0.45","-1.67","-3.28","-15.7","-17.1","-14.6","+24.8","+523","+310","+121"
="2454","聯發科","1330","+15","+1.14","7,083","11/04","-9.89","-8.89","-4.09","-10.4","-6.29","-8.38","+42.6","+37.8","-25.8",""
="3231","緯創","137.5","-1.5","-1.08","76,835","11/04","+0.95","-4.42","-11.2","-3.4","-10.2","-33.9","-3.94","-73","-28.4","-2.68"
="3491","昇達科","422","+1.5","+0.36","961","11/04","-6.53","-12.9","+18.7","-28.9","+41.4","+37.1","+59","-36.6","-14.2","-3.78"
="6669","緯穎","4165","-135","-3.14","2,071","11/04","-0.86","-4.96","-4.96","+0.88","+9.52","+38.6","+102","+15","+74.2","-22.8"
="3008","大立光","2200","-15","-0.68","508","11/04","0","0","0","+12.5","+12.5","+12.5","-60.9","+12.5","","-52.6"
="3443","創意","1605","-30","-1.83","4,903","11/04","+32.5","+39.5","+60.6","+35.9","+12","+69.1","+76.7","-18.9","+52.9","-22.4"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/04","-3.85","-9.64","+8.7","+56.2","+7.14","+63","-84.1","-36.4","-19.4","-81.1"
="2301","光寶科","169","-1","-0.59","20,471","11/04","0","-0.21","-6.22","-48.7","+15.9","-37","-70","-28.8","+241","+313"
="4967","十銓","134","+7.5","+5.93","15,598","11/04","+10","+18.4","+19.2","+6.34","-24.2","+1,498","+955","+681","-20.3","-5.1"
="2344","華邦電","56","+2.7","+5.07","47,931","11/04","-17.5","-1.77","-8.96","-6.08","-30.4","-7.71","+878","+1,265","+4,826","+2,820"
="3711","日月光投控","235","-4","-1.67","33,505","11/04","-10.1","-12.5","+25.2","+45.9","+44.7","+297","+516","+938","+388","+84.5"
="2408","南亞科","138","+6.5","+4.94","244,968","11/04","-1.92","-1.76","-5.2","+0.38","+7.95","+57.4","+149","+30","+2,461","+392"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/04","+0.86","+1.3","-3.11","-5.47","-28.3","-65.1","-62.7","-81.3","-65.9","-61.8"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/04","-6.43","-5.07","-4.38","-5.76","+21.3","-24.3","-74.4","-87.7","-48.4","-63.3"
="2884","玉山金","30.3","0","0","0","11/04","+7.59","+16.4","+1.19","-9.57","-59.3","-60.6","-66.4","-25.4","-84.9","-50"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/04","0","0","-2.13","-2.13","-9.8","-6.12","-43.9","-49.5","-56.6","-28.1"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/04","+1.27","-0.05","+1.5","+6.2","+6.76","+26.5","+371","+163","+794","+765"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/04","+21.4","+17.2","+13.3","+13.3","-10.5","-80.3","-60","-75.9","0","-35.8"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/04","-14.3","-14.3","-7.69","-50","-64.7","-57.1","-25","-64.7","-83.6","-14.3"
