"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","247","+3","+1.23","11/05","-13,217","-8,556","-11,337","-24,770","+22,028","+79,204","+813,586","+947,402","+55,495","-476,162","-1,604,245","+385,539"
="2330","台積電","1460","-45","-2.99","11/05","-30,801","-27,895","-24,367","-34,006","-58,559","-116,359","-51,607","+254,623","-36,756","+759,445","-888,304","+5,689"
="2308","台達電","967","-8","-0.82","11/05","-711","-4,025","-7,420","-19,690","-19,477","-31,151","-57,703","+6,461","-10,769","-12,200","-126,528","-29,827"
="2454","聯發科","1330","+15","+1.14","11/05","+933","+3,799","+1,475","+1,373","-5,843","-10,586","-28,011","-12,750","-18,645","-42,075","-13,558","-26,878"
="3231","緯創","137.5","-1.5","-1.08","11/05","+718","+3,123","-6,287","-333","-10,882","-99,276","-2,721","+74,505","-15,799","-53,282","-37,537","+2,639"
="3491","昇達科","422","+1.5","+0.36","11/05","-64","-405","-389","+297","-691","+1,208","+4,173","-784","+1,219","+7,250","+8,280","+1,474"
="6669","緯穎","4165","-135","-3.14","11/05","-290","-260","-304","-242","-1,161","-435","-2,104","+5,324","-1,474","+537","","+358"
="3008","大立光","2200","-15","-0.68","11/05","-78","-92","-108","-174","-364","-891","-946","-3,128","-2,328","-5,399","-22,898","-1,152"
="3443","創意","1605","-30","-1.83","11/05","-625","-381","-130","+327","+572","+5,768","+7,050","+6,754","+7,536","-7,863","+28,815","+7,359"
="3661","世芯-KY","3340","-105","-3.05","11/05","-210","-184","-545","-611","-1,098","-1,409","-4,573","-1,777","+2,514","+679","+4,088","-5,910"
="2301","光寶科","169","-1","-0.59","11/05","+802","-2,819","-2,123","-27,804","-21,789","-40,527","-46,307","+17,668","+88,384","-369,433","-381,893","+63,862"
="4967","十銓","134","+7.5","+5.93","11/05","+528","-1,880","-1,981","-2,388","-2,560","+5,703","+5,930","+6,901","+5,346","+2,755","","+6,299"
="2344","華邦電","56","+2.7","+5.07","11/05","+7,353","+10,808","+21,924","+13,185","+69,197","+70,517","+471,614","+516,266","+399,431","-73,369","+320,868","+435,083"
="3711","日月光投控","235","-4","-1.67","11/05","+6,279","+12,393","+16,261","+34,982","+59,626","+109,587","+155,237","+129,885","+114,964","+201,343","","+85,114"
="2408","南亞科","138","+6.5","+4.94","11/05","-8,947","-17,812","-21,129","-24,726","-22,724","-15,351","+219,019","+258,794","+189,970","+3,679","-103,029","+184,187"
="2882","國泰金","64.1","-0.5","-0.77","11/05","-4,764","-2,173","-3,297","-7,333","-10,272","+18,694","+73,295","-1,006,360","-1,053,898","-301,930","-983,974","-1,104,660"
="2891","中信金","42.25","-0.15","-0.35","11/05","-1,667","+2,090","+6,336","+1,744","-14,533","-23,931","-72,417","-78,173","+259,775","-1,375,817","-1,546,608","+11,869"
="2884","玉山金","30.3","0","0","11/05","0","+11,527","+17,652","-26,229","-197,397","-197,155","-156,263","+238,185","+540,861","+241,192","-2,508,293","+422,623"
="2880","華南金","29.7","+0.1","+0.34","11/05","+175","+2,624","+3,557","+6,544","+21,117","+37,940","+62,997","+132,164","+9,001","-360","+52,134","+146,434"
="0050","元大台灣50","63.15","-0.8","-1.25","11/05","-101,789","-126,348","-183,102","-215,009","-438,838","-947,172","-1,301,155","-1,849,817","-2,430,309","-2,257,745","-2,682,888","-2,346,728"
="00878","國泰永續高股息","21.46","-0.11","-0.51","11/05","-44,206","-72,574","-83,087","-85,008","-62,276","-5,344","+160,201","+171,465","-554,947","-1,624,547","","-230,884"
="006208","富邦台50","147.55","-2.2","-1.47","11/05","-5,264","-6,043","-10,047","-10,186","-13,471","-23,848","+2,468","+115,942","+13,507","-127,920","-195,143","+60,490"
