"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","247","+3","+1.23","11/05","+589","+821","-2,495","-3,387","-2,465","-16,353","+16,946","+90,063","-6,316","+92,452","+210,571","+93,660"
="2330","台積電","1460","-45","-2.99","11/05","+540","+1,479","+1,976","+2,097","+3,061","+8,678","+2,177","-2,273","+28,251","+64,277","+135,764","+19,284"
="2308","台達電","967","-8","-0.82","11/05","+168","+242","-584","-3,345","-2,880","-4,583","-2,681","+12,033","+7,052","+1,850","+38,777","+7,995"
="2454","聯發科","1330","+15","+1.14","11/05","+68","+53","-170","-372","-661","-3,067","-7,477","-60,091","-60,336","+9,449","+41,408","-56,412"
="3231","緯創","137.5","-1.5","-1.08","11/05","-6,805","-12,609","-22,384","-26,545","-19,927","-9,111","-30,667","+2,859","+33,320","+110,842","+81,950","+59,020"
="3491","昇達科","422","+1.5","+0.36","11/05","0","0","-34","-497","-1,043","-1,463","-1,033","-3,353","-1,332","+2,890","-378","-1,826"
="6669","緯穎","4165","-135","-3.14","11/05","+68","+172","+196","+361","+584","+647","-328","+229","+3,593","+1,507","","-1,552"
="3008","大立光","2200","-15","-0.68","11/05","+21","+22","+21","+22","+50","-9","-513","-556","-1,081","-226","-1,410","-2,371"
="3443","創意","1605","-30","-1.83","11/05","+20","+437","+826","+813","-272","+324","+256","-1,084","+231","-9,475","+5,407","-1,961"
="3661","世芯-KY","3340","-105","-3.05","11/05","-86","+30","+128","+716","+461","-296","-2,185","+289","+2,447","-4,922","+5,556","+1,138"
="2301","光寶科","169","-1","-0.59","11/05","-1,074","-1,974","-2,709","-5,647","-5,816","-15,600","+12","-5,831","-23,859","+43,001","+190,465","-3,238"
="4967","十銓","134","+7.5","+5.93","11/05","0","-1","-2","-2","+167","+420","+420","+420","+420","+338","","+420"
="2344","華邦電","56","+2.7","+5.07","11/05","+39","-2,255","-4,950","-8,138","-10,091","-758","+164,741","+175,411","+168,740","+174,354","+175,672","+174,907"
="3711","日月光投控","235","-4","-1.67","11/05","+1,080","+2,304","+2,728","+1,816","+1,926","+559","-4,251","-98,945","-152,503","+163,673","","-110,209"
="2408","南亞科","138","+6.5","+4.94","11/05","+741","+816","+1,041","-4,958","+1,188","+40,222","+61,386","+53,213","+72,587","-18,070","+57,980","+74,924"
="2882","國泰金","64.1","-0.5","-0.77","11/05","+283","+732","+823","-2,916","-4,053","-20,061","+13,874","+1,460,856","+1,467,520","+1,664,048","+1,741,331","+1,461,594"
="2891","中信金","42.25","-0.15","-0.35","11/05","+700","-772","-2,168","-4,341","-22,186","-60,582","+6,029","+827,061","+1,040,996","+2,731,004","+2,913,548","+993,530"
="2884","玉山金","30.3","0","0","11/05","0","-418","-1,265","-2,765","-17,124","-25,170","-45,929","-22,613","-133,106","+280,926","+323,787","+59,487"
="2880","華南金","29.7","+0.1","+0.34","11/05","+1,227","+1,424","+1,410","+1,302","-1,700","-1,264","+32,500","-111,964","+194,450","+482,367","+520,016","-14,341"
="0050","元大台灣50","63.15","-0.8","-1.25","11/05","+1,164","+874","-726","-878","+10,722","+27,477","-20,097","-452","+36,907","+97,856","+138,708","+24,626"
="00878","國泰永續高股息","21.46","-0.11","-0.51","11/05","0","0","0","0","+560","+560","+7,170","+7,217","+15,060","+25,048","","+11,030"
="006208","富邦台50","147.55","-2.2","-1.47","11/05","+202","+202","+202","-63","-243","-54","-527","+4,450","+9,047","+9,958","+9,958","+8,648"
