"代號","名稱","成交","漲跌價","漲跌幅","更新日期","RSI6(日)","RSI12(日)","RSI6(週)","RSI12(週)","RSI6(月)","RSI12(月)","RSI6(季)","RSI12(季)","RSI6(年)","RSI12(年)"
="2317","鴻海","247","+3","+1.23","11/05","51.3↗","58.3↗","72.6↘","73.6↘","75.9↘","70.8↘","76.6↗","71.9↗","86.4↗","70.7↗"
="2330","台積電","1460","-45","-2.99","11/05","38.9↘","54.2↘","76.6↘","77.6↘","81.1↘","77.5↘","84.3↗","80.8↗","91.4↗","88.7↗"
="2308","台達電","967","-8","-0.82","11/05","30.4↘","47.2↘","71.7↘","78.8↘","87.7↘","83.4↘","91.1↗","86.4↗","97.1↗","91.7↗"
="2454","聯發科","1330","+15","+1.14","11/05","59↗","50.3↗","46.2↗","47.1↗","52↗","55.9↗","62↗","62.4↗","68↘","65.3↘"
="3231","緯創","137.5","-1.5","-1.08","11/05","30.9↘","44↘","51.9↘","56.4↘","61.5↘","61.8↘","75.6↘","74.7↘","91.2↗","80.2↗"
="3491","昇達科","422","+1.5","+0.36","11/05","36.7↗","42.6↗","46.2↘","54↘","60.6↘","62.5↘","75.9↘","75.4↘","84.8↗","81.2↗"
="6669","緯穎","4165","-135","-3.14","11/05","53.9↘","65.2↘","73↘","72.4↘","79.8↘","74.1↘","75.5↗","72.7↗","94.7↗",""
="3008","大立光","2200","-15","-0.68","11/05","35.4↘","39.1↘","36↘","41.1↘","33.7↘","43.5↘","39.2↘","44↘","44.5↘","51.1↘"
="3443","創意","1605","-30","-1.83","11/05","60.7↘","60.2↘","70.6↗","67.2↗","73.3↗","62.4↗","63↗","62.2↗","78.5↗","78.7↗"
="3661","世芯-KY","3340","-105","-3.05","11/05","51.5↘","49.6↘","45.9↘","49↘","52.3↘","55.1↘","63.8↘","65.4↘","93.6↗","92.8"
="2301","光寶科","169","-1","-0.59","11/05","36.9↘","47.1↘","60.3↘","66.4↘","76.6↘","71.8↘","81.5↘","77.5↘","84.8↗","76.6↗"
="4967","十銓","134","+7.5","+5.93","11/05","56.8↗","62↗","90.9↘","84.2↘","82.8↘","70↘","69.9↗","65.8↗","84.5↗",""
="2344","華邦電","56","+2.7","+5.07","11/05","68.9↗","71.9↗","95.4↗","91↗","90.4↗","80.9↗","82.8↗","72.9↗","70↗","61.7↗"
="3711","日月光投控","235","-4","-1.67","11/05","69↘","73.1↘","80.8↘","78.1↘","78.4↘","72.8↘","84↗","77.6↗","89.7↗",""
="2408","南亞科","138","+6.5","+4.94","11/05","75.7↗","77.2↗","93.2↗","87↗","91.4↗","81.5↗","80.6↗","69.9↗","67.5↗","63.3↗"
="2882","國泰金","64.1","-0.5","-0.77","11/05","35.1↘","40.5↘","44.7↗","49.5↗","56.2↗","57.9↗","63.4↘","60.8↘","59↘","47.8↘"
="2891","中信金","42.25","-0.15","-0.35","11/05","52.7↘","49↘","48.4↗","51.3↗","62.5↗","65.8↗","73.8↘","70.6↘","79.3↗","61.8↗"
="2884","玉山金","30.3","0","0","11/05","35.7→","32.6→","27.9↗","39↗","48.6↗","54.3↗","55.8↘","57.2↘","70.2↗","62.9↗"
="2880","華南金","29.7","+0.1","+0.34","11/05","61.3↗","57.4↗","61.1↗","60↗","69.6↗","67.2↗","80.1↗","72.5↗","71.7↗","42.5↗"
="0050","元大台灣50","63.15","-0.8","-1.25","11/05","44.6↘","57.9↘","53↘","32.8↘","24.5↘","29↘","29.2↗","37.1↗","39.9↘","46↘"
="00878","國泰永續高股息","21.46","-0.11","-0.51","11/05","34↘","49.1↘","57.2↘","55.1↘","52.5↘","52.1↘","57.2↗","62.3↗","71.6",""
="006208","富邦台50","147.55","-2.2","-1.47","11/05","43.3↘","57↘","75.3↘","77.4↘","79.3↘","76↘","84↗","79.2↗","87.7↗","85.7↗"
