"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","247","3","+1.23","114,664","11/05","35.7↗","51.6↘","67.6↘","19.6↘","87.2↘","2日前",""
="2330","台積電","市","1460","-45","-2.99","63,423","11/05","27.8↘","61.4↘","71.8↘","40.5↘","76.5↘","今日",""
="2308","台達電","市","967","-8","-0.82","18,127","11/05","23.9↗","20.7↗","33.1↘","-4.05↗","23.2↗","即將交叉",""
="2454","聯發科","市","1330","15","+1.14","7,083","11/05","83.3↗","52.9↗","40.8↗","77.2↗","34.1↗","1日前",""
="3231","緯創","市","137.5","-1.5","-1.08","76,835","11/05","22.4↗","32.9↘","48.5↘","1.56↗","67.8↘","2日前",""
="3491","昇達科","櫃","422","1.5","+0.36","961","11/05","26.7↗","22.6↗","26.1↘","15.5↗","24.5↗","即將交叉",""
="6669","緯穎","市","4165","-135","-3.14","2,071","11/05","46.2↘","72.2↘","81↘","54.7↘","85.4↘","1日前",""
="3008","大立光","市","2200","-15","-0.68","508","11/05","31.2↗","26.8↗","25.8↗","28.8↗","25.5↗","今日","是"
="3443","創意","市","1605","-30","-1.83","4,903","11/05","64.4↘","55.8↗","48.5↗","70.2↗","42.4↗","1日前",""
="3661","世芯-KY","市","3340","-105","-3.05","2,399","11/05","61.5↘","72↘","68.3↗","79.4↘","69.2↘","即將交叉",""
="2301","光寶科","市","169","-1","-0.59","20,471","11/05","15.2↘","35.5↘","50.4↘","5.63↘","","",""
="4967","十銓","市","134","7.5","+5.93","15,598","11/05","61.5↗","53.8↗","58↘","45.3↗","56.5↗","即將交叉","是"
="2344","華邦電","市","56","2.7","+5.07","47,931","11/05","88.3↗","84.2↗","84.9↘","82.8↗","84.8↗","即將交叉","是"
="3711","日月光投控","市","235","-4","-1.67","33,505","11/05","73.2↘","83.8↘","88.5↘","74.3↘","91.3↘","1日前",""
="2408","南亞科","市","138","6.5","+4.94","244,968","11/05","81↗","80.3↗","84.1↘","72.8↗","80.9↗","即將交叉",""
="2882","國泰金","市","64.1","-0.5","-0.77","16,392","11/05","20↘","20.3↘","19.1↗","22.9↘","20.1↘","即將交叉","是"
="2891","中信金","市","42.25","-0.15","-0.35","19,673","11/05","34.5↘","28.6↗","23.8↗","38.3↗","20.1↗","1日前",""
="2884","玉山金","市","30.3","0","0","0","11/05","25.4→","20.1↗","17.6↗","25↗","16.3↗","1日前",""
="2880","華南金","市","29.7","0.1","+0.34","11,108","11/05","66.7↗","47.4↗","42.1↗","58.1↗","40↗","今日",""
="0050","元大台灣50","市","63.15","-0.8","-1.25","229,414","11/05","45.2↘","69.6↘","80.6↘","47.8↘","88.1↘","2日前",""
="00878","國泰永續高股息","市","21.46","-0.11","-0.51","100,706","11/05","39.1↗","52.5↘","63.7↘","29.9↘","75.2↘","2日前",""
="006208","富邦台50","市","147.55","-2.2","-1.47","13,118","11/05","40.7↘","67.7↘","79.6↘","43.9↘","87.8↘","2日前",""
