"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","247","+3","+1.23","11/05","9.67↘","9.35↗","0.63↘","19.7↗","14.9↗","9.68↘","23.4↗","17.7↗","11.4↗"
="2330","台積電","1460","-45","-2.99","11/05","46↘","52.8↘","-13.6↘","116↗","89.9↗","51.9↘","173↗","136↗","74↗"
="2308","台達電","967","-8","-0.82","11/05","31.4↘","47.8↘","-32.6↘","151↘","129↗","45↘","135↗","71.6↗","126↗"
="2454","聯發科","1330","+15","+1.14","11/05","-15.7↗","-17.7↗","3.96↗","-8.56↘","0.49↘","-18.1↗","98.8↘","119↘","-41.1↘"
="3231","緯創","137.5","-1.5","-1.08","11/05","3.16↘","4.77↘","-3.21↘","8.63↘","6.55↗","4.16↘","13.9↗","12.4↗","2.99↗"
="3491","昇達科","422","+1.5","+0.36","11/05","-2.3↘","2.51↘","-9.61↘","22.4↘","18.5↗","7.8↘","56.8↘","54.6↗","4.42↘"
="6669","緯穎","4165","-135","-3.14","11/05","256↘","247↗","17.8↘","437↗","327↗","222↗","518↗","338↗","358↗"
="3008","大立光","2200","-15","-0.68","11/05","-35.2↘","-31.5↘","-7.37↘","-35.1↘","-23.4↘","-23.5↘","-38.3↘","-4.29↘","-67.9↘"
="3443","創意","1605","-30","-1.83","11/05","53.9↗","54.4↘","-1.07↗","95.9↗","60.9↗","69.9↗","75.5↗","55.6↗","39.8↗"
="3661","世芯-KY","3340","-105","-3.05","11/05","-40.5↗","-87.9↗","94.8↘","79.5↘","163↘","-167↗","359↘","341↗","35.2↘"
="2301","光寶科","169","-1","-0.59","11/05","4.22↘","5.4↘","-2.36↘","17.7↘","15↗","5.4↘","16.6↗","9.45↗","14.3↗"
="4967","十銓","134","+7.5","+5.93","11/05","10.2↘","11.2↘","-2.06↘","12.6↗","5.69↗","13.8↘","7.44↗","5.05↗","4.78↗"
="2344","華邦電","56","+2.7","+5.07","11/05","5.8↘","5.62↗","0.36↘","8.4↗","5.08↗","6.63↗","3.72↗","-0.12↗","7.67↗"
="3711","日月光投控","235","-4","-1.67","11/05","18.2↗","13.9↗","8.59↘","17.1↗","8.26↗","17.6↗","18.3↗","12.2↗","12.2↗"
="2408","南亞科","138","+6.5","+4.94","11/05","16.1↘","14.7↗","2.86↘","20↗","11.8↗","16.5↗","8.41↗","-1.57↗","20↗"
="2882","國泰金","64.1","-0.5","-0.77","11/05","-0.23↘","0↘","-0.45↘","0.52↘","0.47↗","0.11↘","3.28↘","3.67↘","-0.77↘"
="2891","中信金","42.25","-0.15","-0.35","11/05","-0.13↗","-0.12↘","-0.03↗","0.44↘","0.65↘","-0.42↗","3.68↘","3.73↘","-0.11↘"
="2884","玉山金","30.3","0","0","11/05","-0.84↗","-0.69↘","-0.3↗","0.22↘","0.76↘","-1.08↘","1.38↘","1.16↗","0.45↘"
="2880","華南金","29.7","+0.1","+0.34","11/05","0.07↘","0.11↘","-0.08↗","0.57↘","0.54↗","0.06↘","1.59↗","1.45↗","0.29↗"
="0050","元大台灣50","63.15","-0.8","-1.25","11/05","1.56↘","1.72↘","-0.33↘","-18.8↗","-24.4↗","11.2↗","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.46","-0.11","-0.51","11/05","0.12↘","0.14↘","-0.04↘","0.08↗","-0.03↗","0.22↘","0.23↘","0.43↘","-0.4↗"
="006208","富邦台50","147.55","-2.2","-1.47","11/05","3.94↘","4.4↘","-0.92↘","9.81↗","7.62↗","4.39↘","14↗","10.8↗","6.32↗"
