"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/05","","247","+3","+1.23","114,664","27,783","244","239","248.5","237","4.71","18.8","2.35","","","","",""
="2330","台積電","市","11/05","","1460","-45","-2.99","63,423","93,109","1505","1480","1485","1455","1.99","25.9","8.26","","","","",""
="2308","台達電","市","11/05","","967","-8","-0.82","18,127","17,183","975","930","972","930","4.31","50.3","10.43","","","","",""
="2454","聯發科","市","11/05","","1330","+15","+1.14","7,083","9,271","1315","1295","1330","1285","3.42","19.9","5.63","","","","",""
="3231","緯創","市","11/05","","137.5","-1.5","-1.08","76,835","10,425","139","136","138.5","132","4.68","18.8","2.89","","","","",""
="3491","昇達科","櫃","11/05","","422","+1.5","+0.36","961","400","420.5","415","422","408.5","3.21","54.7","11.27","","","","",""
="6669","緯穎","市","11/05","","4165","-135","-3.14","2,071","8,573","4300","4145","4220","4050","3.95","21.9","8.51","","","","",""
="3008","大立光","市","11/05","","2200","-15","-0.68","508","1,109","2215","2205","2215","2150","2.93","12.9","1.65","","","","",""
="3443","創意","市","11/05","","1605","-30","-1.83","4,903","7,801","1635","1570","1620","1555","3.98","62.2","18.37","","","","",""
="3661","世芯-KY","市","11/05","","3340","-105","-3.05","2,399","7,983","3445","3365","3430","3255","5.08","42.1","7.7","","","","",""
="2301","光寶科","市","11/05","","169","-1","-0.59","20,471","3,416","170","165","169.5","164","3.24","26.9","4.59","","","","",""
="4967","十銓","市","11/05","","134","+7.5","+5.93","15,598","2,004","126.5","118","135","118","13.4","56.1","2.97","","","","",""
="2344","華邦電","市","11/05","","56","+2.7","+5.07","47,931","2,477","53.3","48.6","56","48.6","13.9","","2.66","","","","",""
="3711","日月光投控","市","11/05","","235","-4","-1.67","33,505","7,828","239","230","238.5","230","3.56","29.8","3.48","","","","",""
="2408","南亞科","市","11/05","","138","+6.5","+4.94","244,968","32,341","131.5","122","140.5","122","14.1","","2.72","","","","",""
="2882","國泰金","市","11/05","","64.1","-0.5","-0.77","16,392","1,048","64.6","64.1","64.4","63.6","1.24","11.1","1.36","","","","",""
="2891","中信金","市","11/05","","42.25","-0.15","-0.35","19,673","830","42.4","42.4","42.4","41.85","1.3","11.7","1.92","","","","",""
="2884","玉山金","市","11/05","","30.3","0","0","0","0","30.3","30.3","30.3","30.3","0","16.2","1.95","","","","",""
="2880","華南金","市","11/05","","29.7","+0.1","+0.34","11,108","327","29.6","29.4","29.7","29.1","2.03","17.5","1.9","","","","",""
="0050","元大台灣50","市","11/05","","63.15","-0.8","-1.25","229,414","14,391","63.95","62.95","63.15","62.3","1.33","","1.0078","","","","",""
="00878","國泰永續高股息","市","11/05","","21.46","-0.11","-0.51","100,706","2,148","21.57","21.46","21.46","21.21","1.16","","0.9981","","","","",""
="006208","富邦台50","市","11/05","","147.55","-2.2","-1.47","13,118","1,928","149.75","147","147.9","146","1.27","","1.0039","","","","",""
