"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","247","+3","+1.23","11/05","33.8↘","25.3↗","33.7↘","28.8↘","37.6↘","16.6↗","35.5↗","29.4↘","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1460","-45","-2.99","11/05","35.3↘","24.3↗","42.4↘","45.2↘","36.9↘","9.11↗","38.7↗","29.5↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","967","-8","-0.82","11/05","25.5↘","24.3↗","49.6↘","52.7↘","45.6↘","9.39↗","60.8↗","43.7↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1330","+15","+1.14","11/05","16.1↗","20.3↘","15.1↘","17.9↘","22.3↘","23.3↘","9.92↘","14.1↘","23.7↘","15.3↘","21.5↘","23.6↘"
="3231","緯創","137.5","-1.5","-1.08","11/05","26.5↘","30.1↗","33.1↘","37.4↘","30.8↘","22.6↗","17.8↘","13.4↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","422","+1.5","+0.36","11/05","17.5↘","24.5↗","21.2↘","30.5↘","24.4↘","18.1↗","24.5↘","22.1↘","27.9↘","11.6↗","38.1↗","38↗"
="6669","緯穎","4165","-135","-3.14","11/05","36.8↘","19.9↗","39.3↘","28.5↗","38.1↘","8.58↘","40↗","30.9↗","39.9↘","10.3↘","39.4↗","41↘"
="3008","大立光","2200","-15","-0.68","11/05","17.5↘","30↗","14.6↗","15.6↗","17.2↘","24.4↗","15.6↗","20↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1605","-30","-1.83","11/05","37.2↘","19.2↗","30.7↗","28.1↗","30.1↘","15.8↘","20.2↗","16.2↗","26.4↘","16.3↘","17.4↗","23.9↘"
="3661","世芯-KY","3340","-105","-3.05","11/05","26.7↘","28.1↗","18.2↘","20.3↗","18.9↘","21↘","18.6↘","18.8↗","28.9↘","18.7↘","29.6↘","34.1↘"
="2301","光寶科","169","-1","-0.59","11/05","25.3↘","26.8↗","26.3↘","29.3↘","39.3↘","13.5↗","42.2↗","29.9↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","134","+7.5","+5.93","11/05","30↘","22.6↗","54.2↘","50.6↘","37.3↘","10.5↗","34.5↗","26.8↗","39.9↘","11.7↘","36.3↗","40.3↗"
="2344","華邦電","56","+2.7","+5.07","11/05","38.5↘","19.4↗","61.8↘","60.9↘","48.3↘","5.82↗","46.7↗","32.5↗","46.1↘","10.2↘","24.1↗","19.7↗"
="3711","日月光投控","235","-4","-1.67","11/05","47.3↘","15↗","49.5↗","39.2↘","45.8↘","8.08↘","27.8↗","21.5↗","38.5↘","10.5↘","34.7↗","35.6↗"
="2408","南亞科","138","+6.5","+4.94","11/05","37.5↘","17.2↗","56.4↘","54.5↘","52.1↘","4.03↘","45.5↗","33.2↗","48.2↘","11.1↘","22.9↗","16.7↗"
="2882","國泰金","64.1","-0.5","-0.77","11/05","18.1↘","22.5↗","17↘","20↘","16.8↘","18.4↗","9.16↘","12.9↘","20.1↘","18.5↗","18.9↘","23↗"
="2891","中信金","42.25","-0.15","-0.35","11/05","23.2↘","22↗","8.13↘","11.1↘","18↘","20.3↘","12.2↘","15↘","26.6↘","13↘","36.4↘","34.1↗"
="2884","玉山金","30.3","0","0","11/05","12.6→","37.8→","43.9↗","32.3↗","16.9↘","33↘","16↗","18.2↗","23.9↘","23.4↘","12.5↘","12.6↘"
="2880","華南金","29.7","+0.1","+0.34","11/05","13.8↘","20.9↗","14↗","16.4↘","24.8↘","18.8↘","16.1↘","15.6↘","22.8↘","11.6↘","24.6↗","22.2↗"
="0050","元大台灣50","63.15","-0.8","-1.25","11/05","35.1↘","28.5↗","35.2↘","35.9↘","20.2↘","51.2↘","50.6↘","47.7↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.46","-0.11","-0.51","11/05","28.8↘","35.1↗","23.5↘","22.8↘","24.9↘","31.6↗","21.4↘","26.3↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","147.55","-2.2","-1.47","11/05","37↘","27.9↗","42.1↘","44.1↘","40.8↘","11.9↗","36.1↗","27.6↗","43.1↘","15.9↘","31.7↗","31.4↗"
