"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","247","+3","+1.23","114,664","11/05","269.4↗","-8.32","236.4↗","+4.49","203.3↗","+21.5","66.1↗","0.66↗","0.28↘"
="2330","台積電","1460","-45","-2.99","63,423","11/05","1527↘","-4.36","1467↗","-0.48","1407↗","+3.74","119↘","0.44↘","0.08↘"
="2308","台達電","967","-8","-0.82","18,127","11/05","1070↘","-9.62","1011↗","-4.39","952.9↗","+1.48","117↘","0.12↘","0.12↘"
="2454","聯發科","1330","+15","+1.14","7,083","11/05","1350↗","-1.49","1321↗","+0.68","1292↗","+2.95","58.2↗","0.65↗","0.04↗"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/05","156.8↘","-12.3","144.9↘","-5.12","133.1↘","+3.32","23.7↘","0.19↘","0.16↗"
="3491","昇達科","422","+1.5","+0.36","961","11/05","474.1↘","-11","443.3↘","-4.8","412.5↘","+2.31","61.7↗","0.15↗","0.14↗"
="6669","緯穎","4165","-135","-3.14","2,071","11/05","4560↗","-8.66","3925↗","+6.11","3291↗","+26.6","1269↘","0.69↘","0.32↘"
="3008","大立光","2200","-15","-0.68","508","11/05","2467↘","-10.8","2276↘","-3.35","2086↘","+5.48","381↘","0.3↘","0.17↘"
="3443","創意","1605","-30","-1.83","4,903","11/05","1687↗","-4.86","1530↗","+4.94","1372↗","+17","315↘","0.74↘","0.21↘"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/05","3597↗","-7.14","3278↗","+1.91","2958↗","+12.9","639↗","0.6↘","0.19↗"
="2301","光寶科","169","-1","-0.59","20,471","11/05","190.3↘","-11.2","172.6↘","-2.11","155↘","+9.01","35.2↗","0.4↘","0.2↗"
="4967","十銓","134","+7.5","+5.93","15,598","11/05","144.8↘","-7.45","126↗","+6.32","107.3↗","+24.9","37.5↘","0.71↗","0.3↘"
="2344","華邦電","56","+2.7","+5.07","47,931","11/05","59.01↗","-5.1","47.8↗","+17.2","36.58↗","+53.1","22.4↗","0.87↗","0.47↘"
="3711","日月光投控","235","-4","-1.67","33,505","11/05","251.4↗","-6.52","201.9↗","+16.4","152.4↗","+54.2","99↗","0.83↘","0.49↘"
="2408","南亞科","138","+6.5","+4.94","244,968","11/05","147.7↗","-6.56","111.9↗","+23.3","76.2↗","+81.1","71.5↘","0.86↗","0.64↘"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/05","66.6↗","-3.75","65.2↘","-1.69","63.8↘","+0.46","2.79↗","0.11↘","0.04↗"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/05","42.78↘","-1.23","42.27↘","-0.04","41.76↘","+1.18","1.02↘","0.48↘","0.02↘"
="2884","玉山金","30.3","0","0","0","11/05","34.16↘","-11.3","31.63↘","-4.2","29.1↘","+4.13","5.06↗","0.24↗","0.16↗"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/05","30↗","-1","29.52↗","+0.62","29.03↗","+2.29","0.97↘","0.69↗","0.03↘"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/05","65.21↘","-3.15","62.82↗","+0.53","60.42↗","+4.51","4.78↘","0.57↘","0.08↘"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/05","21.85↘","-1.77","21.51↗","-0.24","21.17↗","+1.35","0.67↘","0.42↘","0.03↘"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/05","152.9↘","-3.52","146.9↗","+0.45","140.9↗","+4.75","12.1↘","0.55↘","0.08↘"
