"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","247","+3","+1.23","114,664","11/05","34,357","47,574","-13,217","1,149","560","+589","5,023","1,617","+3,406","40,529","49,751","-9,222","－＋＋"
="2330","台積電","1460","-45","-2.99","63,423","11/05","11,682","42,484","-30,801","693","153","+540","3,726","1,695","+2,031","16,101","44,332","-28,230","－＋＋"
="2308","台達電","967","-8","-0.82","18,127","11/05","7,432","8,142","-711","327","159","+168","1,197","1,066","+131","8,956","9,367","-411","－＋＋"
="2454","聯發科","1330","+15","+1.14","7,083","11/05","4,786","3,853","+933","137","68","+68","180","84","+97","5,103","4,004","+1,098","＋＋＋"
="3231","緯創","137.5","-1.5","-1.08","76,835","11/05","32,844","32,125","+718","80","6,884","-6,805","1,355","1,793","-438","34,278","40,803","-6,525","＋－－"
="3491","昇達科","422","+1.5","+0.36","961","11/05","346","410","-64","0","0","0","41","79","-39","387","489","-102","－＋－"
="6669","緯穎","4165","-135","-3.14","2,071","11/05","775","1,065","-290","79","11","+68","101","138","-37","956","1,214","-258","－＋－"
="3008","大立光","2200","-15","-0.68","508","11/05","223","301","-78","21","0","+21","19","31","-12","263","332","-69","－＋－"
="3443","創意","1605","-30","-1.83","4,903","11/05","1,316","1,941","-625","20","0","+20","184","248","-64","1,520","2,189","-669","－＋－"
="3661","世芯-KY","3340","-105","-3.05","2,399","11/05","879","1,088","-210","11","97","-86","91","117","-26","981","1,302","-322","－－－"
="2301","光寶科","169","-1","-0.59","20,471","11/05","9,576","8,773","+802","84","1,159","-1,074","590","1,247","-657","10,250","11,179","-929","＋－－"
="4967","十銓","134","+7.5","+5.93","15,598","11/05","4,235","3,707","+528","0","0","0","251","66","+184","4,486","3,773","+712","＋・＋"
="2344","華邦電","56","+2.7","+5.07","47,931","11/05","15,346","7,993","+7,353","39","0","+39","9,896","2,782","+7,114","25,281","10,775","+14,506","＋＋＋"
="3711","日月光投控","235","-4","-1.67","33,505","11/05","20,997","14,718","+6,279","1,133","53","+1,080","926","687","+240","23,056","15,458","+7,599","＋＋＋"
="2408","南亞科","138","+6.5","+4.94","244,968","11/05","60,677","69,625","-8,947","767","26","+741","6,292","4,779","+1,513","67,736","74,430","-6,694","－＋＋"
="2882","國泰金","64.1","-0.5","-0.77","16,392","11/05","8,374","13,138","-4,764","422","139","+283","414","249","+165","9,210","13,525","-4,316","－＋＋"
="2891","中信金","42.25","-0.15","-0.35","19,673","11/05","11,122","12,790","-1,667","1,287","587","+700","877","453","+424","13,286","13,830","-544","－＋＋"
="2884","玉山金","30.3","0","0","0","11/05","0","0","0","0","0","0","0","0","0","0","0","0","・・・"
="2880","華南金","29.7","+0.1","+0.34","11,108","11/05","8,397","8,222","+175","1,233","6","+1,227","748","671","+77","10,378","8,899","+1,479","＋＋＋"
="0050","元大台灣50","63.15","-0.8","-1.25","229,414","11/05","9,003","110,792","-101,789","1,500","336","+1,164","17,664","66,656","-48,992","28,167","177,784","-149,617","－＋－"
="00878","國泰永續高股息","21.46","-0.11","-0.51","100,706","11/05","811","45,017","-44,206","0","0","0","17,218","25,017","-7,799","18,029","70,034","-52,005","－・－"
="006208","富邦台50","147.55","-2.2","-1.47","13,118","11/05","279","5,543","-5,264","202","0","+202","2,735","4,297","-1,563","3,215","9,840","-6,625","－＋－"
