"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","布林上軌","布林上軌乖離率","布林中軌","布林中軌乖離率","布林下軌","布林下軌乖離率","布林通道開口","布林%b","布林帶寬"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","268.9↘","-6.67","243.6↗","+3.03","218.3↗","+15","50.6↘","0.65↗","0.21↘"
="2330","台積電","1475","+10","+0.68","25,998","11/12","1514↘","-2.6","1478↗","-0.17","1441↗","+2.39","73.9↘","0.47↗","0.05↘"
="2308","台達電","967","-5","-0.51","14,451","11/12","1071↗","-9.7","1005↘","-3.8","939.4↘","+2.94","131↗","0.21↘","0.13↗"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","1366↗","-8.88","1304↘","-4.52","1242↘","+0.27","125↗","0.03↗","0.1↗"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","153.2↘","-9.27","143↗","-2.76","132.7↗","+4.74","20.5↘","0.31↘","0.14↘"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","467.8↗","-0.91","439.2↗","+5.53","410.7↗","+12.9","57.1↗","0.93↗","0.13↗"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","4633↗","-1.57","4161↗","+9.59","3689↗","+23.6","943↘","0.92↘","0.23↘"
="3008","大立光","2235","+20","+0.9","269","11/12","2283↘","-2.1","2230↘","+0.21","2178↘","+2.63","105↘","0.55↗","0.05↘"
="3443","創意","1885","-25","-1.31","4,497","11/12","1906↗","-1.1","1620↗","+16.4","1334↗","+41.3","572↗","0.96↘","0.35↗"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","3759↗","-6.36","3340↗","+5.41","2920↗","+20.6","839↘","0.72↘","0.25↘"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","189.7↘","-12.2","172.4↗","-3.41","155.1↗","+7.36","34.6↘","0.33↘","0.2↘"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","147.3↗","+0.82","133.3↗","+11.4","119.4↗","+24.4","27.9↗","1.04↗","0.21↗"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","67.14↗","-3.49","52.76↗","+22.8","38.37↗","+68.9","28.8↗","0.92↘","0.55↘"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","256.2↘","-11.4","215.7↗","+5.23","175.2↗","+29.6","81↘","0.64↘","0.38↘"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","172.2↗","-5.34","127.9↗","+27.5","83.58↗","+95","88.6↗","0.9↘","0.69↘"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","310.7↗","-1.19","277.2↗","+10.8","243.7↗","+26","67↗","0.94↘","0.24↗"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","66.43↘","-2.31","64.9↘","0","63.37↘","+2.42","3.06↘","0.5↗","0.05↘"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","43.12↗","-0.15","42.34↗","+1.68","41.56↘","+3.59","1.56↗","0.96↘","0.04↗"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","33.39↘","-9.54","30.91↘","-2.29","28.43↘","+6.23","4.96↘","0.36↗","0.16↘"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","29.99↗","-2.46","29.61↘","-1.22","29.23↘","+0.06","0.76↗","0.02↘","0.03↗"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","64.81↘","-2.49","63.27↗","-0.11","61.73↗","+2.38","3.08↘","0.48↗","0.05↘"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","21.83↘","-1.99","21.51↗","-0.52","21.19↗","+0.99","0.64↘","0.33↗","0.03↘"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","151.9↘","-2.53","148.1↗","-0.02","144.3↗","+2.63","7.63↘","0.5↗","0.05↘"
