"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","+10.8","+4.58","+10.1","+9.56","+3.17","+32.3","+23.8","+6.59","-20.2","-34.2"
="2330","台積電","1475","+10","+0.68","25,998","11/12","-2.25","-6.26","-5.71","-5.66","+5.56","+3.39","+20.7","-13.7","-45.6","-32.6"
="2308","台達電","967","-5","-0.51","14,451","11/12","-3.66","-4.26","-3.93","-1.97","+17.8","+18.8","+146","+240","+104","+268"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","+0.23","+0.11","+2.15","+9.29","+0.92","+4.84","+16","+21.6","+22.4","+50.7"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","-4.13","+8.05","+11.1","+10.2","-2.75","+23.3","+28.2","+43.2","-23.6","-28.5"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","-4.76","-2.83","-3.39","-5.67","-3.8","-3.39","-7.75","+3.1","-16.6","-4.49"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","0","+5.36","+10.4","+14.1","+5.43","+20.7","+1.02","-21.5","-23.2","-9.58"
="3008","大立光","2235","+20","+0.9","269","11/12","-0.94","-1.17","-3.64","+0.71","+8.59","+8.59","+11","+13.5","-37.1","-34.1"
="3443","創意","1885","-25","-1.31","4,497","11/12","-3.54","-13.2","-2.18","+11.5","+23.1","+37.6","+62.4","+171","+68.6","+44.6"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","-1.57","-1.09","-3.49","-2.36","-6.77","+2.89","+6.79","+15.6","+0.3","+26.3"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","-1.06","-1.41","-2.03","-2.52","-15.2","+21.1","+83.5","+195","+20.7","+25.1"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","+12.1","+0.61","+25","+43.3","+22.1","-0.38","+62.1","+75.8","+5.18","+25.1"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","-2.72","-6.22","-6.44","-14.4","-22.6","-31","+98.4","+75.2","+66.2","+65.2"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","+0.38","-0.44","-1.49","+2.23","-7.64","+3.21","+20.6","+53.3","-45.7","-9.11"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","+2.57","-2.14","+5.2","+14.3","+36.4","+40.4","+180","+253","+521","+379"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","+9.37","+22","+18.1","+16.4","+5.46","+33.2","+17.9","+49.8","-8.94","-16.7"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","-3.31","+8.67","+9","+12.5","+18.2","+17.3","+4.31","-31.8","-47.3","-38.5"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","-0.69","-9.6","-14.7","-14.4","-15.8","-20.9","-27.1","-61.8","-81.5","-77.6"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","-6.67","-8.2","-6.51","-5.19","-9.6","+841","+670","+323","+192","+209"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","+10.7","+11.6","+18.5","+19.9","+12.1","+3.87","-62.8","-40.6","-79.2","-78.5"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","+0.55","-2.82","-3.51","+1.76","+11","+9.23","+48.3","+223","+597","+830"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","+3.22","+4.83","+7.61","+7.18","+31.5","+24.1","-43.6","-48.4","-50.4","-35.9"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","-2.3","0","+0.89","-1.45","+2.41","-5.82","-9.09","-75.8","-70.7","-66"
