"代號","名稱","成交","漲跌價","漲跌幅","資券週別","更新日期","融資買進","融資賣出","融資現償","融資增減","融資餘額","融資使用(%)","融資餘額佔發行量","融券買進","融券賣出","融券現償","融券增減","融券餘額","融券使用(%)","融券餘額佔發行量","資券互抵","資券當沖(%)","券資比(%)"
="2317","鴻海","251","+7","+2.87","25W46","11/12","17,530","11,528","71","+5,931","64,512","1.85","0.46","161","285","3","+121","3,687","0.11","0.03","62","0.04","5.72"
="2330","台積電","1475","+15","+1.03","25W46","11/12","1,309","2,342","34","-1,067","17,633","0.27","0.07","30","24","0","-6","322","0","0","3","0","1.83"
="2308","台達電","967","+2","+0.21","25W46","11/12","995","1,261","9","-275","6,719","1.03","0.26","82","70","0","-12","846","0.13","0.03","5","0.01","12.6"
="2454","聯發科","1245","-15","-1.19","25W46","11/12","392","242","12","+138","6,565","1.64","0.41","12","7","0","-5","158","0.04","0.01","2","0.01","2.41"
="3231","緯創","139","+1.5","+1.09","25W46","11/12","21,211","15,122","35","+6,054","60,798","7.65","1.91","353","328","0","-25","1,806","0.23","0.06","105","0.05","2.97"
="3491","昇達科","463.5","+32.5","+7.54","25W46","11/12","597","737","1","-141","4,024","24","6.01","29","179","23","+127","284","1.69","0.42","7","0.08","7.06"
="6669","緯穎","4560","+485","+11.9","25W46","11/12","998","837","2","+159","1,689","3.64","0.91","42","32","1","-11","111","0.24","0.06","4","0.04","6.57"
="3008","大立光","2235","+30","+1.36","25W46","11/12","26","51","7","-32","847","2.54","0.63","1","1","0","0","8","0.02","0.01","0","0","0.94"
="3443","創意","1885","+165","+9.59","25W46","11/12","2,435","2,542","0","-107","4,794","14.3","3.58","39","99","3","+57","240","0.72","0.18","11","0.05","5.01"
="3661","世芯-KY","3520","-45","-1.26","25W46","11/12","471","648","7","-184","5,093","25.9","6.3","51","36","8","-23","74","0.38","0.09","0","0","1.45"
="2301","光寶科","166.5","0","0","25W46","11/12","1,450","1,923","30","-503","24,319","4.2","1.05","90","68","75","-97","377","0.07","0.02","12","0.03","1.55"
="4967","十銓","148.5","+11.5","+8.39","25W46","11/12","8,446","6,535","3","+1,908","9,545","44.9","11.2","422","608","0","+186","1,077","5.07","1.27","109","0.11","11.3"
="2344","華邦電","64.8","+6.7","+11.5","25W46","11/12","4,089","10,614","233","-6,758","98,258","8.73","2.18","3,993","376","46","-3,663","19,344","1.72","0.43","3,680","3.73","19.7"
="3711","日月光投控","227","-1.5","-0.66","25W46","11/12","837","922","4","-89","5,879","0.53","0.13","59","47","0","-12","768","0.07","0.02","7","0.01","13.1"
="2408","南亞科","163","+16","+10.9","25W46","11/12","50,592","43,615","15","+6,962","140,768","18.2","4.54","5,633","6,286","52","+601","21,246","2.74","0.69","797","0.12","15.1"
="6584","南俊國際","307","+19","+6.6","25W46","11/12","1,535","1,168","0","+367","2,394","14.3","3.59","66","210","77","+67","391","2.34","0.59","106","0.83","16.3"
="2882","國泰金","64.9","+1.4","+2.2","25W46","11/12","1,382","810","0","+572","6,928","0.19","0.05","7","67","0","+60","502","0.01","0","5","0.01","7.25"
="2891","中信金","43.05","+1.15","+2.74","25W46","11/12","125","896","2","-773","4,493","0.09","0.02","7","48","0","+41","167","0","0","0","0","3.72"
="2884","玉山金","30.2","+0.6","+2.03","25W46","11/12","1,087","2,165","1","-1,079","15,487","0.38","0.1","42","71","0","+29","132","0","0","3","0","0.85"
="2880","華南金","29.25","-0.5","-1.68","25W46","11/12","88","4","0","+84","537","0.02","0","0","0","0","0","47","0","0","0","0","8.75"
="0050","元大台灣50","63.2","+0.65","+1.04","25W46","11/12","799","1,081","42","-324","8,914","0.25","0.06","42","79","0","+37","1,720","0.05","0.01","50","0.02","19.3"
="00878","國泰永續高股息","21.4","+0.07","+0.33","25W46","11/12","555","117","25","+413","5,838","0.11","0.03","24","1","0","-23","0","0","0","0","0","0"
="006208","富邦台50","148.05","+1.8","+1.23","25W46","11/12","43","29","11","+3","340","0.07","0.02","10","0","0","-10","0","0","0","0","0","0"
