"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","+135","+116","+121","+242","-132","+1,585","+1,258","+1,320","-1,366","+1,847"
="2330","台積電","1475","+10","+0.68","25,998","11/12","+9","+2","-6","+6","-37","-43","-166","-1,696","-105","-115"
="2308","台達電","967","-5","-0.51","14,451","11/12","-6","+9","-12","+17","-221","-281","+90","+722","+577","+445"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","0","-4","-5","-5","-24","-14","+47","+67","-40","+158"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","-90","-40","-25","+26","-86","-254","+307","-3,246","-798","+52"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","+92","+117","+127","+75","+76","+143","+213","-13","+82","+46"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","-15","-11","-11","-1","-3","+32","-8","-2","+38","-38"
="3008","大立光","2235","+20","+0.9","269","11/12","-1","0","0","0","0","-2","+8","-3","+8","-11"
="3443","創意","1885","-25","-1.31","4,497","11/12","-20","-17","+57","+100","+125","+133","+152","+11","+114","+35"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","-29","-41","-23","+12","+22","+24","-431","-137","-107","-323"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","-94","-118","-97","-126","-400","-253","+376","-264","+231","+264"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","+90","+9","+186","+184","+190","-416","+979","+971","-160","-1"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","-430","-2,171","-3,663","-5,706","-8,763","-13,608","+16,937","+15,026","+16,672","+18,428"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","-20","-18","-12","-84","+25","+472","+528","+669","+575","+194"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","-759","-3,055","+601","+1,870","+1,324","+9,346","+13,868","+1,544","+20,257","+17,389"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","+2","-11","+67","+157","-21","+123","+110","+359","+347","+299"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","+4","+64","+60","+41","+9","-135","-739","-1,632","-619","-720"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","+1","+32","+41","+44","+22","+40","-354","-747","-115","-190"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","+17","-13","+29","+47","+24","-85","-158","+42","-798","-38"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","0","0","0","+1","0","-2","+21","-25","-9","-17"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","+3","+13","+37","+48","-43","+135","+1,047","+684","+1,467","+1,508"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","-12","-21","-23","-29","-30","-40","0","0","0","-53"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","-8","-8","-10","-12","-13","-31","-25","-28","0","-14"
