"代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","更新日期","RSV(日)","K值(日)","D值(日)","J值(日)","KD近期交叉點(日)","KD近期交叉時間(日)","KD糾結(日)"
="2317","鴻海","市","251","4.5","+1.83","65,085","11/12","56↗","44.7↗","45.7↘","42.6↗","45.6↗","即將交叉",""
="2330","台積電","市","1475","10","+0.68","25,998","11/12","28.6↗","26.7↗","35↘","10.1↗","28.2↗","即將交叉",""
="2308","台達電","市","967","-5","-0.51","14,451","11/12","43.5↗","33.1↗","29.5↗","40.4↗","27.7↗","1日前",""
="2454","聯發科","市","1245","5","+0.4","4,411","11/12","5.56↗","9.92↘","19.4↘","-9.12↗","","",""
="3231","緯創","市","139","-5.5","-3.81","88,398","11/12","29.8↘","34.4↘","35.8↘","31.6↘","36.4↘","今日","是"
="3491","昇達科","櫃","463.5","42","+9.96","5,794","11/12","100↗","59↗","44.2↗","88.5↗","","",""
="6669","緯穎","市","4560","-160","-3.39","2,586","11/12","75.6↘","76.1↘","73.4↗","81.4↘","75.6↘","即將交叉","是"
="3008","大立光","市","2235","20","+0.9","269","11/12","65.4↗","54.4↗","45.2↗","72.6↗","","",""
="3443","創意","市","1885","-25","-1.31","4,497","11/12","75.5↘","80.1↘","75.5↗","89.4↘","77.8↘","即將交叉",""
="3661","世芯-KY","市","3520","-115","-3.16","1,479","11/12","56.4↘","76.1↘","79.8↘","68.6↘","80.7↘","今日",""
="2301","光寶科","市","166.5","-1","-0.6","10,572","11/12","14.3↘","17↘","23.3↘","4.34↗","","",""
="4967","十銓","市","148.5","8","+5.69","29,795","11/12","85.9↗","77.5↗","71.4↗","89.7↗","","",""
="2344","華邦電","市","64.8","0.3","+0.47","23,238","11/12","92.6↗","92.4↗","91↗","95.2↘","","",""
="3711","日月光投控","市","227","-1","-0.44","16,587","11/12","7.55↘","37.3↘","57.4↘","-2.9↘","","",""
="2408","南亞科","市","163","-1.5","-0.91","192,259","11/12","81.2↘","85.4↘","86.1↘","83.9↘","86.2↘","今日","是"
="6584","南俊國際","櫃","307","-3.5","-1.13","5,255","11/12","69.1↘","71.2↘","66.6↗","80.5↘","69.8↘","即將交叉",""
="2882","國泰金","市","64.9","0.1","+0.15","28,252","11/12","58.3↘","40.2↗","28.9↗","62.8↗","20.2↗","1日前",""
="2891","中信金","市","43.05","-0.3","-0.69","29,518","11/12","63.2↘","59.5↗","47↗","84.5↘","","",""
="2884","玉山金","市","30.2","0.05","+0.17","48,055","11/12","61.5↗","39.5↗","26.9↗","64.6↗","17.7↗","1日前",""
="2880","華南金","市","29.25","-0.55","-1.85","17,093","11/12","16.7↘","52.6↘","57.1↘","43.7↘","57.8↘","今日",""
="0050","元大台灣50","市","63.2","0.3","+0.48","62,620","11/12","35.3↗","35.8↘","45↘","17.5↗","","",""
="00878","國泰永續高股息","市","21.4","0.02","+0.09","37,232","11/12","32.8↗","32.7↗","39.2↘","19.7↗","32.8↗","即將交叉",""
="006208","富邦台50","市","148.05","0.95","+0.65","8,277","11/12","34.2↗","32.4↗","41.7↘","13.6↗","33.9↗","即將交叉",""
