"代號","名稱","成交","漲跌價","漲跌幅","更新日期","+DI(日)","-DI(日)","ADX(日)","ADXR(日)","+DI(週)","-DI(週)","ADX(週)","ADXR(週)","+DI(月)","-DI(月)","ADX(月)","ADXR(月)"
="2317","鴻海","251","+4.5","+1.83","11/12","28.6↘","22↘","27.7↘","27↘","36.1↘","15.9↘","35.8↗","29.9↗","37.1↘","15↘","29.5↗","32.1↗"
="2330","台積電","1475","+10","+0.68","11/12","33.4↘","21.7↘","35.4↘","42↘","35.4↘","8.74↘","40.2↗","30.7↗","43.9↘","13.5↘","35.8↗","33.9↗"
="2308","台達電","967","-5","-0.51","11/12","27.6↘","25.8↗","36.5↘","47.7↘","43.2↘","8.91↘","61.2↗","45.3↗","52.9↘","7.78↘","38.9↗","33.4↗"
="2454","聯發科","1245","+5","+0.4","11/12","12↘","22.4↘","18.6↗","17↘","21.3↘","26↗","10.2↘","13.9↘","23.3↘","16.8↗","21.1↘","23.5↘"
="3231","緯創","139","-5.5","-3.81","11/12","29.3↘","23.5↗","25.2↘","31.2↘","28.5↘","20.9↘","17.6↘","13.3↘","29.5↘","13.1↗","35.7↗","42.1↘"
="3491","昇達科","463.5","+42","+9.96","11/12","25.5↗","16.7↘","16.9↗","25.3↘","26.5↗","16.6↘","24.4↘","21.5↘","27.2↘","11.3↗","38.1↗","38↗"
="6669","緯穎","4560","-160","-3.39","11/12","38.1↘","13↘","39.5↗","32.7↗","40.3↗","7.4↘","42↗","32.5↗","42.7↗","9.87↘","39.6↗","41.1↘"
="3008","大立光","2235","+20","+0.9","11/12","17.9↘","22.9↘","15↘","15.6↘","16.7↘","23.7↘","15.7↗","19.4↘","15.1↘","25.4↗","18↗","17.7↗"
="3443","創意","1885","-25","-1.31","11/12","47.3↘","12.4↘","37.3↗","35.5↗","39.4↗","13.3↘","22.5↗","17.2↗","32.1↗","15.1↘","18.2↗","24.3↘"
="3661","世芯-KY","3520","-115","-3.16","11/12","27.1↘","22.6↗","17.4↘","20.5↘","21↗","19.6↘","17.3↘","18.6↘","30.3↗","18.4↘","29.9↘","34.2↘"
="2301","光寶科","166.5","-1","-0.6","11/12","27.8↘","24.9↗","19.3↘","23.7↘","37.5↘","12.9↘","42.7↗","31.5↗","38↘","10.5↘","36.9↗","38.6↗"
="4967","十銓","148.5","+8","+5.69","11/12","31.4↗","13.8↘","47.2↘","51.5↗","39.3↗","9.44↘","36.4↗","27.6↗","41.9↗","11.3↘","36.5↗","40.4↗"
="2344","華邦電","64.8","+0.3","+0.47","11/12","45.7↘","17.6↗","56.7↘","58.1↘","54.9↗","2.72↘","50.5↗","33.8↗","50.8↗","9.32↘","24.5↗","19.9↗"
="3711","日月光投控","227","-1","-0.44","11/12","38.3↘","18.2↗","46.8↘","41↘","43.6↘","8.4↗","30.6↗","22.9↗","37.9↘","10.3↘","34.7↗","35.6↗"
="2408","南亞科","163","-1.5","-0.91","11/12","45↘","15.7↗","54.9↘","53.7↘","57.1↗","3.3↘","48.7↗","34.4↗","53.4↗","9.95↘","23.3↗","16.9↗"
="6584","南俊國際","307","-3.5","-1.13","11/12","32.7↘","11.6↘","25.9↗","21.7↗","29↗","10↘","35.7↗","30.4↗","34↗","9.61↘","38.3↗",""
="2882","國泰金","64.9","+0.1","+0.15","11/12","24.3↘","17.1↘","14.8↗","19.3↗","17.7↗","17.1↘","8.63↘","12.4↘","19.8↘","18.2↗","18.9↘","23↗"
="2891","中信金","43.05","-0.3","-0.69","11/12","31.8↗","17.8↘","10.3↗","10.6↗","20.6↗","18.1↘","11.8↘","14.5↘","27.1↗","12.6↘","36.6↘","34.2↗"
="2884","玉山金","30.2","+0.05","+0.17","11/12","22↗","32↘","40.3↘","33.5↘","15.6↘","31↘","17.2↗","18.4↗","23.7↘","23.5↘","12.5↘","12.6↘"
="2880","華南金","29.25","-0.55","-1.85","11/12","11.9↘","20.1↗","13.9↗","14.9↗","23.6↘","17.3↘","16.1↘","15.9↗","22.6↘","11.5↘","24.6↗","22.2↗"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","35.5↘","27.3↘","27.8↘","32.8↘","19.9↘","50.4↘","50.1↘","48.2↗","18.4↘","48↘","36↗","31.6↗"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","29.9↘","32↘","17.9↘","20.4↘","24.1↘","30.7↘","20.8↘","25.7↘","15.2↘","26.9↘","26.9↗","29.3↘"
="006208","富邦台50","148.05","+0.95","+0.65","11/12","36.1↘","26↘","33.4↘","40.2↘","39.1↘","11.4↘","37.4↗","28.4↗","43.1↘","15.9↘","31.7↗","31.4↗"
