"代號","名稱","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買進張數","外資賣出張數","外資買賣超張數","投信買進張數","投信賣出張數","投信買賣超張數","自營買進張數","自營賣出張數","自營買賣超張數","合計買進張數","合計賣出張數","合計買賣超張數","法人買賣超註記"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","26,111","19,946","+6,165","2,261","140","+2,121","3,907","379","+3,528","32,279","20,465","+11,814","＋＋＋"
="2330","台積電","1475","+10","+0.68","25,998","11/12","17,132","18,774","-1,642","413","78","+335","789","354","+436","18,334","19,206","-871","－＋＋"
="2308","台達電","967","-5","-0.51","14,451","11/12","6,504","7,506","-1,001","18","306","-288","642","451","+191","7,164","8,263","-1,098","－－＋"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","2,691","3,093","-402","77","189","-112","164","57","+107","2,932","3,339","-407","－－＋"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","15,924","45,918","-29,994","900","119","+781","487","4,648","-4,161","17,311","50,685","-33,374","－＋－"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","3,246","822","+2,424","106","0","+106","177","229","-52","3,530","1,051","+2,479","＋＋－"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","719","1,307","-588","41","1","+40","133","102","+31","893","1,410","-517","－＋＋"
="3008","大立光","2235","+20","+0.9","269","11/12","199","168","+31","3","1","+2","9","2","+7","211","171","+40","＋＋＋"
="3443","創意","1885","-25","-1.31","4,497","11/12","1,440","1,319","+121","107","0","+107","167","271","-104","1,714","1,589","+125","＋＋－"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","447","472","-25","8","1","+7","71","122","-51","526","594","-69","－＋－"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","4,528","3,939","+588","24","720","-696","251","198","+53","4,803","4,857","-54","＋－＋"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","6,001","6,588","-587","0","0","0","223","68","+155","6,224","6,656","-432","－・＋"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","9,959","4,517","+5,443","16","3,400","-3,384","1,682","1,340","+343","11,658","9,256","+2,401","＋－＋"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","11,353","7,102","+4,252","188","89","+99","625","153","+472","12,166","7,344","+4,822","＋＋＋"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","44,287","67,063","-22,776","648","53","+595","2,052","2,800","-748","46,987","69,916","-22,928","－＋－"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","835","1,597","-762","0","44","-44","139","115","+24","974","1,756","-782","－－＋"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","19,695","14,356","+5,339","0","2,458","-2,458","510","549","-39","20,205","17,363","+2,842","＋－－"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","18,727","14,828","+3,898","471","5,506","-5,035","1,127","1,128","-2","20,324","21,463","-1,139","＋－－"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","32,333","28,212","+4,121","343","1,303","-960","305","1,686","-1,381","32,981","31,201","+1,780","＋－－"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","10,457","14,992","-4,535","263","26","+237","513","44","+469","11,233","15,062","-3,829","－＋＋"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","844","15,329","-14,485","0","0","0","9,558","23,429","-13,871","10,402","38,757","-28,355","－・－"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","1,525","38","+1,487","0","0","0","5,560","11,411","-5,852","7,085","11,449","-4,364","＋・－"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","266","5,567","-5,301","0","0","0","3,455","970","+2,485","3,721","6,537","-2,816","－・＋"
