"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2317","鴻海","市","11/12","","251","+4.5","+1.83","65,085","16,261","246.5","248","252","245","2.84","19.1","2.39","","","","",""
="2330","台積電","市","11/12","","1475","+10","+0.68","25,998","38,345","1465","1470","1485","1460","1.71","26.2","8.35","","","","",""
="2308","台達電","市","11/12","","967","-5","-0.51","14,451","13,959","972","965","981","954","2.78","50.3","10.43","","","","",""
="2454","聯發科","市","11/12","","1245","+5","+0.4","4,411","5,510","1240","1240","1260","1240","1.61","18.6","5.27","","","","",""
="3231","緯創","市","11/12","","139","-5.5","-3.81","88,398","12,349","144.5","142","142","138","2.77","19","2.74","","","","",""
="3491","昇達科","櫃","11/12","","463.5","+42","+9.96","5,794","2,642","421.5","447","463.5","442.5","4.98","60","12.38","","","","",""
="6669","緯穎","市","11/12","","4560","-160","-3.39","2,586","11,919","4720","4725","4725","4540","3.92","19.1","7.85","","","","",""
="3008","大立光","市","11/12","","2235","+20","+0.9","269","601","2215","2235","2245","2230","0.68","12.8","1.64","","","","",""
="3443","創意","市","11/12","","1885","-25","-1.31","4,497","8,687","1910","1990","2000","1880","6.28","73.1","21.57","","","","",""
="3661","世芯-KY","市","11/12","","3520","-115","-3.16","1,479","5,290","3635","3660","3685","3515","4.68","44.3","7.52","","","","",""
="2301","光寶科","市","11/12","","166.5","-1","-0.6","10,572","1,768","167.5","168","169","166.5","1.49","26.5","4.52","","","","",""
="4967","十銓","市","11/12","","148.5","+8","+5.69","29,795","4,337","140.5","139","153.5","137","11.7","62.1","3.29","","","","",""
="2344","華邦電","市","11/12","","64.8","+0.3","+0.47","23,238","1,501","64.5","63.1","65.9","63","4.5","","3.07","","","","",""
="3711","日月光投控","市","11/12","","227","-1","-0.44","16,587","3,770","228","227","229.5","225","1.97","27.9","3.12","","","","",""
="2408","南亞科","市","11/12","","163","-1.5","-0.91","192,259","31,239","164.5","160","166.5","158","5.17","","3.21","","","","",""
="6584","南俊國際","櫃","11/12","","307","-3.5","-1.13","5,255","1,654","310.5","315","328","302","8.37","120","9.31","","","","",""
="2882","國泰金","市","11/12","","64.9","+0.1","+0.15","28,252","1,847","64.8","65.3","65.9","64.9","1.54","11.3","1.37","","","","",""
="2891","中信金","市","11/12","","43.05","-0.3","-0.69","29,518","1,278","43.35","43.5","43.75","43.05","1.61","11.9","1.96","","","","",""
="2884","玉山金","市","11/12","","30.2","+0.05","+0.17","48,055","1,458","30.15","30.3","30.5","30.2","1","16.1","1.95","","","","",""
="2880","華南金","市","11/12","","29.25","-0.55","-1.85","17,093","505","29.8","30","30","29.25","2.52","17.2","1.87","","","","",""
="0050","元大台灣50","市","11/12","","63.2","+0.3","+0.48","62,620","3,947","62.9","62.95","63.3","62.75","0.87","","1.004","","","","",""
="00878","國泰永續高股息","市","11/12","","21.4","+0.02","+0.09","37,232","798","21.38","21.4","21.48","21.4","0.37","","1.0028","","","","",""
="006208","富邦台50","市","11/12","","148.05","+0.95","+0.65","8,277","1,223","147.1","147.5","148.4","147.1","0.88","","1.0026","","","","",""
