"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","5日均線","10日均線","15日均線","20日均線","50日均線","60日均線","100日均線","120日均線","200日均線","240日均線"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","247.8↗","250.1↘","249.3↗","243.6↗","226↗","222.7↗","202.1↗","194.2↗","180.4↗","182↗"
="2330","台積電","1475","+10","+0.68","25,998","11/12","1468↗","1482↘","1479↘","1478↗","1362↗","1330↗","1245↗","1205↗","1117↗","1108↗"
="2308","台達電","967","-5","-0.51","14,451","11/12","972.8→","979.4↘","1002↘","1005↘","911.3↗","872.1↗","728.4↗","671.7↗","552.5↗","528.6↗"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","1257↘","1285↘","1295↘","1304↘","1357↘","1362↘","1356↘","1344↘","1374↘","1373↗"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","140.3↗","142.7↘","144↘","143↗","133.3↗","130.1↗","126.2↗","124.3↗","116.6↗","115.6↗"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","436.1↗","431.6↗","435.2↘","439.2↗","438.8↗","425↗","390.6↗","381↗","390.8↗","380.5↗"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","4394↗","4342↗","4256↗","4161↗","3579↗","3501↗","3160↗","3044↗","2636↗","2598↗"
="3008","大立光","2235","+20","+0.9","269","11/12","2222↗","2220↗","2231↘","2230↘","2308↘","2318↘","2327↘","2325↘","2376↘","2403↘"
="3443","創意","1885","-25","-1.31","4,497","11/12","1828↗","1693↗","1651↗","1620↗","1460↗","1425↗","1345↗","1308↗","1258↗","1262↗"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","3621↗","3519↗","3396↗","3340↗","3528↘","3601↘","3573↗","3444↗","3183↗","3120↗"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","167.7↘","171.8↘","174.8↗","172.4↗","163.9↗","157.9↗","142.6↗","136.3↗","122.2↗","119↗"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","142.6↗","137.7↗","135.1↗","133.3↗","105.5↗","100↗","89.28↗","86.67↗","84.26↗","83.9↗"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","62.06↗","58.56↗","55.75↗","52.76↗","39.54↗","36.07↗","29↗","27.19↗","23.14↗","21.88↗"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","229.2↘","233.8↗","223.6↗","215.7↗","186.3↗","179.8↗","167.6↗","163.4↗","159.4↗","159.4↗"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","156.8↗","145.8↗","137.3↗","127.9↗","92.95↗","85.23↗","69.79↗","66.46↗","54.6↗","50.72↗"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","301.2↗","288.2↗","282.5↗","277.2↗","258.4↗","252.7↗","228.1↗","215.4↗","184.3↗","182.2↗"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","64.34↗","64.29↗","64.64↘","64.9↘","64.92↗","64.72↗","64.09↘","64.29↗","63.52↘","64.27↘"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","42.65↗","42.38↗","42.29↗","42.34↗","42.44↗","42.46↘","42.73↗","42.64↗","41.36↗","40.93↗"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","29.88↘","29.97→","30.36↘","30.91↘","32.39↘","32.63↘","32.9↘","32.56↗","31.04↗","30.42↗"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","29.61↘","29.52↘","29.58↘","29.61↘","29.37↗","29.14↗","28.82↗","28.46↗","28.07↗","27.8↗"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","63.06↗","63.57↘","63.49→","63.27↗","59.34↗","58.21↗","54.99↗","73.79↘","117.2↘","130↘"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","21.4↘","21.52↘","21.56↘","21.51↗","21.21↗","21.11↗","21.1↗","21.01↗","21.15↘","21.32↘"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","147.6↗","148.8↘","148.6↗","148.1↗","138.6↗","136↗","128.5↗","125.1↗","117.6↗","116.9↗"
