"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","251","+4.5","+1.83","11/12","+2,121","+1,958","+2,599","+1,353","-2,550","-13,398","+13,385","+84,371","-8,954","+100,414","+214,260","+94,497"
="2330","台積電","1475","+10","+0.68","11/12","+335","+523","+729","+1,289","+3,385","+9,094","+3,591","-2,160","+27,780","+62,521","+136,091","+20,571"
="2308","台達電","967","-5","-0.51","11/12","-288","-302","-52","+443","-2,970","-4,674","-3,528","+11,997","+8,864","+2,757","+38,604","+8,371"
="2454","聯發科","1245","+5","+0.4","11/12","-112","-178","-260","-162","-534","-3,038","-7,319","-58,695","-61,205","+6,460","+41,452","-56,574"
="3231","緯創","139","-5.5","-3.81","11/12","+781","+6,939","+7,266","+6,157","-20,683","-5,866","+12,248","-4,791","+27,353","+117,724","+89,829","+64,882"
="3491","昇達科","463.5","+42","+9.96","11/12","+106","+106","+144","+243","-254","-1,148","-480","-2,595","-966","+3,133","+312","-1,583"
="6669","緯穎","4560","-160","-3.39","11/12","+40","+256","+420","+516","+877","+1,624","-868","-199","+3,346","+2,364","","-1,036"
="3008","大立光","2235","+20","+0.9","11/12","+2","+1","+5","+12","+34","+25","-329","-599","-1,049","-494","-1,340","-2,359"
="3443","創意","1885","-25","-1.31","11/12","+107","+301","+859","+1,024","+1,837","+1,014","+2,720","-79","+538","-9,800","+6,431","-937"
="3661","世芯-KY","3520","-115","-3.16","11/12","+7","+66","+166","+557","+1,280","+320","-1,755","+285","+2,484","-5,195","+6,120","+1,701"
="2301","光寶科","166.5","-1","-0.6","11/12","-696","-708","-531","-2,074","-7,721","-14,281","-16,102","-6,858","-28,035","+41,975","+188,340","-5,311"
="4967","十銓","148.5","+8","+5.69","11/12","0","0","+93","+93","+91","+513","+513","+513","+513","+427","","+513"
="2344","華邦電","64.8","+0.3","+0.47","11/12","-3,384","-5,033","-5,033","-7,473","-15,611","-11,048","+157,107","+167,956","+161,245","+166,873","+168,199","+167,434"
="3711","日月光投控","227","-1","-0.44","11/12","+99","+317","+870","+50","+1,792","+1,394","-3,654","-97,305","-152,508","+163,377","","-110,233"
="2408","南亞科","163","-1.5","-0.91","11/12","+595","+1,174","+1,331","+3,396","-747","+35,386","+68,727","+39,279","+76,789","-16,649","+62,188","+79,135"
="6584","南俊國際","307","-3.5","-1.13","11/12","-44","-44","-44","+376","+683","+617","+1,105","+2,518","+2,518","","","+2,518"
="2882","國泰金","64.9","+0.1","+0.15","11/12","-2,458","-3,783","-3,169","-3,001","-5,916","-12,717","-1,042","+1,457,030","+1,459,238","+1,659,352","+1,738,746","+1,458,594"
="2891","中信金","43.05","-0.3","-0.69","11/12","-5,035","-4,266","-3,879","-9,730","-14,071","-51,120","-21,162","+833,735","+1,013,882","+2,718,606","+2,903,738","+983,800"
="2884","玉山金","30.2","+0.05","+0.17","11/12","-960","+408","-710","+1,798","-968","-23,214","-50,694","-18,145","-130,385","+283,582","+325,531","+61,285"
="2880","華南金","29.25","-0.55","-1.85","11/12","+237","+235","+436","+1,223","+2,525","-155","+31,975","-109,538","+187,682","+484,066","+521,185","-13,118"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","0","+1,000","-737","-7,987","-8,865","+14,140","-25,984","-13,866","+28,388","+89,091","+130,650","+16,639"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","0","0","0","0","0","+560","+3,670","+7,217","+11,030","+25,048","","+11,030"
="006208","富邦台50","148.05","+0.95","+0.65","11/12","0","0","0","-432","-495","-675","-1,140","+3,908","+8,615","+9,526","+9,526","+8,216"
