"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超張數","2日買賣超張數","3日買賣超張數","5日買賣超張數","10日買賣超張數","1個月買賣超張數","3個月買賣超張數","半年買賣超張數","1年買賣超張數","3年買賣超張數","10年買賣超張數","今年買賣超張數"
="2317","鴻海","251","+4.5","+1.83","11/12","+6,165","-365","-2,482","-854","-25,624","+116,554","+713,440","+912,182","+32,527","-392,789","-1,532,574","+384,685"
="2330","台積電","1475","+10","+0.68","11/12","-1,642","-7,377","-11,288","-16,638","-50,644","-90,381","-88,803","+197,676","-19,551","+669,294","-889,618","-10,949"
="2308","台達電","967","-5","-0.51","11/12","-1,001","-3,056","-4,147","-7,224","-26,914","-30,626","-68,775","-2,277","-23,249","-26,953","-127,433","-37,052"
="2454","聯發科","1245","+5","+0.4","11/12","-402","-2,029","-3,528","-10,376","-9,003","-16,438","-37,816","-22,980","-26,080","-61,016","-15,857","-37,254"
="3231","緯創","139","-5.5","-3.81","11/12","-29,994","-28,444","-30,987","-34,106","-34,439","-125,991","+6,080","+29,488","-80,531","-99,799","-54,444","-31,468"
="3491","昇達科","463.5","+42","+9.96","11/12","+2,424","+2,078","+1,904","+2,186","+2,482","+2,863","+6,959","+1,875","+3,627","+10,253","+9,949","+3,660"
="6669","緯穎","4560","-160","-3.39","11/12","-588","-828","-619","-1,314","-1,557","-2,863","-2,754","+3,704","-2,184","-1,935","","-956"
="3008","大立光","2235","+20","+0.9","11/12","+31","+45","+99","+83","-91","-1,244","-1,236","-3,354","-1,892","-5,861","-21,755","-1,069"
="3443","創意","1885","-25","-1.31","11/12","+121","+1,310","+1,438","+1,127","+1,454","+3,643","+10,528","+8,223","+8,334","-8,219","+30,039","+8,486"
="3661","世芯-KY","3520","-115","-3.16","11/12","-25","-319","-512","-48","-659","-1,754","-4,837","-1,918","+1,794","+1,051","+4,038","-5,958"
="2301","光寶科","166.5","-1","-0.6","11/12","+588","-4,149","-5,436","-8,699","-36,503","-35,364","-45,119","+2,727","+63,730","-378,607","-391,871","+55,163"
="4967","十銓","148.5","+8","+5.69","11/12","-587","-574","-916","-590","-2,978","-2,043","+5,132","+5,534","+6,382","+2,210","","+5,710"
="2344","華邦電","64.8","+0.3","+0.47","11/12","+5,443","+9,248","+10,177","+20,957","+34,142","+140,989","+502,090","+536,741","+407,728","-52,639","+343,040","+456,041"
="3711","日月光投控","227","-1","-0.44","11/12","+4,252","+7,715","+11,742","+15,378","+50,360","+110,028","+178,215","+140,827","+141,216","+182,218","","+100,491"
="2408","南亞科","163","-1.5","-0.91","11/12","-22,776","-47,827","-39,152","-62,501","-87,227","-17,770","+162,434","+165,347","+127,976","-69,387","-162,704","+121,686"
="6584","南俊國際","307","-3.5","-1.13","11/12","-762","-1,016","-872","-648","-1,174","+193","+288","+84","+1,134","","","+865"
="2882","國泰金","64.9","+0.1","+0.15","11/12","+5,339","+7,453","+8,023","+3,530","-3,803","+855","+69,374","-1,024,017","-1,042,436","-339,855","-969,134","-1,101,130"
="2891","中信金","43.05","-0.3","-0.69","11/12","+3,898","+29,615","+34,192","+42,739","+44,482","+21,514","-33,645","-135,741","+281,357","-1,337,697","-1,433,280","+54,608"
="2884","玉山金","30.2","+0.05","+0.17","11/12","+4,121","+6,916","-1,997","-73,679","-99,909","-265,313","-259,764","+102,716","+483,330","+187,160","-2,577,094","+348,944"
="2880","華南金","29.25","-0.55","-1.85","11/12","-4,535","-2,731","-4,147","-1,838","+4,706","+35,674","+109,235","+123,436","+12,631","-18,359","+67,098","+144,596"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","-14,485","-37,668","-64,322","-142,672","-357,681","-870,477","-1,531,557","-1,989,339","-2,554,505","-2,426,113","-2,811,644","-2,489,400"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","+1,487","+2,727","+197","-18,136","-103,144","-61,952","+128,309","+172,126","-509,394","-1,628,433","","-249,020"
="006208","富邦台50","148.05","+0.95","+0.65","11/12","-5,301","-5,728","-11,829","-16,205","-26,391","-36,459","-13,600","+95,845","+7,771","-144,743","-211,348","+44,284"
